record_date,hour_of_day,city,corridor,congestion_index,avg_speed_kmph,incident_reported,road_closure
2024-03-01,23,Chandigarh,Old Town Bypass,43.4,33.7,0,0
2024-03-01,7,Madurai,Old Town Bypass,35.2,35.2,0,0
2024-03-01,10,Madurai,NH-44 Stretch,50.7,34.4,1,1
2024-03-01,13,Madurai,IT Corridor,47.4,27.1,0,0
2024-03-01,17,Madurai,Airport Link,0.566,25.5,0,0
2024-03-01,20,Madurai,NH-44 Stretch,0.325,41.8,0,0
2024-03-01,23,Madurai,Port Access Rd,0.222,45.1,1,1
2024-03-01,7,Kochi,Ring Road,0.611,28.4,0,0
2024-03-01,10,Kochi,NH-44 Stretch,0.411,  ,0,0
2024-03-01,13,Kochi,Central Market,0.185,44.7,0,0
2024-03-01,17,Kochi,Central Market,49.7,,0,0
2024-03-01,20,Kochi,Central Market,0.708,19.7,0,0
2024-03-01,23,Kochi,IT Corridor,0.278,48.6,1,0
2024-03-01,7,Visakhapatnam,Central Market,76.4,10.4,0,0
2024-03-01,10,Visakhapatnam,NH-44 Stretch,0.134,,0,0
2024-03-01,13,Visakhapatnam,NH-44 Stretch,0.245,36.1,0,0
2024-03-01,17,Visakhapatnam,IT Corridor,0.309,40.6,0,0
2024-03-01,20,Visakhapatnam,Ring Road,0.295,45.6,0,0
2024-03-01,23,Visakhapatnam,Central Market,64.5,19.4,0,0
2024-05-01,7,Mumbai,Port Access Rd,61.7,29.4,0,0
2024-05-01,10,Mumbai,Ring Road,41.5,32.3,0,0
2024-05-01,13,Mumbai,Industrial Belt,0.278,42.4,1,0
2024-05-01,17,Mumbai,Old Town Bypass,0.37,39.3,0,0
2024-05-01,20,Mumbai,Old Town Bypass,0.534,23.1,0,0
2024-05-01,23,Mumbai,NH-44 Stretch,12.4,48.3,0,0
2024-05-01,7,Gurugram,Airport Link,85.5,12.3,1,0
2024-05-01,10,Gurugram,Industrial Belt,0.319,35.7,1,0
2024-05-01,13,Gurugram,Airport Link,0.28,47.1,0,0
2024-05-01,17,Gurugram,NH-44 Stretch,0.572,34.5,0,1
2024-05-01,20,Gurugram,IT Corridor,0.737,11.6,0,0
2024-05-01,23,Gurugram,Ring Road,0.184,53.7,1,0
2024-05-01,7,Madurai,Airport Link,0.529,unknown,0,0
2024-05-01,10,Madurai,Central Market,47.2,29.6,0,0
2024-05-01,13,Madurai,Central Market,0.223,47.5,0,0
2024-05-01,17,Madurai,IT Corridor,51.0,30.1,0,0
2024-05-01,20,Madurai,Port Access Rd,0.375,48.0,0,0
2024-05-01,23,Madurai,IT Corridor,0.412,40.1,0,0
2024-05-01,7,Guwahati,Industrial Belt,0.685,22.1,0,0
2024-05-01,10,Guwahati,Airport Link,0.317,50.3,0,0
2024-05-01,13,Guwahati,Ring Road,0.447,30.5,1,1
2024-05-01,17,Guwahati,NH-44 Stretch,0.743,17.3,1,0
2024-05-01,20,Guwahati,Airport Link,0.55,24.9,0,0
2024-05-01,23,Guwahati,Airport Link,0.309,44.2,0,0
2024-05-01,7,Hyderabad,IT Corridor,0.55,26.8,0,0
2024-05-01,10,Hyderabad,Industrial Belt,0.382,39.9,0,0
2024-05-01,13,Hyderabad,Industrial Belt,30.1,44.0,1,0
2024-05-01,17,Hyderabad,NH-44 Stretch,0.699,28.4,1,0
2024-05-01,20,Hyderabad,Port Access Rd,56.3,25.3,0,0
2024-05-01,23,Hyderabad,Industrial Belt,0.419,30.7,0,0
2024-05-01,7,Bengaluru,IT Corridor,0.758,13.7,0,0
2024-05-01,10,Bengaluru,Port Access Rd,0.423,31.7,0,0
2024-05-01,13,Bengaluru,Ring Road,0.368,38.4,1,0
2024-05-01,17,Bengaluru,Industrial Belt,0.497,23.9,0,0
2024-05-01,20,Bengaluru,Airport Link,0.584,31.2,0,0
2024-05-01,23,Bengaluru,Ring Road,0.506,28.9,0,0
2024-05-01,7,Kolkata,Central Market,0.664,18.8,0,0
2024-05-01,10,Kolkata,Airport Link,0.501,28.2,0,0
2024-05-01,13,Kolkata,Industrial Belt,0.497,31.7,1,0
2024-05-01,17,Kolkata,Central Market,0.759,17.7,0,1
2024-05-01,20,Kolkata,Old Town Bypass,0.677,18.6,0,0
2024-05-01,23,Kolkata,Central Market,32.6,34.2,0,0
2024-05-01,7,Visakhapatnam,Industrial Belt,0.871,8.9,0,0
2024-05-01,10,Visakhapatnam,Port Access Rd,0.554,22.0,0,0
2024-05-01,13,Visakhapatnam,Industrial Belt,0.36,39.9,0,0
2024-05-01,17,Visakhapatnam,Industrial Belt,0.386,38.2,0,1
2024-05-01,20,Visakhapatnam,Old Town Bypass,0.486,30.2,0,0
2024-05-01,23,Visakhapatnam,Central Market,0.437,38.0,1,0
2024-05-01,7,Nagpur,Airport Link,0.484,29.0,0,0
2024-05-01,10,Nagpur,IT Corridor,0.551,19.8,0,0
2024-05-01,13,Nagpur,NH-44 Stretch,0.732,24.3,0,1
2024-05-01,17,Nagpur,Airport Link,0.664,18.0,0,0
2024-05-01,20,Nagpur,Airport Link,0.251,46.5,0,0
2024-05-01,23,Nagpur,Ring Road,0.28,52.2,1,0
2024-05-01,7,Chennai,Old Town Bypass,0.717,22.5,0,0
2024-05-01,10,Chennai,Port Access Rd,0.435,34.9,0,0
2024-05-01,13,Chennai,Old Town Bypass,0.467,33.9,1,0
2024-05-01,17,Chennai,NH-44 Stretch,0.482,33.5,1,0
2024-05-01,20,Chennai,Industrial Belt,69.1,13.5,1,0
2024-05-01,23,Chennai,NH-44 Stretch,0.304,42.1,0,0
2024-05-01,7,Coimbatore,Port Access Rd,0.703,19.6,1,0
2024-05-01,10,Coimbatore,Port Access Rd,0.404,35.9,0,0
2024-05-01,13,Coimbatore,Airport Link,0.4,38.4,1,0
2024-05-01,17,Coimbatore,IT Corridor,0.416,35.2,1,0
2024-05-01,20,Coimbatore,Ring Road,52.3,26.4,1,0
2024-05-01,23,Coimbatore,Ring Road,0.03,60.9,0,0
2024-05-01,7,Lucknow,Ring Road,0.584,20.8,1,0
2024-05-01,10,Lucknow,Industrial Belt,0.489,36.3,1,0
2024-05-01,13,Lucknow,Old Town Bypass,0.474,30.4,1,0
2024-05-01,17,Lucknow,Airport Link,59.8,24.1,0,1
2024-05-01,20,Lucknow,IT Corridor,0.588,21.7,0,0
2024-05-01,23,Lucknow,Industrial Belt,0.11,53.0,0,1
2024-07-01,7,Visakhapatnam,NH-44 Stretch,0.612,20.8,0,1
2024-07-01,10,Visakhapatnam,Airport Link,0.294,38.9,0,0
2024-07-01,13,Visakhapatnam,Industrial Belt,0.219,47.4,0,0
2024-07-01,17,Visakhapatnam,Old Town Bypass,0.271,37.1,0,0
2024-07-01,20,Visakhapatnam,IT Corridor,0.416,38.7,1,0
2024-07-01,23,Visakhapatnam,Port Access Rd,34.0,42.9,0,0
2024-07-01,7,Madurai,IT Corridor,0.908,13.8,0,0
2024-07-01,10,Madurai,Central Market,0.367,42.9,0,0
2024-07-01,13,Madurai,Central Market,0.337,37.6,1,0
2024-07-01,17,Madurai,IT Corridor,0.528,24.3,0,0
2024-07-01,20,Madurai,IT Corridor,0.467,36.0,0,0
2024-07-01,23,Madurai,Industrial Belt,0.443,28.6,0,0
2024-07-01,7,Chandigarh,Central Market,0.733,17.4,0,0
2024-07-01,10,Chandigarh,Old Town Bypass,0.264,48.7,0,0
2024-07-01,13,Chandigarh,Old Town Bypass,24.5,47.6,0,0
2024-07-01,17,Chandigarh,Industrial Belt,0.433,32.8,0,0
2024-07-01,20,Chandigarh,Ring Road,0.373,37.2,0,0
2024-07-01,23,Chandigarh,NH-44 Stretch,0.389,31.1,0,0
2024-07-01,7,Guwahati,Port Access Rd,49.3,24.6,0,0
2024-07-01,10,Guwahati,Port Access Rd,0.47,37.4,1,0
2024-07-01,13,Guwahati,Industrial Belt,0.261,41.9,1,0
2024-07-01,17,Guwahati,Port Access Rd,0.65,22.0,0,0
2024-07-01,20,Guwahati,Industrial Belt,71.1,20.1,0,0
2024-07-01,23,Guwahati,NH-44 Stretch,44.5,32.9,1,0
2024-07-01,7,Hyderabad,Airport Link,42.8,unknown,0,0
2024-07-01,10,Hyderabad,IT Corridor,0.399,30.7,0,0
2024-07-01,13,Hyderabad,Ring Road,0.205,48.6,0,0
2024-07-01,17,Hyderabad,NH-44 Stretch,0.577,24.9,0,0
2024-07-01,20,Hyderabad,Airport Link,0.715,19.0,1,0
2024-07-01,23,Hyderabad,NH-44 Stretch,0.086,63.4,0,0
2024-07-01,7,Kochi,Industrial Belt,64.5,20.0,0,0
2024-07-01,10,Kochi,Airport Link,0.626,27.3,0,0
2024-07-01,13,Kochi,IT Corridor,51.5,27.1,0,0
2024-07-01,17,Kochi,Airport Link,0.267,43.4,1,0
2024-07-01,20,Kochi,NH-44 Stretch,0.775,17.6,0,0
2024-07-01,23,Kochi,NH-44 Stretch,0.386,36.4,0,0
2024-07-01,7,Lucknow,Central Market,85.2,7.0,0,0
2024-07-01,10,Lucknow,Ring Road,49.4,33.6,0,0
2024-07-01,13,Lucknow,NH-44 Stretch,0.327,39.1,0,0
2024-07-01,17,Lucknow,IT Corridor,0.692,20.4,0,0
2024-07-01,20,Lucknow,Airport Link,0.389,34.2,0,0
2024-07-01,23,Lucknow,Industrial Belt,0.058,58.5,1,0
2024-07-01,7,Bhubaneswar,Airport Link,0.489,36.8,0,0
2024-07-01,10,Bhubaneswar,IT Corridor,4.8,56.0,0,0
2024-07-01,13,Bhubaneswar,Central Market,0.31,42.6,0,0
2024-07-01,17,Bhubaneswar,Port Access Rd,70.5,15.9,0,0
2024-07-01,20,Bhubaneswar,Old Town Bypass,17.1,49.0,0,0
2024-07-01,23,Bhubaneswar,NH-44 Stretch,0.265,45.0,0,0
2024-07-01,7,Kolkata,Old Town Bypass,0.64,30.0,0,0
2024-07-01,10,Kolkata,Industrial Belt,0.493,33.3,0,0
2024-07-01,13,Kolkata,Old Town Bypass,0.325,37.0,0,1
2024-07-01,17,Kolkata,Ring Road,0.819,16.7,0,0
2024-07-01,20,Kolkata,Central Market,38.1,42.0,0,0
2024-07-01,23,Kolkata,Industrial Belt,0.421,32.1,1,0
2024-07-01,7,Mysuru,Industrial Belt,47.0,33.3,0,0
2024-07-01,10,Mysuru,Airport Link,0.286,48.9,0,0
2024-07-01,13,Mysuru,Industrial Belt,27.4,45.7,0,0
2024-07-01,17,Mysuru,Central Market,70.5,21.0,0,0
2024-07-01,20,Mysuru,Port Access Rd,0.67,26.3,0,0
2024-07-01,23,Mysuru,Old Town Bypass,0.272,43.2,0,0
2024-07-01,7,Gurugram,Old Town Bypass,0.578,25.6,0,0
2024-07-01,10,Gurugram,Central Market,29.4,41.7,1,0
2024-07-01,13,Gurugram,Central Market,0.03,57.7,0,0
2024-07-01,17,Gurugram,Ring Road,0.55,21.9,0,0
2024-07-01,20,Gurugram,Industrial Belt,0.365,41.6,0,0
2024-07-01,23,Gurugram,Old Town Bypass,0.356,42.8,0,0
2024-07-01,7,Mumbai,Central Market,0.496,26.0,0,0
2024-07-01,10,Mumbai,IT Corridor,0.465,37.5,0,0
2024-07-01,13,Mumbai,Airport Link,0.409,33.7,1,0
2024-07-01,17,Mumbai,Airport Link,0.468,22.3,1,0
2024-07-01,20,Mumbai,Old Town Bypass,0.526,26.4,0,0
2024-07-01,23,Mumbai,Central Market,0.377,28.7,0,0
2024-09-01,7,Madurai,Industrial Belt,0.537,25.4,1,0
2024-09-01,10,Madurai,Central Market,0.73,22.3,0,0
2024-09-01,13,Madurai,Central Market,0.081,52.3,0,0
2024-09-01,17,Madurai,Central Market,0.459,25.9,0,0
2024-09-01,20,Madurai,NH-44 Stretch,0.268,39.6,0,0
2024-09-01,23,Madurai,Ring Road,0.493,-,0,0
2024-09-01,7,Delhi,NH-44 Stretch,0.651,20.3,0,0
2024-09-01,10,Delhi,Port Access Rd,0.233,49.4,1,0
2024-09-01,13,Delhi,Central Market,0.366,46.3,0,0
2024-09-01,17,Delhi,Ring Road,0.586,27.3,0,1
2024-09-01,20,Delhi,Industrial Belt,46.1,36.6,0,0
2024-09-01,23,Delhi,Airport Link,0.285,38.9,1,0
2024-09-01,7,Coimbatore,Ring Road,0.722,16.8,1,0
2024-09-01,10,Coimbatore,NH-44 Stretch,0.427,32.4,0,0
2024-09-01,13,Coimbatore,IT Corridor,0.212,48.7,0,0
2024-09-01,17,Coimbatore,IT Corridor,60.4,20.5,0,0
2024-09-01,20,Coimbatore,Industrial Belt,0.199,47.3,0,0
2024-09-01,23,Coimbatore,NH-44 Stretch,56.2,34.3,0,0
2024-09-01,7,Pune,Port Access Rd,74.4,13.0,0,0
2024-09-01,10,Pune,Industrial Belt,0.057,58.1,1,0
2024-09-01,13,Pune,Industrial Belt,0.105,51.9,1,0
2024-09-01,17,Pune,Industrial Belt,0.395,34.3,1,0
2024-09-01,20,Pune,NH-44 Stretch,0.637,24.4,0,0
2024-09-01,23,Pune,Old Town Bypass,0.182,45.6,1,0
2024-09-01,7,Guwahati,Industrial Belt,0.453,25.2,1,0
2024-09-01,10,Guwahati,Port Access Rd,0.281,45.0,0,0
2024-09-01,13,Guwahati,Industrial Belt,0.28,43.4,0,0
2024-09-01,17,Guwahati,Ring Road,0.571,25.0,0,0
2024-09-01,20,Guwahati,Industrial Belt,0.693,15.5,0,0
2024-09-01,23,Guwahati,Central Market,51.4,32.9,0,0
2024-09-01,7,Bengaluru,Ring Road,0.603,22.3,1,0
2024-09-01,10,Bengaluru,Airport Link,0.46,28.3,1,0
2024-09-01,13,Bengaluru,Ring Road,0.491,27.9,0,0
2024-09-01,17,Bengaluru,Port Access Rd,0.439,34.8,0,0
2024-09-01,20,Bengaluru,Industrial Belt,0.741,12.1,0,0
2024-09-01,23,Bengaluru,Port Access Rd,0.596,29.0,0,0
2024-09-01,7,Mysuru,IT Corridor,46.3,31.7,0,1
2024-09-01,10,Mysuru,Industrial Belt,3.0,58.5,1,0
2024-09-01,13,Mysuru,Airport Link,0.303,39.2,0,0
2024-09-01,17,Mysuru,IT Corridor,0.657,14.0,0,0
2024-09-01,20,Mysuru,NH-44 Stretch,0.503,24.1,0,0
2024-09-01,23,Mysuru,Port Access Rd,0.473,34.6,0,0
2024-09-01,7,Nagpur,Old Town Bypass,0.419,39.5,1,0
2024-09-01,10,Nagpur,IT Corridor,0.347,43.2,0,0
2024-09-01,13,Nagpur,NH-44 Stretch,0.428,35.8,0,0
2024-09-01,17,Nagpur,NH-44 Stretch,0.465,32.3,1,0
2024-09-01,20,Nagpur,Central Market,0.67,20.5,0,0
2024-09-01,23,Nagpur,NH-44 Stretch,0.33,31.4,1,1
2024-09-01,7,Gurugram,Central Market,0.546,30.8,0,0
2024-09-01,10,Gurugram,Ring Road,0.385,38.4,0,0
2024-09-01,13,Gurugram,NH-44 Stretch,0.395,42.6,1,0
2024-09-01,17,Gurugram,Industrial Belt,49.8,30.8,0,0
2024-09-01,20,Gurugram,Port Access Rd,0.581,24.6,0,0
2024-09-01,23,Gurugram,NH-44 Stretch,0.381,29.6,0,0
2024-09-01,7,Chandigarh,Port Access Rd,23.7,47.4,0,0
2024-09-01,10,Chandigarh,Ring Road,0.613,24.0,1,1
2024-09-01,13,Chandigarh,Port Access Rd,28.2,43.8,0,1
2024-09-01,17,Chandigarh,Industrial Belt,0.586,22.6,1,0
2024-09-01,20,Chandigarh,NH-44 Stretch,0.641,20.8,1,0
2024-09-01,23,Chandigarh,Old Town Bypass,0.181,43.8,0,0
2024-09-01,7,Ahmedabad,Central Market,0.676,27.8,0,1
2024-09-01,10,Ahmedabad,Airport Link,0.038,55.7,0,0
2024-09-01,13,Ahmedabad,Central Market,0.294,45.3,1,0
2024-09-01,17,Ahmedabad,Airport Link,0.322,40.4,1,0
2024-09-01,20,Ahmedabad,NH-44 Stretch,0.136,43.1,0,0
2024-09-01,23,Ahmedabad,Ring Road,33.6,46.1,1,1
2024-09-01,7,Hyderabad,Old Town Bypass,0.452,36.7,0,0
2024-09-01,10,Hyderabad,Ring Road,33.4,28.1,0,0
2024-09-01,13,Hyderabad,Ring Road,0.449,38.4,0,0
2024-09-01,17,Hyderabad,Airport Link,0.777,unknown,0,0
2024-09-01,20,Hyderabad,NH-44 Stretch,0.765,13.7,0,0
2024-09-01,23,Hyderabad,NH-44 Stretch,0.141,54.5,0,0
2024-11-01,7,Kochi,NH-44 Stretch,0.911,10.2,0,0
2024-11-01,10,Kochi,Port Access Rd,0.211,42.8,0,0
2024-11-01,13,Kochi,Old Town Bypass,0.415,33.5,1,0
2024-11-01,17,Kochi,Central Market,0.595,31.6,0,0
2024-11-01,20,Kochi,Industrial Belt,0.781,11.8,1,0
2024-11-01,23,Kochi,Port Access Rd,0.157,47.5,1,0
2024-11-01,7,Bengaluru,Industrial Belt,0.271,38.9,0,0
2024-11-01,10,Bengaluru,Central Market,28.1,49.3,0,0
2024-11-01,13,Bengaluru,IT Corridor,0.447,31.7,0,0
2024-11-01,17,Bengaluru,Industrial Belt,62.1,24.1,1,0
2024-11-01,20,Bengaluru,NH-44 Stretch,0.664,27.6,0,0
2024-11-01,23,Bengaluru,Central Market,0.519,35.0,0,1
2024-11-01,7,Coimbatore,Ring Road,0.62,21.6,0,0
2024-11-01,10,Coimbatore,Ring Road,40.6,34.5,1,0
2024-11-01,13,Coimbatore,Airport Link,0.226,46.3,0,1
2024-11-01,17,Coimbatore,NH-44 Stretch,0.462,33.6,1,0
2024-11-01,20,Coimbatore,Old Town Bypass,25.3,50.3,0,0
2024-11-01,23,Coimbatore,Port Access Rd,0.469,35.8,0,0
2024-11-01,7,Chennai,IT Corridor,0.686,19.9,0,0
2024-11-01,10,Chennai,IT Corridor,0.629,17.8,0,0
2024-11-01,13,Chennai,Port Access Rd,0.428,28.7,0,0
2024-11-01,17,Chennai,Port Access Rd,29.5,51.1,1,0
2024-11-01,20,Chennai,Industrial Belt,0.381,36.2,0,0
2024-11-01,23,Chennai,Central Market,0.326,38.9,0,0
2024-11-01,7,Madurai,NH-44 Stretch,0.852,4.2,0,0
2024-11-01,10,Madurai,Airport Link,0.138,49.2,1,1
2024-11-01,13,Madurai,Airport Link,20.4,43.4,1,0
2024-11-01,17,Madurai,Central Market,73.8,10.2,0,0
2024-11-01,20,Madurai,Central Market,0.34,38.3,0,0
2024-11-01,23,Madurai,Port Access Rd,0.171,54.6,0,0
2024-11-01,7,Bhubaneswar,Ring Road,0.758,20.1,0,0
2024-11-01,10,Bhubaneswar,IT Corridor,0.416,27.6,0,0
2024-11-01,13,Bhubaneswar,Port Access Rd,0.562,32.4,0,0
2024-11-01,17,Bhubaneswar,Central Market,38.0,39.6,0,0
2024-11-01,20,Bhubaneswar,Ring Road,0.476,30.7,0,0
2024-11-01,23,Bhubaneswar,Central Market,0.03,59.1,1,0
2024-11-01,7,Guwahati,Old Town Bypass,40.7,30.5,0,0
2024-11-01,10,Guwahati,Industrial Belt,0.393,32.8,0,0
2024-11-01,13,Guwahati,IT Corridor,0.203,46.1,0,0
2024-11-01,17,Guwahati,Central Market,0.48,  ,0,0
2024-11-01,20,Guwahati,NH-44 Stretch,0.58,28.3,0,0
