review_id,order_id,product_id,customer_id,rating,review_title,review_text,review_date,verified_purchase,helpful_votes,delivery_mode_experienced,sentiment_label
REV-003480,ORD-009240,PRD-00690,CUST-04353,3.0,,"Reached on time but packaging was weak Delivery was okay, nothing special",2024-02-08 10:58:00,1,31,Truck,neu
REV-007312,ORD-009035,PRD-00663,CUST-01411,5.0,Bad experience,Delivery was faster than promised Rider was polite and on time,2024-09-28 17:23:00,1,,Bike,pos
REV-002824,ORD-001068,PRD-00559,CUST-04992,1.0,Bad experience,Delivery was 2 days late Rider was rude on call,2025-01-21 17:00:00,0,,Bike,neg
REV-003437,ORD-005510,PRD-00534,CUST-02803,3.0,Delivery feedback,"Product fine, delivery slow Delivery was okay, nothing special",2024-03-24 18:12:00,1,90,Drone,neu
REV-004679,ORD-007912,PRD-00086,CUST-04622,5.0,,Tracking updates were accurate Rider was polite and on time बहुत अच्छा,2024-05-07 00:00:00,1,37,Bike,pos
REV-004293,ORD-010373,PRD-00577,CUST-04622,5.0,Delivery feedback,"Packaging was excellent, product intact Drone drop was smooth and quick",2024-02-14 07:00:00,1,71,Van,pos
REV-011747,ORD-011188,PRD-00418,CUST-03909,5.0,Bad experience,Rider was polite and on time Drone drop was smooth and quick,2024-07-19 00:00:00,1,18,,pos
REV-004064,ORD-001510,PRD-00703,CUST-03567,5.0,,Drone drop was smooth and quick Tracking updates were accurate,2024-06-28 12:44:00,1,44,Drone,pos
REV-003497,ORD-002532,PRD-00253,CUST-04733,4.0,Delivery feedback,,2025-02-22 00:00:00,0,8,Bike,pos
REV-006985,ORD-014466,PRD-00226,CUST-03091,2.0,Bad experience,Rider was rude on call Package arrived damaged,2024-11-29 14:17:00,1,,Truck,neg
REV-002646,ORD-003750,PRD-00519,CUST-03848,5.0,Bad experience,Drone drop was smooth and quick Great experience overall 👍,2024-02-05 09:31:00,0,90,Bike,pos
REV-006340,ORD-001613,PRD-00142,CUST-04775,3.0,Delivery feedback,"Delivery was okay, nothing special Average experience",2024-02-17 16:23:00,0,25,Drone,neu
REV-005154,ORD-008473,PRD-00183,CUST-00229,5.0,,Tracking updates were accurate Rider was polite and on time,2025-01-25 13:17:00,1,,,pos
REV-004901,ORD-000432,PRD-00090,CUST-03062,5.0,Bad experience,Rider was polite and on time Drone drop was smooth and quick,2025-03-04 18:23:00,1,,Drone,pos
REV-002027,ORD-001835,PRD-00375,CUST-04240,2.0,Good,Item missing from the box No tracking updates at all,2024-08-31 10:17:00,1,20,Truck,neg
REV-001478,,PRD-00433,CUST-00648,2.0,Bad experience,Drone dropped parcel in wrong spot Rider was rude on call,2024-05-31 15:12:00,0,8,Truck,neg
REV-006410,ORD-008673,PRD-00610,CUST-01335,4.0,Bad experience,Rider was polite and on time Tracking updates were accurate,2024-03-13 21:05:00,0,,Drone,pos
REV-001351,ORD-009284,PRD-00241,CUST-02510,5.0,,"Drone drop was smooth and quick Packaging was excellent, product intact மிக நன்று",2024-05-25 11:05:00,1,31,,pos
REV-009374,ORD-012487,PRD-00696,CUST-03045,5.0,Delivery feedback,Rider was polite and on time Tracking updates were accurate,2024-06-21 16:58:00,0,,Drone,pos
REV-001343,ORD-006071,PRD-00633,CUST-02873,5.0,,Delivery was faster than promised Drone drop was smooth and quick,2024-06-02 19:05:00,1,,Truck,pos
REV-000181,ORD-005061,PRD-00820,CUST-04478,5.0,,"Drone drop was smooth and quick Packaging was excellent, product intact",2025-02-22 07:17:00,1,,,pos
REV-000779,ORD-014155,PRD-00793,CUST-03985,4.0,,,2024-08-17 17:17:00,1,,,pos
REV-008626,ORD-011990,PRD-00807,CUST-02328,1.0,Good,Rider was rude on call Drone dropped parcel in wrong spot,2025-05-19 12:31:00,0,82,Drone,neg
REV-002503,ORD-004237,PRD-00603,CUST-02059,5.0,,"Tracking updates were accurate Packaging was excellent, product intact",2025-06-20 09:44:00,1,,Drone,pos
REV-007221,ORD-007167,PRD-00741,CUST-00614,2.0,Bad experience,Delivery was 2 days late Rider was rude on call,2024-10-10 19:17:00,1,15,Truck,neg
REV-011981,ORD-007929,PRD-00519,CUST-04276,4.0,,"Packaging was excellent, product intact Tracking updates were accurate",2024-09-11 08:17:00,0,,Bike,pos
REV-008160,ORD-007223,PRD-00522,CUST-00199,5.0,,"Packaging was excellent, product intact Rider was polite and on time",2025-06-29 17:00:00,0,,Van,pos
REV-005058,ORD-000285,PRD-00163,CUST-01505,3.0,,"Product fine, delivery slow Delivery was okay, nothing special",2024-09-08 20:44:00,0,1,Drone,neu
REV-003508,ORD-004318,PRD-00766,CUST-01522,3.0,Delivery feedback,"Product fine, delivery slow Delivery was okay, nothing special",2024-05-19 06:05:00,1,21,Truck,neu
REV-001937,ORD-010033,PRD-00540,CUST-01914,5.0,Good,Tracking updates were accurate Rider was polite and on time,2024-11-11 19:05:00,1,70,Drone,pos
REV-007092,ORD-007112,PRD-00275,CUST-00482,3.0,,Average experience Reached on time but packaging was weak,2024-12-11 16:00:00,1,45,Van,neu
REV-007600,ORD-007299,PRD-00431,CUST-00874,3.0,,"Delivery was okay, nothing special Average experience",2024-05-15 21:12:00,0,,Drone,neu
REV-001527,ORD-001431,PRD-00271,CUST-00077,4.0,Delivery feedback,Great experience overall 👍 Rider was polite and on time,2024-09-29 07:23:00,0,70,Truck,pos
REV-007776,ORD-008733,PRD-00480,CUST-04868,4.0,Bad experience,"Packaging was excellent, product intact Drone drop was smooth and quick",2024-02-03 06:17:00,1,,,pos
REV-003742,ORD-010178,PRD-00324,CUST-02519,3.0,Delivery feedback,"Product fine, delivery slow Reached on time but packaging was weak",2024-07-26 00:00:00,0,,,neu
REV-001826,ORD-002271,PRD-00034,CUST-04015,3.0,,Reached on time but packaging was weak Average experience,2024-11-03 00:00:00,1,,Drone,neu
REV-007682,ORD-010463,PRD-00676,CUST-00491,5.0,,Great experience overall 👍 Rider was polite and on time,2024-06-09 19:44:00,0,,Drone,pos
REV-004720,ORD-004593,PRD-00264,CUST-04676,3.0,Delivery feedback,"Average experience Product fine, delivery slow",2024-05-08 14:58:00,1,,Van,neu
REV-006264,ORD-012649,PRD-00697,CUST-03041,3.0,,"Product fine, delivery slow Delivery was okay, nothing special",2024-06-08 20:58:00,1,23,Bike,neu
REV-009663,ORD-007853,PRD-00680,CUST-01322,5.0,Delivery feedback,"Drone drop was smooth and quick Packaging was excellent, product intact",2024-12-13 12:17:00,1,63,Bike,pos
REV-011506,ORD-014536,PRD-00642,CUST-03128,4.0,,Rider was polite and on time Drone drop was smooth and quick,2024-05-20 16:12:00,0,86,Truck,pos
REV-004434,ORD-002451,PRD-00403,CUST-02336,3.0,Delivery feedback,"Delivery was okay, nothing special Product fine, delivery slow மிக நன்று",2024-07-03 19:31:00,1,,Bike,neu
REV-006342,ORD-011379,PRD-00438,CUST-02333,4.0,Delivery feedback,"Packaging was excellent, product intact Drone drop was smooth and quick",2025-02-20 18:58:00,0,30,Truck,pos
REV-008813,ORD-006434,PRD-00675,CUST-03556,5.0,,,2024-06-23 13:00:00,1,,,pos
REV-009231,ORD-002987,PRD-00416,CUST-00436,3.0,Bad experience,"Delivery was okay, nothing special Average experience",2025-08-03 16:17:00,0,,,neu
REV-000421,ORD-007342,PRD-00378,CUST-04755,5.0,Good,Delivery was faster than promised Drone drop was smooth and quick,2025-02-01 21:44:00,1,,Drone,pos
REV-006435,ORD-006503,PRD-00139,CUST-01048,5.0,Good,Delivery was faster than promised Drone drop was smooth and quick,2024-03-28 06:17:00,0,51,Drone,pos
REV-007450,ORD-001781,PRD-00291,CUST-04136,3.0,Bad experience,Average experience Reached on time but packaging was weak,2024-11-01 08:23:00,0,82,Drone,neu
REV-000937,ORD-012296,PRD-00654,CUST-00260,5.0,Good,"Tracking updates were accurate Packaging was excellent, product intact",2024-05-01 19:31:00,0,49,Truck,pos
REV-000707,ORD-010712,PRD-00221,CUST-03438,4.0,,Great experience overall 👍 Tracking updates were accurate,2025-02-16 14:23:00,0,46,Drone,pos
REV-006252,ORD-000848,PRD-00131,CUST-03272,2.0,Bad experience,Package arrived damaged No tracking updates at all,2025-01-03 06:23:00,0,72,,neg
REV-005520,ORD-010222,PRD-00186,CUST-04388,3.0,,"Product fine, delivery slow Reached on time but packaging was weak",2025-02-01 20:31:00,1,,Drone,neu
REV-011937,ORD-011555,PRD-00272,CUST-03644,4.0,Good,Tracking updates were accurate Great experience overall 👍,2024-04-14 18:31:00,0,38,Drone,pos
REV-002807,ORD-005632,PRD-00372,CUST-00090,5.0,,"Great experience overall 👍 Packaging was excellent, product intact",2024-03-07 15:05:00,0,63,Van,pos
REV-002774,ORD-002955,PRD-00388,CUST-03683,2.0,Good,Item missing from the box Package arrived damaged,2024-10-29 17:58:00,0,,Drone,neg
REV-010005,ORD-011426,PRD-00647,CUST-02876,4.0,,Delivery was faster than promised Tracking updates were accurate,2024-11-11 08:23:00,0,58,,pos
REV-004286,ORD-008816,PRD-00315,CUST-02304,4.0,Delivery feedback,Tracking updates were accurate Delivery was faster than promised,2025-08-03 14:00:00,1,81,,pos
REV-008973,ORD-013244,PRD-00758,CUST-04726,5.0,,"Drone drop was smooth and quick Packaging was excellent, product intact",2024-04-16 12:12:00,0,90,Truck,pos
REV-002339,ORD-006367,PRD-00224,CUST-01475,5.0,Bad experience,"Rider was polite and on time Packaging was excellent, product intact",2025-01-14 13:44:00,1,78,,pos
REV-003703,ORD-005878,PRD-00241,CUST-01982,5.0,Good,Delivery was faster than promised Drone drop was smooth and quick,2025-12-01 19:58:00,0,,Van,pos
REV-010524,ORD-008722,PRD-00091,CUST-01325,4.0,Good,Rider was polite and on time Tracking updates were accurate,2024-07-29 17:05:00,1,21,Truck,pos
REV-007960,ORD-007710,PRD-00265,CUST-02881,4.0,Delivery feedback,Drone drop was smooth and quick Rider was polite and on time,2024-11-12 00:00:00,0,12,Truck,pos
REV-009162,ORD-012191,PRD-00219,CUST-04356,4.0,Good,Great experience overall 👍 Drone drop was smooth and quick,2024-08-06 21:58:00,0,76,Bike,pos
REV-003083,ORD-014602,PRD-00166,CUST-03302,3.0,Delivery feedback,,2025-03-12 19:05:00,0,,Drone,neu
REV-002394,ORD-003928,PRD-00408,CUST-02546,5.0,Good,"Packaging was excellent, product intact Drone drop was smooth and quick",2025-07-05 13:17:00,1,11,Drone,pos
REV-010253,ORD-011630,PRD-00647,CUST-00066,1.0,Bad experience,Rider was rude on call Package arrived damaged,2024-09-15 06:00:00,0,,,neg
REV-006918,ORD-002334,PRD-00124,CUST-02913,4.0,Good,Delivery was faster than promised Drone drop was smooth and quick,2025-11-01 07:23:00,1,3,Van,pos
REV-003292,ORD-008147,PRD-00834,CUST-00508,4.0,Bad experience,Great experience overall 👍 Rider was polite and on time बहुत अच्छा,2024-10-18 08:31:00,1,46,Drone,pos
REV-001167,ORD-007156,PRD-00237,CUST-01511,5.0,,"Drone drop was smooth and quick Packaging was excellent, product intact",2025-06-28 11:44:00,0,,Van,pos
REV-005372,ORD-004976,PRD-00612,CUST-04099,5.0,Good,Rider was polite and on time Tracking updates were accurate,2024-05-24 07:05:00,1,,Bike,pos
REV-005057,ORD-014861,PRD-00728,CUST-02178,3.0,Delivery feedback,,2024-09-30 16:31:00,1,83,Bike,neu
REV-007741,ORD-004129,PRD-00367,CUST-02146,5.0,Delivery feedback,"Packaging was excellent, product intact Rider was polite and on time",2024-12-13 16:44:00,1,90,,pos
REV-004750,ORD-001606,PRD-00379,CUST-00619,3.0,Delivery feedback,"Product fine, delivery slow Average experience 🚚💨",2024-08-15 16:17:00,0,89,,neu
REV-000009,ORD-012755,PRD-00130,CUST-04803,4.0,,Delivery was faster than promised Rider was polite and on time,2024-08-02 11:31:00,1,90,Van,pos
REV-008927,ORD-000077,PRD-00445,CUST-01148,5.0,,Tracking updates were accurate Rider was polite and on time,2024-09-04 06:17:00,1,81,Van,pos
REV-007617,ORD-008168,PRD-00451,CUST-02084,1.0,,,2025-04-08 20:23:00,0,78,Bike,neg
REV-003136,ORD-006931,PRD-00525,CUST-03675,4.0,Delivery feedback,,2024-11-20 17:12:00,0,68,Bike,pos
REV-009107,ORD-010389,PRD-00103,CUST-03957,5.0,,Great experience overall 👍 Tracking updates were accurate,2024-02-14 21:05:00,1,39,Van,pos
REV-002512,ORD-004924,PRD-00147,CUST-03386,4.0,,Great experience overall 👍 Delivery was faster than promised,2025-05-25 17:12:00,0,42,Bike,pos
REV-009099,ORD-003906,PRD-00244,CUST-01930,4.0,Delivery feedback,"Packaging was excellent, product intact Tracking updates were accurate",2024-12-09 16:44:00,0,,,pos
REV-011996,ORD-006372,PRD-00380,CUST-03801,3.0,Good,"Average experience Delivery was okay, nothing special",2025-12-02 18:44:00,0,87,,neu
REV-008466,ORD-000512,PRD-00456,CUST-00098,5.0,,Great experience overall 👍 Rider was polite and on time,2025-01-16 11:44:00,0,40,Drone,pos
REV-004804,ORD-008430,PRD-00728,CUST-03862,2.0,,Rider was rude on call No tracking updates at all,2025-06-05 18:31:00,0,54,Van,neg
REV-006577,ORD-001986,PRD-00763,CUST-04283,3.0,,Average experience Reached on time but packaging was weak,2024-08-01 07:23:00,1,89,Bike,neu
REV-006674,ORD-000454,PRD-00163,CUST-01281,1.0,,Rider was rude on call Package arrived damaged,2024-09-22 16:44:00,0,88,Truck,neg
REV-010333,ORD-014933,PRD-00665,CUST-04584,3.0,,"Delivery was okay, nothing special Product fine, delivery slow",2024-12-17 17:44:00,1,70,Drone,neu
REV-007008,ORD-007314,PRD-00578,CUST-04108,3.0,,"Delivery was okay, nothing special Product fine, delivery slow",2024-04-26 18:12:00,0,,Drone,neu
REV-004600,ORD-011375,PRD-00248,CUST-01029,5.0,Bad experience,Rider was polite and on time Tracking updates were accurate,2024-04-06 06:05:00,1,56,,pos
REV-006248,ORD-013231,PRD-00104,CUST-04838,3.0,Delivery feedback,,2024-09-22 16:31:00,0,30,Drone,neu
REV-002876,ORD-013853,PRD-00201,CUST-03237,5.0,Bad experience,Tracking updates were accurate Drone drop was smooth and quick,2025-02-15 09:00:00,1,81,Drone,pos
REV-007839,ORD-014135,PRD-00629,CUST-02511,5.0,Delivery feedback,Tracking updates were accurate Drone drop was smooth and quick,2024-09-14 19:17:00,1,38,Bike,pos
REV-001390,ORD-005613,PRD-00748,CUST-01705,5.0,,"Delivery was faster than promised Packaging was excellent, product intact",2025-04-28 06:12:00,1,,Bike,pos
REV-010709,ORD-003651,PRD-00037,CUST-03194,5.0,,Rider was polite and on time Drone drop was smooth and quick,2024-09-30 16:12:00,0,72,Truck,pos
REV-001258,ORD-012698,PRD-00096,CUST-03734,5.0,,Great experience overall 👍 Rider was polite and on time,2025-06-12 07:05:00,0,77,,pos
REV-001088,ORD-003071,PRD-00790,CUST-04535,3.0,,Reached on time but packaging was weak Average experience,2024-10-28 12:17:00,0,48,Van,neu
REV-000083,ORD-003785,PRD-00474,CUST-00131,5.0,,"Rider was polite and on time Packaging was excellent, product intact",2025-08-06 12:44:00,0,,Van,pos
REV-005101,ORD-012243,PRD-00375,CUST-04501,1.0,,No tracking updates at all Drone dropped parcel in wrong spot बहुत अच्छा,2024-04-07 08:05:00,0,,Van,neg
REV-011346,ORD-003666,PRD-00113,CUST-03930,5.0,,Delivery was faster than promised Drone drop was smooth and quick,2024-01-17 08:58:00,1,9,Drone,pos
REV-011074,ORD-008448,PRD-00624,CUST-02284,3.0,Bad experience,"Delivery was okay, nothing special Reached on time but packaging was weak worst 😡",2025-02-13 07:44:00,1,13,Bike,neu
REV-006233,ORD-014520,PRD-00629,CUST-02903,4.0,,"Packaging was excellent, product intact Great experience overall 👍",2024-08-16 16:00:00,1,19,Drone,pos
REV-010954,ORD-014767,PRD-00724,CUST-00579,5.0,Delivery feedback,Great experience overall 👍 Drone drop was smooth and quick,2024-03-11 20:12:00,0,25,Drone,pos
REV-007691,ORD-007739,PRD-00672,CUST-02229,5.0,Good,Drone drop was smooth and quick Delivery was faster than promised,2025-03-08 06:23:00,1,12,Drone,pos
REV-001225,ORD-012529,PRD-00652,CUST-01002,3.0,Good,,2024-12-21 14:00:00,1,27,Van,neu
REV-001243,ORD-000375,PRD-00270,CUST-01500,5.0,Bad experience,"Tracking updates were accurate Packaging was excellent, product intact",2025-01-31 21:00:00,1,80,Truck,pos
REV-008648,ORD-009677,PRD-00579,CUST-01534,3.0,,"Product fine, delivery slow Reached on time but packaging was weak",2024-02-09 20:31:00,0,50,,neu
REV-007420,ORD-009785,PRD-00030,CUST-04989,5.0,Bad experience,Delivery was faster than promised Great experience overall 👍,2025-03-05 07:58:00,0,80,,pos
REV-008156,ORD-003690,PRD-00402,CUST-02417,3.0,,Reached on time but packaging was weak Average experience,2024-06-11 00:00:00,0,35,Bike,neu
REV-002835,ORD-000456,PRD-00534,CUST-02722,2.0,,Package arrived damaged No tracking updates at all,2024-10-20 20:05:00,0,,Bike,neg
REV-004348,ORD-003717,PRD-00409,CUST-04579,5.0,Bad experience,Tracking updates were accurate Great experience overall 👍,2024-07-13 18:44:00,0,,,pos
REV-011027,ORD-002810,PRD-00063,CUST-02731,5.0,,"Packaging was excellent, product intact Rider was polite and on time",2024-12-12 19:17:00,0,,,pos
REV-004144,ORD-006853,PRD-00128,CUST-03221,5.0,,Great experience overall 👍 Rider was polite and on time,2024-01-17 09:17:00,1,41,,pos
REV-004142,ORD-014619,PRD-00630,CUST-04032,4.0,,"Great experience overall 👍 Packaging was excellent, product intact",2024-12-30 19:00:00,1,34,Drone,pos
REV-006942,ORD-000264,PRD-00813,CUST-01934,3.0,Delivery feedback,"Reached on time but packaging was weak Delivery was okay, nothing special",2024-04-14 10:31:00,0,35,,neu
REV-007915,ORD-003978,PRD-00833,CUST-00561,4.0,Good,"Packaging was excellent, product intact Great experience overall 👍",2024-09-19 06:44:00,0,,Truck,pos
REV-001402,ORD-001939,PRD-00522,CUST-01932,5.0,,"Packaging was excellent, product intact Delivery was faster than promised",2024-04-02 00:00:00,1,,,pos
REV-002303,ORD-000841,PRD-00031,CUST-04844,2.0,Bad experience,Package arrived damaged Item missing from the box worst 😡,2025-02-08 12:12:00,0,61,Van,neg
REV-009296,ORD-008540,PRD-00694,CUST-02146,5.0,Bad experience,Drone drop was smooth and quick Tracking updates were accurate,2024-07-25 13:23:00,1,20,Van,pos
REV-011144,ORD-007780,PRD-00036,CUST-01732,3.0,Delivery feedback,"Delivery was okay, nothing special Reached on time but packaging was weak",2024-05-28 18:00:00,0,30,Van,neu
REV-011494,ORD-008243,PRD-00523,CUST-01391,5.0,Bad experience,"Tracking updates were accurate Packaging was excellent, product intact",2025-05-01 12:00:00,1,,Drone,pos
REV-004440,ORD-008156,PRD-00298,CUST-00487,5.0,Delivery feedback,Delivery was faster than promised Rider was polite and on time,2024-04-17 19:17:00,0,,,pos
REV-005074,ORD-013812,PRD-00284,CUST-04578,3.0,,"Reached on time but packaging was weak Product fine, delivery slow",2025-01-18 20:00:00,1,13,Truck,neu
REV-009872,ORD-012858,PRD-00553,CUST-04503,4.0,Good,Great experience overall 👍 Delivery was faster than promised,2024-10-17 12:05:00,0,84,Van,pos
REV-007218,ORD-006472,PRD-00730,CUST-01288,4.0,,"Tracking updates were accurate Packaging was excellent, product intact",2024-08-31 07:00:00,1,60,Bike,pos
REV-009227,ORD-012440,PRD-00183,CUST-00573,3.0,Bad experience,"Average experience Delivery was okay, nothing special",2024-09-25 10:05:00,1,45,Van,neu
REV-007645,ORD-006052,PRD-00049,CUST-04970,4.0,,Great experience overall 👍 Rider was polite and on time,2025-03-28 00:00:00,0,62,Drone,pos
REV-001244,ORD-011726,PRD-00263,CUST-01959,5.0,,"Delivery was faster than promised Packaging was excellent, product intact",2024-12-25 00:00:00,0,,,pos
REV-004234,ORD-013911,PRD-00521,CUST-02093,2.0,Bad experience,Package arrived damaged Delivery was 2 days late,2024-06-21 08:44:00,0,74,Bike,neg
REV-008898,ORD-006701,PRD-00491,CUST-00718,1.0,Bad experience,Package arrived damaged Rider was rude on call,2025-03-20 15:05:00,1,,,neg
REV-005146,ORD-014608,PRD-00722,CUST-03438,4.0,Good,Rider was polite and on time Tracking updates were accurate,2025-06-19 20:31:00,1,,,pos
REV-004506,ORD-000481,PRD-00770,CUST-03812,4.0,Good,Delivery was faster than promised Rider was polite and on time,2024-05-09 00:00:00,1,,Truck,pos
REV-006891,ORD-010584,PRD-00817,CUST-04897,5.0,,Great experience overall 👍 Tracking updates were accurate,2024-05-29 21:00:00,1,46,Drone,pos
REV-003175,ORD-006520,PRD-00024,CUST-03897,4.0,,Drone drop was smooth and quick Rider was polite and on time,2025-11-02 06:17:00,1,42,,pos
REV-001728,ORD-009671,PRD-00643,CUST-00681,1.0,,No tracking updates at all Drone dropped parcel in wrong spot,2025-01-26 19:05:00,1,90,Van,neg
REV-007138,ORD-010382,PRD-00454,CUST-03442,3.0,Bad experience,"Delivery was okay, nothing special Reached on time but packaging was weak",2025-05-04 10:12:00,0,39,Bike,neu
REV-001900,ORD-008695,PRD-00698,CUST-03477,1.0,Good,Package arrived damaged No tracking updates at all,2024-03-08 14:23:00,1,46,Drone,neg
REV-011026,ORD-012228,PRD-00331,CUST-01396,4.0,,"Packaging was excellent, product intact Rider was polite and on time",2025-05-23 09:05:00,0,54,Bike,pos
REV-006291,ORD-005216,PRD-00430,CUST-02694,4.0,,,2024-06-08 13:58:00,0,,Truck,pos
REV-010389,ORD-008561,PRD-00620,CUST-02436,4.0,,Great experience overall 👍 Rider was polite and on time,2025-04-23 11:58:00,1,,,pos
REV-003563,ORD-006944,PRD-00225,CUST-00158,3.0,Bad experience,Reached on time but packaging was weak Average experience,2025-05-16 15:23:00,0,1,Drone,neu
REV-011581,ORD-002140,PRD-00583,CUST-03903,5.0,,"Great experience overall 👍 Packaging was excellent, product intact",2024-01-02 07:00:00,1,19,,pos
REV-008475,ORD-001468,PRD-00241,CUST-01917,2.0,Bad experience,Package arrived damaged No tracking updates at all,2024-12-01 21:05:00,1,,Van,neg
REV-011704,ORD-013181,PRD-00082,CUST-00890,2.0,Delivery feedback,Drone dropped parcel in wrong spot No tracking updates at all,2025-12-01 21:05:00,0,22,Drone,neg
REV-003248,ORD-007425,PRD-00011,CUST-00187,4.0,,Rider was polite and on time Tracking updates were accurate,2024-08-18 07:17:00,0,,Truck,pos
REV-007017,ORD-004883,PRD-00544,CUST-02987,5.0,Bad experience,Rider was polite and on time Drone drop was smooth and quick,2024-10-27 16:00:00,1,63,,pos
REV-006611,ORD-013873,PRD-00229,CUST-04413,4.0,,Drone drop was smooth and quick Rider was polite and on time,2024-11-04 07:31:00,1,,,pos
REV-005534,ORD-012362,PRD-00760,CUST-00438,5.0,Good,"Delivery was faster than promised Packaging was excellent, product intact",2025-02-13 11:12:00,1,51,Drone,pos
REV-006564,ORD-001271,PRD-00208,CUST-04612,3.0,,"Delivery was okay, nothing special Reached on time but packaging was weak",2024-08-21 00:00:00,0,20,Drone,neu
REV-011302,ORD-003224,PRD-00225,CUST-03196,1.0,Delivery feedback,Delivery was 2 days late Item missing from the box,2024-05-30 20:31:00,1,71,Truck,neg
REV-001445,ORD-009171,PRD-00298,CUST-04378,3.0,Good,"Product fine, delivery slow Reached on time but packaging was weak",2024-03-13 00:00:00,0,80,Drone,neu
REV-008784,ORD-014922,PRD-00213,CUST-01458,5.0,,Great experience overall 👍 Tracking updates were accurate,2024-02-06 00:00:00,1,89,Drone,pos
REV-006209,ORD-003390,PRD-00096,CUST-04225,2.0,Bad experience,No tracking updates at all Package arrived damaged,2024-03-17 10:23:00,1,,Bike,neg
REV-003286,ORD-003080,PRD-00258,CUST-04549,4.0,,Delivery was faster than promised Tracking updates were accurate,2025-02-20 13:12:00,1,48,Drone,pos
REV-009933,ORD-008548,PRD-00243,CUST-00576,3.0,Good,Reached on time but packaging was weak Average experience,2024-03-03 09:23:00,0,77,Drone,neu
REV-010395,ORD-009760,PRD-00048,CUST-01149,4.0,,Delivery was faster than promised Great experience overall 👍,2024-07-11 12:12:00,0,81,Drone,pos
REV-009841,ORD-000380,PRD-00648,CUST-00722,3.0,,"Delivery was okay, nothing special Product fine, delivery slow",2024-03-09 09:17:00,1,11,Drone,neu
REV-009465,ORD-005198,PRD-00075,CUST-00743,3.0,,Average experience Reached on time but packaging was weak,2024-05-17 06:12:00,1,32,Drone,neu
REV-003535,ORD-005334,PRD-00516,CUST-02205,1.0,Bad experience,Item missing from the box Rider was rude on call,2025-03-08 17:23:00,0,57,Drone,neg
REV-008377,ORD-002585,PRD-00563,CUST-02215,2.0,,Delivery was 2 days late Rider was rude on call,2024-06-12 14:00:00,1,72,Bike,neg
REV-002491,ORD-009856,PRD-00508,CUST-01452,4.0,,"Packaging was excellent, product intact Tracking updates were accurate",2024-09-25 09:12:00,1,40,Bike,pos
