log_id,order_id,event_seq,event_type,event_timestamp,hub_code,vehicle_id,scanned_by_emp,location_city,remarks,exception_code
LOG-0023105,ORD-004406,5.0,AT_HUB,2025-05-16 19:47:00,HUB-VIS,VEH-0392,EMP-0406,Lucknow,,EX-12
LOG-0003493,ORD-000673,4.0,AT_HUB,2024-04-09 17:18:41,HUB-CHE,VEH-0022,EMP-0550,Kolkata,,
LOG-0023785,ORD-004538,1.0,ORDER_PLACED,2024-05-01 16:13:55,HUB-GUW,VEH-0666,EMP-0315,Pune,"Consignee said ""call before arrival""",
LOG-0063526,ORD-012111,3.0,OUT_FOR_DELIVERY,2024-10-24 10:18:00,HUB-HYD,VEH-0595,EMP-0501,Mumbai,"Address unclear,
rider called customer twice",
LOG-0050236,ORD-009578,2.0,PICKED_UP,2024-01-21 18:15:00,HUB-DEL,VEH-0377,EMP-0997,Ahmedabad,"Address unclear,
rider called customer twice",
LOG-0028891,ORD-005512,2.0,PICKED_UP,2024-02-24 19:35:40,HUB-KOC,VEH-0209,EMP-0703,Gurugram,,
LOG-0055206,ORD-010529,4.0,AT_HUB,2024-06-27 20:15:00,HUB-CHA,VEH-0297,EMP-0892,Kochi,,
LOG-0026157,ORD-004988,5.0,AT_HUB,2025-09-02 20:54:56,HUB-COI,VEH-0331,EMP-1144,Gurugram,,
LOG-0066639,ORD-012705,1.0,ORDER_PLACED,2024-10-25 13:33:10,HUB-CHA,VEH-0644,EMP-0134,Delhi,Handed over to last-mile partner,EX-12
LOG-0029305,ORD-005590,,OUT_FOR_DELIVERY,2025-01-19 14:57:00,HUB-NAG,VEH-0578,EMP-0325,Gurugram,"Address unclear,
rider called customer twice",
LOG-0013802,ORD-002634,3.0,IN TRANSIT,2025-04-07 04:27:00,HUB-HYD,VEH-0704,EMP-0230,Chennai,"Consignee said ""call before arrival""",
LOG-0051891,ORD-009897,1.0,ORDER_PLACED,2025-06-26 13:37:04,HUB-AHM,VEH-0361,EMP-0221,Gurugram,Weather hold - heavy rain at hub,
LOG-0005943,ORD-001142,4.0,IN_TRANSIT,2025-05-16 11:08:18,HUB-BEN,VEH-0623,EMP-0418,Delhi,OK,
LOG-0055488,ORD-010583,4.0,DELIVERED,2025-06-09 07:40:00,HUB-LUC,VEH-0171,EMP-0415,Delhi,Weather hold - heavy rain at hub,
LOG-0024953,ORD-004759,1.0,ORDER_PLACED,2024-05-28 14:14:43,HUB-BHU,VEH-0161,EMP-0505,Bhubaneswar,Weather hold - heavy rain at hub,EX-01
LOG-0035524,ord-006776,1.0,ORDER_PLACED,2025-01-25 18:47:48,HUB-HYD,VEH-0688,EMP-0809,Chennai,,
LOG-0020790,ORD-003963,3.0,AT_HUB,2025-04-17 14:46:06,HUB-JAI,VEH-0713,EMP-0189,Mumbai,,
LOG-0016656,ORD-003172,1.0,ORDER_PLACED,2025-01-14 10:34:00,HUB-KOL,VEH-0128,EMP-0290,Chandigarh,Weather hold - heavy rain at hub,
LOG-0000006,ORD-000001,6.0,DELIVERED,2024-11-13 03:59:30,HUB-GUR,VEH-0689,EMP-0733,Ahmedabad,,
LOG-0042213,ORD-008049,3.0,IN_TRANSIT,2024-07-22 20:20:35,HUB-COI,VEH-0138,EMP-0555,Bhubaneswar,"Customer unavailable, left with security",
LOG-0024552,ORD-004681,4.0,IN_TRANSIT,2024-06-25 21:27:50,HUB-LUC,VEH-0558,EMP-0518,Bengaluru,,
LOG-0067237,ORD-012816,2.0,PICKED_UP,2024-03-20 21:56:29,HUB-HYD,VEH-0658,EMP-0220,Pune,Handed over to last-mile partner,EX-12
LOG-0066828,ORD-012738,4.0,IN_TRANSIT,2025-05-06 13:52:52,HUB-PUN,VEH-0604,EMP-1178,Coimbatore,,
LOG-0060827,ORD-011595,3.0,IN_TRANSIT,2024-06-28 03:54:00,HUB-PUN,VEH-0608,EMP-0575,Nagpur,"Consignee said ""call before arrival""",
LOG-0016105,ORD-003070,2.0,PICKED_UP,2024-07-25 18:00:17,HUB-CHE,VEH-0617,EMP-0436,Lucknow,,
LOG-0006459,ORD-001241,3.0,IN_TRANSIT,2024-07-10 17:42:07,HUB-VIS,VEH-0708,EMP-0426,Mysuru,"Address unclear,
rider called customer twice",
LOG-0073220,ORD-013953,5.0,OUT_FOR_DELIVERY,2024-10-30 07:06:00,HUB-MYS,VEH-0694,EMP-0265,Lucknow,Handed over to last-mile partner,
LOG-0007193,ORD-001383,2.0,PICKED_UP,2024-08-25 19:49:27,HUB-AHM,VEH-0650,EMP-1005,Ahmedabad,"Drone aborted landing, obstacle detected",EX-07
LOG-0068186,ORD-012994,1.0,ORDER_PLACED,2024-06-21 16:38:00,HUB-PUN,VEH-0705,EMP-0892,Bhubaneswar,,
LOG-0036012,ORD-006868,3.0,IN_TRANSIT,2024-03-15 02:20:40,HUB-MUM,VEH-0645,EMP-0897,Mysuru,Weather hold - heavy rain at hub,
LOG-0076027,ORD-014479,3.0,AT_HUB,2024-02-19 12:54:05,HUB-AHM,VEH-0683,EMP-0536,Lucknow,OK,
LOG-0074674,ORD-014228,2.0,PICKED_UP,2025-09-02 17:20:39,HUB-PUN,VEH-0529,EMP-0036,Nagpur,Handed over to last-mile partner,
LOG-0029532,ORD-005635,2.0,PICKED_UP,2024-06-26 09:14:00,HUB-JAI,VEH-0034,EMP-0116,Mysuru,,
LOG-0027589,ORD-005261,1.0,ORDER_PLACED,2024-06-14 15:30:41,HUB-MUM,VEH-0701,EMP-0683,Bhubaneswar,,
LOG-0039080,ORD-007451,1.0,ORDER_PLACED,2024-04-17 06:29:24,HUB-MYS,VEH-0499,EMP-0355,Delhi,"Customer unavailable, left with security",
LOG-0012332,ORD-002355,4.0,DELIVERED,2024-02-29 18:50:12,HUB-CHA,VEH-0247,EMP-0597,Nagpur,"Address unclear,
rider called customer twice",EX-01
LOG-0015551,ORD-002965,1.0,ORDER_PLACED,2024-12-03 07:35:46,HUB-GUW,VEH-0540,EMP-0464,Pune,"Consignee said ""call before arrival""",
LOG-0066178,ORD-012617,5.0,OUT_FOR_DELIVERY,2024-01-04 09:03:33,HUB-GUR,VEH-0271,EMP-0369,Jaipur,"Address unclear,
rider called customer twice",
LOG-0016751,ORD-003190,4.0,IN_TRANSIT,2025-03-04 05:15:10,HUB-DEL,VEH-0637,EMP-1080,Guwahati,"Customer unavailable, left with security",
LOG-0076601,ORD-014588,2.0,PICKED_UP,2024-06-04 17:40:00,HUB-BEN,VEH-0244,EMP-0139,Hyderabad,"Drone aborted landing, obstacle detected",
LOG-0000416,ORD-000081,3.0,AT_HUB,2024-05-13 21:22:22,HUB-KOL,VEH-0426,EMP-0807,Mysuru,OK,
LOG-0052052,ORD-009927,1.0,ORDER PLACED,2025-06-13 00:00:00,HUB-KOC,VEH-0653,EMP-0341,Kolkata,Handed over to last-mile partner,
LOG-0026745,ORD-005101,2.0,PICKED_UP,2025-09-04 21:35:59,HUB-CHE,VEH-0670,EMP-0694,Delhi,OK,
LOG-0070121,ORD-013366,1.0,ORDER_PLACED,2024-08-18 23:23:13,HUB-MYS,VEH-0714,EMP-0415,Visakhapatnam,,
LOG-0049371,ORD-009413,4.0,AT_HUB,2024-10-14 03:03:17,HUB-HYD,VEH-0601,EMP-0511,Chennai,OK,
LOG-0014254,ORD-002721,2.0,PICKED_UP,2024-08-03 17:36:00,HUB-KOC,VEH-0627,EMP-0856,Jaipur,"Drone aborted landing, obstacle detected",
LOG-0046096,ORD-008789,4.0,AT_HUB,2024-08-30 21:55:39,HUB-COI,VEH-0706,EMP-0319,Jaipur,"Consignee said ""call before arrival""",
LOG-0067097,ORD-012789,6.0,DELIVERED,2025-01-07 23:34:00,HUB-JAI,VEH-0452,EMP-0654,Lucknow,Weather hold - heavy rain at hub,
LOG-0022073,ORD-004210,2.0,PICKED_UP,2024-01-05 11:24:18,HUB-CHE,VEH-0449,EMP-0264,Coimbatore,Weather hold - heavy rain at hub,
LOG-0031323,ORD-005975,5.0,AT_HUB,2024-04-24 08:43:38,HUB-CHE,VEH-0731,EMP-0124,Chennai,"Consignee said ""call before arrival""",
LOG-0001900,ORD-000364,5.0,AT_HUB,2025-01-15 02:27:12,HUB-GUR,VEH-0709,EMP-0707,Delhi,OK,
LOG-0023160,ORD-004417,2.0,PICKED_UP,2024-05-12 07:05:00,HUB-BHU,VEH-0685,EMP-0426,Delhi,,
LOG-0047688,ORD-009093,1.0,ORDER_PLACED,2024-09-19 20:44:00,HUB-MYS,VEH-0719,EMP-1181,Pune,Handed over to last-mile partner,
LOG-0068924,ORD-013135,5.0,OUT_FOR_DELIVERY,2025-06-26 22:51:13,HUB-MYS,VEH-0589,EMP-0774,Guwahati,"Drone aborted landing, obstacle detected",
LOG-0064589,ORD-012317,1.0,ORDER_PLACED,2024-03-21 17:28:08,HUB-LUC,VEH-0720,EMP-0021,Ahmedabad,"Drone aborted landing, obstacle detected",
LOG-0000558,ORD-000109,1.0,ORDER_PLACED,2025-01-22 20:59:58,HUB-JAI,VEH-0647,EMP-0756,Delhi,,
LOG-0005063,ORD-000976,1.0,ORDER_PLACED,2024-07-23 21:43:00,HUB-MUM,VEH-0598,EMP-1199,Gurugram,Handed over to last-mile partner,
LOG-0020128,ORD-003840,2.0,PICKED_UP,2024-12-28 12:26:31,HUB-DEL,VEH-0509,EMP-0360,Bengaluru,Handed over to last-mile partner,
LOG-0050874,ORD-009701,4.0,OUT_FOR_DELIVERY,2024-04-02 15:24:05,HUB-BEN,VEH-0720,EMP-0145,Visakhapatnam,,
LOG-0045036,ORD-008584,2.0,PICKED_UP,2025-11-02 11:22:53,HUB-CHA,VEH-0640,EMP-0219,Kolkata,Weather hold - heavy rain at hub,
LOG-0077930,ORD-014841,3.0,AT_HUB,2024-06-29 01:50:46,HUB-KOC,VEH-0690,EMP-0237,Lucknow,OK,
LOG-0025855,ORD-004931,3.0,OUT_FOR_DELIVERY,2024-11-06 03:12:33,HUB-KOL,VEH-0689,EMP-0981,Mysuru,,
LOG-0052984,ORD-010103,3.0,OUT_FOR_DELIVERY,2024-08-16 19:57:00,HUB-BEN,VEH-0025,EMP-0223,Gurugram,Handed over to last-mile partner,EX-01
LOG-0065225,ORD-012436,6.0,DELIVERED,2024-10-31 23:01:00,HUB-GUR,VEH-0510,EMP-0575,Visakhapatnam,Weather hold - heavy rain at hub,EX-07
LOG-0022315,ORD-004255,3.0,AT_HUB,2024-10-25 21:19:31,HUB-LUC,VEH-0354,EMP-1051,Bhubaneswar,"Consignee said ""call before arrival""",
LOG-0074018,ORD-014102,4.0,AT_HUB,2025-03-11 23:15:22,HUB-MYS,VEH-0702,EMP-0849,Mysuru,OK,
LOG-0015679,ORD-002989,5.0,IN_TRANSIT,2024-03-28 14:15:00,HUB-JAI,VEH-0501,EMP-0429,Bhubaneswar,"Consignee said ""call before arrival""",
LOG-0030640,ORD-005845,1.0,ORDER_PLACED,2024-06-10 07:14:31,HUB-KOL,VEH-0358,EMP-0085,Mumbai,,
LOG-0026100,ORD-004978,3.0,IN_TRANSIT,2024-05-17 13:09:47,HUB-KOC,VEH-0698,EMP-0962,Hyderabad,,
LOG-0039930,ORD-007610,,DELIVERED,2025-06-16 22:03:47,HUB-KOL,VEH-0581,EMP-0550,Pune,"Consignee said ""call before arrival""",
LOG-0062055,ORD-011830,3.0,IN_TRANSIT,2025-12-05 08:58:32,HUB-MAD,VEH-0572,EMP-0274,Lucknow,Weather hold - heavy rain at hub,
LOG-0046292,ORD-008827,2.0,PICKED_UP,2025-03-25 19:58:00,HUB-PUN,VEH-0432,EMP-0094,Delhi,,
LOG-0001498,ORD-000286,2.0,PICKED_UP,2024-02-19 00:14:38,HUB-HYD,VEH-0701,EMP-0014,Guwahati,,
LOG-0001096,ORD-000211,4.0,OUT_FOR_DELIVERY,2024-04-30 17:52:00,HUB-GUW,VEH-0244,EMP-1097,Ahmedabad,"Customer unavailable, left with security",EX-01
LOG-0012800,ORD-002443,4.0,AT_HUB,2025-06-04 01:51:02,HUB-KOC,VEH-0681,EMP-0820,Jaipur,OK,EX-01
LOG-0059464,ORD-011335,2.0,PICKED_UP,2024-12-17 17:13:21,HUB-MYS,VEH-0017,EMP-0632,Madurai,Weather hold - heavy rain at hub,
LOG-0066665,ORD-012709,4.0,AT_HUB,2024-07-22 15:14:00,HUB-KOL,VEH-0631,EMP-0994,Chennai,"Drone aborted landing, obstacle detected",EX-01
LOG-0038617,ORD-007364,4.0,IN_TRANSIT,2025-04-27 21:04:26,HUB-CHA,VEH-0348,EMP-1015,Mysuru,,
LOG-0007958,ORD-001530,2.0,PICKED_UP,2025-06-14 11:11:00,HUB-AHM,VEH-0513,EMP-0820,Chandigarh,"Consignee said ""call before arrival""",EX-07
LOG-0067945,ORD-012948,6.0,DELIVERED,,HUB-AHM,VEH-0190,EMP-1053,Chandigarh,"Customer unavailable, left with security",
LOG-0017804,ORD-003390,4.0,DELIVERED,2024-02-19 22:57:12,HUB-BHU,VEH-0704,EMP-0774,Jaipur,Weather hold - heavy rain at hub,
LOG-0035308,ORD-006733,3.0,IN_TRANSIT,2024-05-15 22:49:03,HUB-AHM,VEH-0613,EMP-1181,Lucknow,,
LOG-0053666,ORD-010233,3.0,AT_HUB,2024-11-03 14:24:45,HUB-HYD,VEH-0481,EMP-0775,Bhubaneswar,,
LOG-0047090,ORD-008979,1.0,ORDER PLACED,2024-01-02 20:47:30,HUB-AHM,VEH-0674,EMP-0663,Kochi,Weather hold - heavy rain at hub,
LOG-0078109,ORD-014875,3.0,AT_HUB,2025-03-26 11:22:53,HUB-VIS,VEH-0545,EMP-0248,Hyderabad,"Drone aborted landing, obstacle detected",
LOG-0041903,ORD-007988,4.0,AT_HUB,2025-05-18 08:44:01,HUB-VIS,VEH-0084,EMP-0304,Bengaluru,"Customer unavailable, left with security",
LOG-0011658,ORD-002228,2.0,PICKED_UP,2025-02-14 16:00:11,HUB-DEL,VEH-0560,EMP-0058,Gurugram,Weather hold - heavy rain at hub,
LOG-0034790,ORD-006634,5.0,DELIVERED,2024-05-25 14:07:36,HUB-VIS,VEH-0316,EMP-0582,Mumbai,,EX-12
LOG-0014996,ORD-002860,,PICKED_UP,2024-03-05 10:44:00,HUB-MAD,VEH-0188,EMP-0349,Bhubaneswar,,
LOG-0031231,ORD-005957,6.0,DELIVERED,2025-05-05 13:27:38,HUB-KOC,VEH-0597,EMP-0572,Visakhapatnam,"Customer unavailable, left with security",EX-07
LOG-0071249,ORD-013585,1.0,ORDER_PLACED,2025-12-01 12:28:52,HUB-GUR,VEH-0476,EMP-0844,Bhubaneswar,,
LOG-0036862,ORD-007028,1.0,ORDER_PLACED,2024-10-03 18:31:07,HUB-KOL,VEH-0193,EMP-0778,Hyderabad,"Customer unavailable, left with security",
LOG-0013373,ORD-002551,5.0,IN_TRANSIT,2024-01-14 05:12:13,HUB-COI,VEH-0679,EMP-0860,Lucknow,OK,
LOG-0019905,ORD-003796,2.0,PICKED_UP,2024-09-24 07:21:18,HUB-MYS,VEH-0206,EMP-0095,Pune,Weather hold - heavy rain at hub,EX-01
LOG-0047353,ORD-009030,4.0,DELIVERED,2024-02-13 07:43:47,HUB-GUR,VEH-0289,EMP-0758,Kochi,OK,
LOG-0027849,ORD-005310,4.0,AT_HUB,2025-03-28 06:10:56,HUB-KOC,VEH-0658,EMP-0140,Pune,"Address unclear,
rider called customer twice",EX-07
LOG-0068494,ORD-013052,5.0,DELIVERED,2025-03-03 16:10:58,HUB-MUM,VEH-0239,EMP-1071,Chandigarh,Weather hold - heavy rain at hub,
LOG-0014949,ORD-002851,2.0,PICKED_UP,2025-02-17 09:09:42,HUB-KOL,VEH-0077,EMP-0178,Nagpur,OK,EX-07
LOG-0017784,ORD-003387,1.0,ORDER_PLACED,2024-10-22 15:27:52,HUB-JAI,VEH-0610,EMP-0435,Madurai,"Customer unavailable, left with security",
LOG-0027294,ORD-005206,1.0,ORDER_PLACED,2025-03-15 22:21:56,HUB-KOC,VEH-0632,EMP-1192,Jaipur,"Consignee said ""call before arrival""",
LOG-0026012,ORD-004960,3.0,AT_HUB,2025-02-02 18:30:44,HUB-HYD,VEH-0623,EMP-0993,Chandigarh,,
LOG-0039201,ORD-007473,4.0,OUT_FOR_DELIVERY,2024-08-03 16:52:05,HUB-PUN,VEH-0225,EMP-0496,Kochi,"Customer unavailable, left with security",EX-01
LOG-0017819,ORD-003393,3.0,AT_HUB,2025-04-28 07:07:55,HUB-PUN,VEH-0620,EMP-0811,Hyderabad,,EX-12
LOG-0038475,ORD-007336,3.0,OUT_FOR_DELIVERY,,HUB-KOL,VEH-0558,EMP-0236,Kochi,"Address unclear,
rider called customer twice",
LOG-0055392,ORD-010565,4.0,RTO_INITIATED,2024-05-13 08:11:15,HUB-MUM,VEH-0215,EMP-1078,Delhi,Weather hold - heavy rain at hub,EX-01
LOG-0066418,ORD-012662,2.0,PICKED_UP,2024-02-19 17:25:47,HUB-NAG,VEH-0616,EMP-0786,Bhubaneswar,,
LOG-0006672,ORD-001282,4.0,IN_TRANSIT,,HUB-LUC,VEH-0712,EMP-0286,Kochi,OK,
LOG-0046033,ORD-008777,,AT_HUB,2024-04-24 04:35:07,HUB-JAI,VEH-0665,EMP-1033,Kochi,,
LOG-0052702,ORD-010049,5.0,AT_HUB,2024-02-04 15:24:24,HUB-NAG,VEH-0209,EMP-0912,Madurai,Handed over to last-mile partner,
LOG-0049960,ORD-009525,4.0,AT_HUB,2024-09-01 10:04:00,HUB-BHU,VEH-0246,EMP-0920,Chennai,Weather hold - heavy rain at hub,
LOG-0072869,ORD-013887,3.0,OUT_FOR_DELIVERY,2025-02-11 00:00:00,HUB-KOL,VEH-0714,EMP-0534,Kolkata,"Drone aborted landing, obstacle detected",
LOG-0021536,ORD-004104,6.0,DELIVERED,2024-01-23 07:25:08,HUB-GUW,VEH-0711,EMP-0997,Chandigarh,"Address unclear,
rider called customer twice",
LOG-0055371,ORD-010561,2.0,PICKED_UP,2024-08-21 12:02:39,HUB-MAD,VEH-0626,EMP-0160,Madurai,"Drone aborted landing, obstacle detected",
LOG-0044410,ORD-008465,5.0,IN_TRANSIT,2024-03-13 23:41:16,HUB-VIS,VEH-0702,EMP-0292,Bengaluru,"Address unclear,
rider called customer twice",
LOG-0029994,ORD-005721,5.0,AT_HUB,2025-03-06 14:09:00,HUB-MYS,VEH-0395,EMP-0995,Kochi,"Drone aborted landing, obstacle detected",
LOG-0059622,ORD-011364,3.0,OUT_FOR_DELIVERY,2024-05-26 14:51:52,HUB-HYD,VEH-0253,EMP-0287,Nagpur,,EX-12
LOG-0021805,ORD-004158,2.0,PICKED_UP,2025-05-19 11:30:00,HUB-CHA,VEH-0517,EMP-1191,Hyderabad,OK,
LOG-0067085,ord-012787,4.0,IN_TRANSIT,2024-11-12 07:37:30,HUB-JAI,VEH-0655,EMP-0322,Kochi,"Address unclear,
rider called customer twice",
LOG-0050225,ORD-009576,1.0,ORDER_PLACED,2024-02-25 19:40:00,HUB-DEL,VEH-0234,EMP-0955,Pune,,
LOG-0014552,ORD-002777,6.0,DELIVERED,2024-04-10 00:00:00,HUB-LUC,VEH-0167,EMP-0464,Pune,"Address unclear,
rider called customer twice",
LOG-0014190,ORD-002709,2.0,PICKED_UP,2024-03-06 19:05:22,HUB-CHE,VEH-0319,EMP-1122,Kolkata,OK,
LOG-0046191,ORD-008808,3.0,IN_TRANSIT,2024-03-10 15:58:00,HUB-CHA,VEH-0049,EMP-0948,Kochi,,
LOG-0007963,ORD-001531,1.0,ORDER_PLACED,2024-10-30 09:45:43,HUB-DEL,VEH-0617,EMP-0702,Nagpur,Weather hold - heavy rain at hub,EX-01
