date,city,humidity_pct,precipitation_mm,wind_speed_kmph,visibility_km,condition,storm_alert,temp_c
2024-02-10,Chennai,,2.0,29.5,6.9,Cloudy,0,
2024-12-02,Chennai,82,1.5,12.2,11.5,Clear,0,25.4
2024-02-13,Chennai,42,1.8,31.5,11.8,Clear,0,26.2
2024-02-14,Chennai,53,105.2,40.3,10.3,Heavy Rain,0,28.0
2024-02-15,Chennai,44,0.3,34.6,11.0,Cloudy,0,31.6
2024-02-16,Chennai,69,1.5,25.3,4.7,Sunny,0,28.3
2024-02-17,Chennai,71,68.9,6.8,9.1,Rain,0,31.3
2024-02-18,Chennai,49,113.7,17.2,9.9,Heavy Rain,1,30.2
2024-02-19,Chennai,35,82.7,23.5,5.6,Heavy Rain,1,32.8
2024-02-20,Chennai,54,0.4,44.2,2.7,Fog,0,36.3
2024-02-21,Chennai,40,1.4,35.5,7.2,Cloudy,0,30.8
2024-02-22,Chennai,30,1.6,2.3,11.8,Sunny,0,25.6
2024-02-23,Chennai,97,0.3,41.5,4.9,Clear,0,35.6
2024-02-24,Chennai,60,49.7,11.2,4.9,Rain,0,26.1
2024-02-25,Chennai,37,111.2,24.5,4.8,Rain,0,27.9
2024-02-26,Chennai,56,0.5,33.4,6.4,Cloudy,0,30.6
2024-02-27,Chennai,58,33.7,4.0,11.1,Heavy Rain,0,29.1
2024-02-28,Chennai,49,1.3,39.5,8.3,Clear,0,29.8
2024-02-29,Chennai,56,1.7,32.8,8.2,Cloudy,0,31.4
2024-01-03,Chennai,74,91.4,36.4,4.8,Rain,0,35.5
2024-02-03,Chennai,94,2.0,17.4,1.3,Fog,0,27.6
2024-03-03,Chennai,38,0.9,29.9,6.6,Clear,0,32.7
2024-03-04,Chennai,88,0.5,5.1,6.6,Clear,0,29.5
2024-03-05,Chennai,42,0.1,23.4,0.9,Fog,0,28.4
2024-03-06,Chennai,68,61.9,43.5,7.6,Heavy Rain,0,31.0
2024-07-03,Chennai,  ,1.1,5.6,2.3,Fog,0,34.9
2024-08-03,Chennai,57,0.5,34.7,9.2,Sunny,0,33.4
2024-03-09,Chennai,77,0.5,6.4,8.6,Cloudy,0,32.5
2024-10-03,Chennai,79,1.1,3.3,6.6,Clear,0,29.9
2024-03-11,Chennai,46,1.7,36.4,10.7,Clear,0,
2024-12-03,Chennai,87,9.8,7.2,7.0,Rain,0,30.3
2024-03-13,Chennai,94,108.4,23.0,9.7,Heavy Rain,0,31.2
2024-03-14,Chennai,91,67.7,37.1,11.0,Rain,0,28.2
2024-03-15,Chennai,94,0.3,39.9,6.8,Clear,0,34.2
2024-03-16,Chennai,36,70.6,42.5,10.0,Rain,0,30.2
2024-03-17,Chennai,32,0.3,44.7,8.2,Clear,0,27.8
2024-03-18,Chennai,50,0.1,22.5,1.6,Fog,0,29.2
2024-03-19,Chennai,90,53.5,41.8,7.6,Rain,1,35.9
2024-03-20,Chennai,64,0.1,33.4,7.0,Clear,0,34.4
2024-03-21,Chennai,42,0.3,21.8,11.4,Cloudy,0,26.9
2024-03-22,Chennai,92,1.6,35.5,9.8,Clear,0,30.9
2024-03-23,Chennai,81,1.6,7.0,8.9,Cloudy,0,32.1
2024-03-24,Chennai,36,0.8,19.6,9.1,Sunny,0,30.2
2024-03-25,Chennai,93,43.9,45.0,9.3,Thunderstorm,1,37.1
2024-03-26,Chennai,34,0.1,15.7,0.6,Fog,0,37.2
2024-03-27,Chennai,60,0.8,38.3,6.1,Cloudy,0,32.5
2024-03-28,Chennai,44,0.7,13.4,6.0,Clear,0,32.8
2024-03-29,Chennai,52,53.5,32.5,10.0,Thunderstorm,0,29.4
2024-03-30,Chennai,58,96.7,11.0,9.1,Thunderstorm,1,31.9
2024-03-31,Chennai,94,0.3,23.8,8.0,Cloudy,0,85.2
2024-01-04,Chennai,70,0.8,29.1,7.4,Clear,0,
2024-02-04,Chennai,90,1.4,33.4,7.3,Cloudy,0,96.1
2024-04-03,Chennai,47,1.1,38.4,9.1,Sunny,0,30.5
2024-04-04,Chennai,54,0.8,37.5,11.0,Sunny,0,28.3
2024-04-05,Chennai,45,1.0,10.3,9.4,Cloudy,0,33.6
2024-06-04,Chennai,63,0.0,20.1,8.3,Sunny,0,36.4
2024-07-04,Chennai,,1.9,22.8,4.5,Clear,0,25.6
2024-08-04,Chennai,82,0.2,13.3,10.7,Sunny,0,33.1
2024-09-04,Chennai,35,0.7,12.3,7.9,Sunny,0,30.4
2024-10-04,Chennai,66,88.0,35.5,5.9,Thunderstorm,0,28.5
2024-04-11,Chennai,58,0.7,24.5,11.9,Clear,0,28.5
2024-12-04,Chennai,94,99.4,38.9,9.3,Rain,0,28.2
2024-04-13,Chennai,unknown,1.7,33.6,9.0,Cloudy,0,30.3
2024-04-14,Chennai,61,1.1,40.6,5.8,Clear,0,34.1
2024-04-15,Chennai,60,0.5,23.4,8.7,Clear,0,34.72222222222222
2024-04-16,Chennai,87,1.0,15.9,11.0,Clear,0,28.6
2024-04-17,Chennai,96,1.9,6.4,2.4,Fog,0,36.3
2024-04-18,Chennai,46,90.9,3.4,11.0,Thunderstorm,1,36.6
2024-04-19,Chennai,43,0.9,12.8,2.5,Fog,0,32.1
2024-04-20,Chennai,72,44.7,17.7,4.4,Thunderstorm,0,30.3
2024-04-21,Chennai,90,1.6,19.8,10.5,Cloudy,0,31.2
2024-04-22,Chennai,91,40.4,26.1,10.5,Rain,0,31.6
2024-04-23,Chennai,unknown,1.9,37.0,11.2,Cloudy,0,28.6
2024-04-24,Chennai,49,0.4,14.7,8.4,Clear,0,30.5
2024-04-25,Chennai,76,1.1,10.8,6.0,Cloudy,0,34.4
2024-04-26,Chennai,90,1.6,20.9,9.5,Clear,0,35.5
2024-04-27,Chennai,56,0.9,43.6,10.9,Clear,0,35.1
2024-04-28,Chennai,47,0.9,22.6,3.0,Fog,0,30.7
2024-04-29,Chennai,94,1.2,26.3,9.8,Clear,0,27.7
2024-04-30,Chennai,36,0.5,20.9,10.7,Sunny,0,29.5
2024-05-01,Chennai,84,1.8,40.7,1.3,Fog,0,35.0
2024-05-02,Chennai,56,0.1,37.4,7.4,Clear,0,25.8
2024-03-05,Chennai,81,0.7,34.9,11.5,Clear,0,32.0
2024-05-05,Chennai,60,0.8,36.8,6.3,Cloudy,0,82.3
2024-06-05,Chennai,49,0.7,31.0,5.7,Cloudy,0,31.2
2024-07-05,Chennai,54,1.8,9.6,5.4,Sunny,0,34.8
2024-05-08,Chennai,71,0.9,38.0,7.8,Clear,0,38.5
2024-09-05,Chennai,97,45.1,36.7,4.1,Heavy Rain,0,26.8
2024-05-10,Chennai,43,1.8,12.4,10.9,Clear,0,29.7
2024-11-05,Chennai,64,1.7,26.4,6.2,Cloudy,0,25.5
2024-12-05,Chennai,69,0.4,15.1,4.5,Cloudy,0,34.6
2024-05-13,Chennai,31,1.2,31.9,10.7,Sunny,0,32.6
2024-05-14,Chennai,76,1.7,40.9,9.7,Cloudy,0,33.1
2024-05-15,Chennai,75,1.8,17.9,11.0,Cloudy,0,32.9
2024-05-16,Chennai,71,0.0,30.8,1.3,Fog,0,29.5
2024-05-17,Chennai,93,0.7,19.9,10.1,Cloudy,0,31.5
2024-05-18,Chennai,60,1.5,27.2,11.5,Cloudy,0,25.0
2024-05-19,Chennai,,1.3,32.0,9.9,Clear,0,26.8
2024-05-20,Chennai,31,67.7,21.8,10.7,Thunderstorm,1,32.4
2024-05-21,Chennai,76,0.7,41.8,1.9,Fog,0,26.333333333333336
2024-05-22,Chennai,57,0.1,13.3,4.8,Cloudy,0,27.4
2024-05-23,Chennai,35,17.4,-,5.6,Rain,0,27.0
2024-05-24,Chennai,45,85.4,33.4,6.2,Rain,0,31.9
2024-05-25,Chennai,34,1.9,6.6,7.7,Clear,0,30.5
2024-05-26,Chennai,41,1.4,35.7,10.4,Clear,0,27.1
2024-05-27,Chennai,45,0.1,38.2,11.7,Clear,0,31.6
2024-05-28,Chennai,43,0.4,31.9,1.4,Fog,0,29.4
2024-05-29,Chennai,89,1.7,26.4,11.0,Sunny,0,27.0
2024-05-30,Chennai,76,85.9,15.5,10.4,Rain,1,27.4
2024-05-31,Chennai,74,0.9,41.4,4.1,Clear,0,32.1
2024-06-01,Chennai,49,0.3,30.2,6.6,Clear,0,25.222222222222225
2024-02-06,Chennai,86,0.6,35.1,10.8,Cloudy,0,28.1
2024-06-03,Chennai,66,1.4,,9.8,Sunny,0,32.6
2024-04-06,Chennai,52,0.5,32.9,4.2,Clear,0,26.2
2024-05-06,Chennai,34,0.6,43.4,6.0,Cloudy,0,30.7
2024-06-06,Chennai,60,19.4,36.2,5.7,Heavy Rain,0,22.8
2024-07-06,Chennai,44,0.5,24.3,6.3,Sunny,0,23.5
2024-06-08,Chennai,77,0.0,8.1,5.1,Sunny,0,24.1
2024-09-06,Chennai,59,105.9,23.2,7.8,Heavy Rain,0,26.5
2024-06-10,Chennai,69,1.6,15.9,7.0,Clear,0,23.2
2024-06-11,Chennai,51,0.0,,6.2,Clear,0,26.3
2024-12-06,Chennai,32,74.0,27.1,6.6,Thunderstorm,1,26.8
2024-06-13,Chennai,66,41.2,16.1,4.9,Rain,1,27.5
2024-06-14,Chennai,48,103.2,34.8,7.6,Rain,0,27.9
2024-06-15,Chennai,83,1.3,28.2,8.0,Cloudy,0,23.2
2024-06-16,Chennai,31,95.4,16.0,10.6,Rain,1,27.7
2024-06-17,Chennai,31,1.6,,6.4,Clear,0,26.833333333333332
2024-06-18,Chennai,32,0.0,6.5,6.5,Sunny,0,27.3
2024-06-19,Chennai,60,1.4,39.4,9.6,Cloudy,0,25.6
2024-06-20,Chennai,72,1.4,37.9,7.1,Cloudy,0,30.5
2024-06-21,Chennai,72,0.5,31.6,2.6,Fog,0,26.3
2024-06-22,Chennai,82,0.5,25.6,1.6,Fog,0,29.0
2024-06-23,Chennai,45,0.4,6.5,0.7,Fog,0,23.4
2024-06-24,Chennai,50,61.8,12.5,11.3,Heavy Rain,0,28.6
2024-06-25,Chennai,52,0.7,3.1,12.0,Cloudy,0,27.0
2024-06-26,Chennai,45,54.3,36.9,10.2,Rain,1,70.1
2024-06-27,Chennai,29,1.8,34.3,11.5,Clear,0,23.7
2024-06-28,Chennai,34,1.6,,5.3,Clear,0,26.6
2024-06-29,Chennai,89,1.3,19.6,4.2,Clear,0,19.5
2024-06-30,Chennai,77,1.2,43.6,11.6,Clear,0,21.6
2024-07-01,Chennai,40,80.3,27.1,5.8,Rain,0,28.3
2024-02-07,Chennai,40,1.4,,10.5,Clear,0,75.6
2024-07-03,Chennai,42,1.2,25.6,2.8,Fog,0,18.5
2024-07-04,Chennai,85,0.2,5.1,7.5,Sunny,0,24.0
2024-05-07,Chennai,76,0.7,38.5,5.0,Clear,0,24.3
2024-06-07,Chennai,52,1.6,44.4,6.0,Clear,0,23.666666666666664
2024-07-07,Chennai,54,0.2,32.0,5.0,Cloudy,0,25.1
2024-08-07,Chennai,57,1.5,12.1,11.1,Cloudy,0,20.6
2024-07-09,Chennai,,68.7,13.6,6.5,Rain,0,25.9
2024-10-07,Chennai,59,36.6,22.7,6.2,Rain,1,
2024-07-11,Chennai,92,101.4,12.2,9.1,Rain,1,22.1
2024-12-07,Chennai,88,0.8,9.0,9.7,Clear,0,19.6
2024-07-13,Chennai,67,1.6,34.4,7.6,Cloudy,0,19.6
2024-07-14,Chennai,70,51.1,12.5,8.7,Rain,0,24.0
2024-07-15,Chennai,54,1.5,28.7,6.3,Clear,0,20.8
2024-07-16,Chennai,93,0.5,26.1,5.5,Clear,0,21.4
2024-07-18,Chennai,57,25.8,36.0,9.0,Heavy Rain,1,19.3
2024-07-19,Chennai,51,0.1,5.6,8.4,Clear,0,15.1
2024-07-20,Chennai,49,0.6,26.3,2.5,Fog,0,20.1
2024-07-21,Chennai,68,2.0,25.9,7.3,Sunny,0,18.8
2024-07-22,Chennai,49,1.9,37.7,7.7,Sunny,0,25.2
2024-07-23,Chennai,31,0.8,2.6,9.6,Clear,0,16.6
2024-07-24,Chennai,47,0.3,33.9,7.3,Clear,0,24.1
2024-07-25,Chennai,53,19.7,6.9,8.0,Thunderstorm,0,20.3
2024-07-26,Chennai,78,0.9,38.9,10.5,Clear,0,19.9
2024-07-27,Chennai,69,0.5,28.0,6.3,Cloudy,0,27.9
2024-07-28,Chennai,48,1.1,13.7,9.1,Clear,0,18.9
2024-07-29,Chennai,51,1.3,22.0,4.4,Cloudy,0,18.0
2024-07-30,Chennai,65,0.5,5.0,2.3,Fog,0,22.1
2024-08-01,Chennai,82,1.4,43.8,4.4,Sunny,0,58.8
2024-08-02,Chennai,80,1.7,15.0,1.8,Fog,0,23.8
2024-08-03,Chennai,69,0.1,13.8,6.3,Clear,0,17.9
2024-08-04,Chennai,74,0.4,40.7,6.0,Cloudy,0,21.5
2024-08-05,Chennai,68,0.3,24.0,2.2,Fog,0,22.6
2024-06-08,Chennai,56,2.0,29.0,4.1,Clear,0,22.0
2024-07-08,Chennai,28,1.2,27.3,5.0,Cloudy,0,22.0
2024-08-08,Chennai,83,1.1,10.9,1.7,Fog,0,19.7
2024-09-08,Chennai,71,1.5,34.7,5.5,Clear,0,17.7
2024-08-10,Chennai,85,0.7,16.2,5.9,Sunny,0,15.0
2024-11-08,Chennai,91,118.1,32.3,9.9,Rain,1,15.1
2024-12-08,Chennai,95,39.3,22.2,5.0,Rain,0,18.0
2024-08-13,Chennai,93,0.4,3.8,4.5,Cloudy,0,23.2
2024-08-14,Chennai,41,0.1,2.5,6.0,Sunny,0,20.0
2024-08-15,Chennai,28,101.9,41.1,7.6,Rain,0,22.9
2024-08-16,Chennai,75,1.0,35.3,6.4,Cloudy,0,21.1
2024-08-17,Chennai,37,1.3,23.0,11.6,Clear,0,14.4
2024-08-18,Chennai,91,1.3,35.0,8.9,Clear,0,23.2
2024-08-19,Chennai,88,1.6,-,10.3,Cloudy,0,17.27777777777778
2024-08-20,Chennai,47,1.4,11.6,7.8,Clear,0,14.2
2024-08-22,Chennai,87,0.3,28.0,5.3,Clear,0,23.444444444444443
2024-08-23,Chennai,96,0.7,7.0,5.3,Clear,0,15.8
2024-08-24,Chennai,87,94.8,27.0,10.5,Rain,0,69.7
2024-08-25,Chennai,82,0.8,20.2,11.7,Clear,0,15.0
2024-08-26,Chennai,72,87.2,27.4,6.0,Rain,0,14.9
2024-08-27,Chennai,39,24.9,28.5,10.0,Heavy Rain,0,13.0
2024-08-28,Chennai,55,1.2,20.0,6.9,Cloudy,0,8.7
2024-08-29,Chennai,85,0.5,3.1,4.7,Clear,0,16.1
2024-08-30,Chennai,33,1.0,38.6,11.2,Clear,0,18.2
2024-08-31,Chennai,83,85.2,41.3,6.0,Rain,1,15.1
2024-09-01,Chennai,83,95.4,35.7,9.0,Heavy Rain,0,20.9
2024-09-02,Chennai,53,0.1,44.5,4.2,Cloudy,0,19.7
2024-09-03,Chennai,54,0.0,10.8,2.9,Fog,0,16.6
2024-09-04,Chennai,32,1.5,26.9,2.2,Fog,0,21.2
2024-05-09,Chennai,46,27.0,39.2,4.2,Rain,0,20.3
2024-09-06,Chennai,56,0.1,24.6,10.8,Clear,0,17.2
2024-09-07,Chennai,50,1.7,38.9,4.2,Clear,0,19.0
2024-08-09,Chennai,85,62.8,9.4,10.3,Rain,0,11.0
2024-09-09,Chennai,28,1.3,9.6,9.9,Sunny,0,14.9
2024-10-09,Chennai,40,1.8,34.8,11.1,Clear,0,18.9
2024-11-09,Chennai,49,1.0,38.8,11.5,Clear,0,17.9
2024-12-09,Chennai,53,41.8,21.6,8.0,Thunderstorm,0,18.0
2024-09-13,Chennai,59,1.2,39.8,11.4,Cloudy,0,18.444444444444443
2024-09-14,Chennai,31,1.1,17.9,5.3,Clear,0,12.555555555555555
2024-09-15,Chennai,98,0.7,27.6,1.7,Fog,0,19.9
2024-09-17,Chennai,-,92.8,26.7,10.0,Thunderstorm,0,16.7
2024-09-18,Chennai,97,0.0,38.5,11.8,Clear,0,19.3
2024-09-19,Chennai,31,1.7,3.2,6.4,Clear,0,17.555555555555557
2024-09-20,Chennai,42,1.0,28.9,10.9,Clear,0,13.7
2024-09-21,Chennai,87,28.8,7.2,6.6,Rain,0,15.9
2024-09-22,Chennai,35,1.8,20.6,11.0,Clear,0,14.9
2024-09-23,Chennai,87,1.6,19.6,7.7,Sunny,0,12.4
2024-09-24,Chennai,40,0.8,2.0,5.1,Clear,0,14.0
2024-09-25,Chennai,90,0.2,21.2,9.1,Cloudy,0,9.9
2024-09-26,Chennai,38,2.0,4.3,11.1,Sunny,0,18.1
2024-09-27,Chennai,93,1.2,18.0,7.6,Clear,0,15.4
2024-09-28,Chennai,49,1.3,29.6,10.5,Clear,0,11.6
2024-09-29,Chennai,31,1.6,6.1,9.4,Sunny,0,12.9
2024-09-30,Chennai,46,54.8,18.0,9.5,Rain,1,20.0
2024-01-10,Chennai,83,0.6,37.3,8.1,Clear,0,17.4
2024-02-10,Chennai,79,1.5,42.1,8.9,Cloudy,0,15.0
2024-03-10,Chennai,76,0.8,41.5,4.2,Sunny,0,16.5
2024-04-10,Chennai,93,0.7,25.1,10.7,Cloudy,0,17.7
2024-10-05,Chennai,32,0.1,15.8,7.9,Clear,0,15.5
2024-10-06,Chennai,77,1.3,28.9,6.9,Clear,0,17.6
2024-07-10,Chennai,58,0.7,2.1,8.5,Cloudy,0,16.8
2024-10-08,Chennai,30,0.0,21.2,8.7,Sunny,0,14.6
2024-10-09,Chennai,94,1.5,2.3,6.7,Cloudy,0,14.8
2024-10-10,Chennai,51,0.4,40.9,10.7,Clear,0,13.2
2024-10-11,Chennai,29,1.3,17.4,7.2,Cloudy,0,15.8
2024-10-12,Chennai,69,92.7,13.0,7.5,Rain,1,15.1
2024-10-13,Chennai,96,1.4,12.7,5.5,Cloudy,0,15.3
2024-10-14,Chennai,67,0.4,23.3,11.4,Clear,0,18.8
2024-10-15,Chennai,67,0.3,32.2,1.4,Fog,0,16.9
2024-10-16,Chennai,96,17.1,11.3,10.5,Thunderstorm,0,13.3
2024-10-17,Chennai,48,0.6,31.0,9.8,Cloudy,0,15.9
2024-10-18,Chennai,92,0.9,14.5,1.5,Fog,0,14.3
2024-10-19,Chennai,60,0.3,24.1,5.5,Clear,0,17.333333333333332
2024-10-20,Chennai,85,0.4,33.3,11.8,Clear,0,17.8
2024-10-21,Chennai,49,74.4,6.5,10.3,Rain,1,16.6
2024-10-22,Chennai,91,1.1,44.9,4.4,Cloudy,0,22.7
2024-10-23,Chennai,44,44.0,39.6,9.1,Heavy Rain,0,11.3
2024-10-24,Chennai,34,1.2,5.6,10.8,Clear,0,13.5
2024-10-25,Chennai,34,1.0,13.5,11.9,Sunny,0,24.4
2024-10-26,Chennai,31,0.5,21.1,9.6,Sunny,0,13.6
2024-10-27,Chennai,38,0.0,10.3,9.4,Cloudy,0,19.3
2024-10-28,Chennai,41,1.8,17.1,1.5,Fog,0,13.0
2024-10-29,Chennai,89,0.8,12.4,8.3,Clear,0,13.7
2024-10-30,Chennai,31,0.6,26.1,8.9,Clear,0,17.055555555555557
2024-10-31,Chennai,  ,0.9,5.5,5.0,Clear,0,15.7
2024-01-11,Chennai,86,36.7,23.4,6.6,Heavy Rain,0,17.3
2024-11-02,Chennai,86,1.3,14.6,5.4,Cloudy,0,14.4
2024-11-03,Chennai,93,0.7,15.4,4.4,Clear,0,12.7
2024-11-04,Chennai,42,0.0,14.4,10.9,Clear,0,14.0
2024-11-05,Chennai,78,1.7,19.5,7.0,Sunny,0,20.1
2024-11-06,Chennai,84,0.6,32.8,9.7,Sunny,0,19.7
2024-07-11,Chennai,unknown,1.8,34.7,1.7,Fog,0,17.9
2024-11-08,Chennai,71,1.5,16.8,10.0,Cloudy,0,20.4
2024-11-10,Chennai,53,113.1,29.7,9.0,Thunderstorm,0,18.61111111111111
2024-11-11,Chennai,73,39.1,25.5,10.6,Rain,1,14.6
2024-11-12,Chennai,79,55.8,35.6,4.9,Rain,0,12.3
2024-11-13,Chennai,57,1.8,37.0,11.2,Clear,0,19.1
2024-11-14,Chennai,78,0.7,31.0,8.1,Cloudy,0,16.7
2024-11-15,Chennai,84,8.1,25.9,11.5,Thunderstorm,1,18.9
2024-11-16,Chennai,38,1.1,17.6,10.0,Cloudy,0,13.5
2024-11-17,Chennai,77,23.2,12.8,8.1,Thunderstorm,0,18.3
2024-11-18,Chennai,70,1.1,8.3,9.1,Cloudy,0,27.5
2024-11-19,Chennai,91,1.6,44.9,11.0,Cloudy,0,22.1
2024-11-20,Chennai,90,95.6,11.1,8.8,Rain,0,67.2
2024-11-21,Chennai,94,39.0,41.0,11.7,Heavy Rain,0,16.7
2024-11-22,Chennai,95,0.6,18.9,4.3,Sunny,0,18.7
2024-11-23,Chennai,61,0.3,23.9,1.1,Fog,0,
2024-11-24,Chennai,79,0.4,12.6,8.4,Cloudy,0,21.7
2024-11-25,Chennai,49,2.0,16.3,6.9,Clear,0,10.7
2024-11-26,Chennai,44,1.3,19.4,5.8,Clear,0,17.5
2024-11-27,Chennai,74,73.0,15.8,9.4,Heavy Rain,0,14.4
2024-11-28,Chennai,45,0.7,43.4,6.4,Sunny,0,18.8
2024-11-29,Chennai,58,1.8,25.3,7.3,Clear,0,25.2
2024-11-30,Chennai,34,0.9,24.3,11.1,Cloudy,0,19.2
2024-01-12,Chennai,53,0.4,11.0,9.0,Clear,0,23.0
2024-02-12,Chennai,92,55.0,24.3,9.3,Rain,0,18.0
2024-12-03,Chennai,41,80.1,26.0,7.3,Rain,1,17.38888888888889
2024-04-12,Chennai,60,99.9,28.6,5.1,Rain,1,22.944444444444443
2024-12-06,Chennai,47,0.2,40.8,2.8,Fog,0,18.7
2024-07-12,Chennai,52,1.5,19.7,9.7,Clear,0,22.2
2024-08-12,Chennai,68,1.2,19.8,4.6,Clear,0,18.3
2024-12-09,Chennai,42,1.2,12.2,4.9,Sunny,0,19.6
2024-12-10,Chennai,66,0.5,38.1,10.2,Cloudy,0,20.11111111111111
2024-12-11,Chennai,52,1.6,10.0,5.5,Sunny,0,18.8
2024-12-12,Chennai,36,91.2,6.9,11.5,Rain,0,19.4
2024-12-13,Chennai,86,0.2,38.3,11.0,Clear,0,17.3
2024-12-14,Chennai,51,75.2,42.5,7.4,Rain,0,21.3
2024-12-15,Chennai,46,0.5,34.7,5.3,Clear,0,24.0
2024-12-16,Chennai,68,0.7,18.0,7.9,Cloudy,0,21.3
2024-12-17,Chennai,38,0.1,22.6,9.2,Cloudy,0,20.3
2024-12-18,Chennai,33,0.0,24.8,9.1,Clear,0,20.888888888888886
2024-12-19,Chennai,87,1.3,27.7,10.0,Cloudy,0,23.4
2024-12-20,Chennai,90,74.0,3.5,6.1,Rain,0,26.5
2024-12-21,Chennai,80,1.5,10.4,6.9,Cloudy,0,18.4
2024-12-23,Chennai,86,0.3,22.5,8.2,Clear,0,19.8
2024-12-24,Chennai,62,1.2,42.8,6.4,Sunny,0,
2024-12-25,Chennai,93,68.6,41.0,7.9,Rain,0,73.6
2024-12-26,Chennai,40,1.8,37.5,6.6,Cloudy,0,23.7
2024-12-27,Chennai,39,0.7,43.0,6.7,Clear,0,25.9
2024-12-28,Chennai,47,0.4,8.2,5.0,Clear,0,22.4
2024-12-29,Chennai,80,38.3,19.7,4.5,Heavy Rain,0,21.5
2024-12-30,Chennai,43,1.7,20.3,11.3,Cloudy,0,21.4
2024-12-31,Chennai,87,1.6,26.9,7.2,Clear,0,28.9
2025-01-01,Chennai,63,1.4,26.1,10.5,Clear,0,29.4
2025-01-02,Chennai,37,1.4,20.5,6.6,Sunny,0,19.3
2025-01-03,Chennai,80,73.2,32.4,4.4,Rain,0,25.4
2025-04-01,Chennai,30,1.9,26.7,9.8,Clear,0,23.77777777777778
2025-05-01,Chennai,44,1.7,14.6,10.2,Clear,0,23.4
2025-01-06,Chennai,96,69.5,43.3,7.7,Rain,0,22.3
2025-01-07,Chennai,71,54.8,8.9,6.5,Thunderstorm,0,22.5
2025-08-01,Chennai,95,0.9,6.5,6.4,Clear,0,29.1
2025-01-09,Chennai,33,0.1,27.4,9.8,Clear,0,24.61111111111111
2025-01-10,Chennai,29,0.9,31.3,4.9,Cloudy,0,29.8
2025-01-11,Chennai,43,1.4,16.6,6.1,Clear,0,21.4
2025-12-01,Chennai,34,10.7,5.8,9.1,Rain,0,24.3
2025-01-13,Chennai,88,0.4,18.1,10.0,Cloudy,0,26.1
2025-01-14,Chennai,89,1.7,19.0,10.1,Clear,0,25.8
2025-01-15,Chennai,87,1.9,38.9,11.2,Clear,0,26.8
2025-01-16,Chennai,37,104.3,13.7,4.4,Rain,0,26.0
2025-01-17,Chennai,83,1.4,30.6,7.5,Clear,0,26.8
