route_id,vehicle_id,vehicle_type,route_date,order_ids,planned_distance_km,actual_distance_km,planned_duration_min,actual_duration_min,stops_planned,stops_completed,fuel_or_energy_used,driver_id,waypoint_count,fuel_or_energy_value
RTE-00027,VEH-0415,Van,2024-06-02,"ORD-007616,ORD-003439,ORD-006443,ORD-004000,ORD-001519,ORD-006191,ORD-008555",44.32,361.14,275.4,40.4,7,7,25.91,DRV-0210,10,25.91
RTE-00028,VEH-0583,Truck,2024-08-10,"ORD-002835,ORD-002024,ORD-011219",399.73,115.41,83.1,499.0,3,3,1361.0 Wh,DRV-0068,7,1361.0
RTE-00029,VEH-0201,Bike,2025-02-24,ORD-009836,340.98,167.48,368.5,629.6,1,1,37.27 L,DRV-0488,10,37.27
RTE-00030,VEH-0558,Van,2024-07-24,"ORD-003658,ORD-011906,ORD-014243,ORD-005724,ORD-002405,ORD-004529,ORD-007669,ORD-000781,ORD-014485",416.95,,218.1,114.9,9,9,797.0 Wh,DRV-0360,4,797.0
RTE-00031,VEH-0123,Drone,2024-03-13,ORD-012826,42.27,240.31,305.6,133.3,1,1,27.34 L,,5,27.34
RTE-00032,VEH-0211,Bike,2024-12-13,"ORD-013764,ORD-009708,ORD-008615,ORD-006344,ORD-014354,ORD-002370",354.14,208.52,79.0,168.7,6,6,747.0 Wh,DRV-0144,7,747.0
RTE-00033,VEH-0548,Van,2024-11-27,"ORD-012796,ORD-009375,ORD-005767,ORD-010891,ORD-001964",243.62,205.56,461.9,435.9,5,4,57.31,DRV-0304,6,57.31
RTE-00034,VEH-0220,Bike,2024-04-02,"ORD-013694,ORD-009141,ORD-010092,ORD-000745",385.17,,574.9,645.8,4,4,47.65,DRV-0203,11,47.65
RTE-00035,VEH-0652,Truck,2024-11-16,"ORD-011508,ORD-001512,ORD-013758,ORD-009789,ORD-011155,ORD-004200,ORD-012099,ORD-000753,ORD-011487",150.37,240.98,54.8,671.8,9,9,18.14,DRV-0365,8,18.14
RTE-00036,VEH-0516,Van,2024-11-07,"ORD-004979,ORD-006737,ORD-011249,ORD-005985,ORD-012061,ORD-008092,ORD-007412",364.77,237.93,107.1,342.9,7,7,4.21 L,DRV-0561,14,4.21
RTE-00037,VEH-0655,Truck,2024-02-14,"ORD-007835,ORD-013127,ORD-013844,ORD-008390,ORD-007119,ORD-004786,ORD-000374",221.53,195.59,553.0,544.2,7,7,59.54 L,DRV-0209,12,59.54
RTE-00038,VEH-0696,Truck,2024-03-22,"ORD-000425,ORD-007352,ORD-006218,ORD-011051,ORD-010487,ORD-013282,ORD-001381,ORD-002349",84.57,405.31,309.6,707.1,8,8,10.89,DRV-0875,9,10.89
RTE-00039,VEH-0300,Bike,2024-04-25,ORD-010228,203.04,198.78,220.4,450.6,1,1,43.22 L,DRV-0006,11,43.22
RTE-00040,VEH-0341,Bike,2024-12-12,"ORD-011042,ORD-014579,ORD-001982,ORD-003296",91.37,116.98,480.3,725.1,4,4,1432.0 Wh,DRV-0845,6,1432.0
RTE-00041,VEH-0694,Truck,2024-12-08,"ORD-003219,ORD-004151,ORD-013283,ORD-005893,ORD-002143,ORD-000455",155.32,64.04,148.6,679.9,6,6,46.55 L,DRV-0167,9,46.55
RTE-00042,VEH-0566,Van,2024-12-06,"ORD-013758,ORD-009696,ORD-003953",242.32,426.68,76.8,720.4,3,3,1411.0 Wh,DRV-0152,3,1411.0
RTE-00043,VEH-0113,Drone,2025-03-06,"ORD-011609,ORD-010439,ORD-014211",195.57,289.29,180.6,187.0,3,2,31.04,,8,31.04
RTE-00044,VEH-0680,Truck,2024-06-27,"ORD-006478,ORD-006146,ORD-013161,ORD-008124,ORD-002235,ORD-001252,ORD-011500,ORD-000517,ORD-008226",207.7,16.65,473.0,141.7,9,9,56.83 L,DRV-0223,14,56.83
RTE-00045,VEH-0671,Truck,2024-11-05,"ORD-004756,ORD-007830,ORD-005527,ORD-006687,ORD-009654,ORD-005916,ORD-001397",77.42,148.6,133.8,168.4,7,7,1348.0 Wh,DRV-0855,14,1348.0
RTE-00046,VEH-0620,Truck,2024-07-09,"ORD-010293,ORD-004111,ORD-011931,ORD-010568",178.09,46.75,49.2,380.0,4,2,1335.0 Wh,DRV-0215,4,1335.0
RTE-00047,VEH-0655,Truck,2025-05-16,"ORD-004380,ORD-002583,ORD-005244,ORD-009877,ORD-013392,ORD-014605,ORD-006100",171.89,341.46,612.3,415.6,7,7,48.29,DRV-0461,14,48.29
RTE-00048,VEH-0531,Van,2025-05-24,ORD-010011,25.96,316.41,196.2,387.8,1,1,1.95,DRV-0584,7,1.95
RTE-00049,VEH-0477,Van,2024-07-23,"ORD-008776,ORD-007204,ORD-003470,ORD-014987",243.07,,575.1,76.8,4,4,1211.0 Wh,DRV-0547,13,1211.0
RTE-00050,VEH-0046,Drone,2024-08-22,"ORD-007841,ORD-008224,ORD-004028",338.11,350.98,642.2,549.1,3,1,10.67,,5,10.67
RTE-00051,VEH-0393,Bike,2025-05-26,"ORD-014082,ORD-000531,ORD-005185,ORD-013569,ORD-010469,ORD-010183,ORD-001666,ORD-012670,ORD-005490",286.18,373.74,53.4,19.9,9,9,17.18,DRV-0528,12,17.18
RTE-00052,VEH-0309,Bike,2025-01-10,"ORD-002634,ORD-007122,ORD-008877",323.77,76.81,393.5,654.2,3,2,40.47,DRV-0773,8,40.47
RTE-00053,VEH-0480,Van,2024-01-29,"ORD-013143,ORD-001592,ORD-010491,ORD-004772,ORD-012882,ORD-007704,ORD-009095,ORD-010388,ORD-008398",337.59,88.38,413.0,25.3,9,9,4.31 L,DRV-0361,11,4.31
RTE-00054,VEH-0251,Bike,2024-10-18,"ORD-005028,ORD-002712,ORD-008311",33.35,233.66,406.5,209.9,3,2,51.91 L,DRV-0519,4,51.91
RTE-00055,VEH-0673,Truck,2025-04-01,ORD-012736,249.41,245.77,392.6,638.5,1,1,15.63,DRV-0345,5,15.63
RTE-00056,VEH-0665,Truck,2025-01-18,"ORD-013674,ORD-013472",173.8,227.48,505.7,526.4,2,1,2065.0 Wh,DRV-0106,3,2065.0
RTE-00057,VEH-0659,Truck,2025-03-21,ORD-000831,229.14,354.81,259.3,659.1,1,1,29.16,DRV-0761,3,29.16
RTE-00058,VEH-0065,Drone,2024-10-23,"ORD-012804,ORD-009447,ORD-006407",136.4,301.81,684.3,199.5,3,3,51.74 L,,4,51.74
RTE-00059,VEH-0679,Truck,2025-05-27,"ORD-005925,ORD-012998,ORD-008228,ORD-002479",18.32,223.27,662.7,406.6,4,4,530.0 Wh,DRV-0301,6,530.0
RTE-00060,VEH-0025,Drone,2024-04-25,"ORD-008081,ORD-013243",417.76,72.83,592.0,734.2,2,2,782.0 Wh,,7,782.0
RTE-00061,VEH-0659,Truck,2024-08-29,"ORD-000615,ORD-003590,ORD-000560,ORD-010200,ORD-010146,ORD-004271,ORD-009192,ORD-013223",328.5,141.75,54.2,472.0,8,8,46.16 L,DRV-0676,12,46.16
RTE-00062,VEH-0496,Van,2024-07-09,"ORD-003991,ORD-012481,ORD-009478,ORD-010681,ORD-007620",35.07,,666.9,102.8,5,5,33.84 L,DRV-0894,13,33.84
RTE-00063,VEH-0133,Drone,2024-05-03,"ORD-007245,ORD-013580,ORD-009358,ORD-012132,ORD-002552,ORD-001635",247.2,244.65,241.8,73.8,6,6,645.0 Wh,,6,645.0
RTE-00064,VEH-0615,Truck,2024-11-09,"ORD-002498,ORD-000553,ORD-013522",126.34,441.42,533.3,778.0,3,3,26.9 L,DRV-0365,10,26.9
RTE-00065,VEH-0257,Bike,2024-01-27,"ORD-012485,ORD-008869,ORD-013925,ORD-013337,ORD-010879,ORD-011564,ORD-001613",186.1,304.8,311.8,480.5,7,7,15.38,DRV-0323,14,15.38
RTE-00066,VEH-0019,Drone,2024-07-05,"ORD-010856,ORD-000503,ORD-013687,ORD-013212,ORD-010991,ORD-012750,ORD-009532,ORD-000703,ORD-010135",365.21,277.27,606.4,537.7,9,9,59.95 L,,5,59.95
RTE-00067,VEH-0119,Drone,2025-06-16,"ORD-006418,ORD-011820,ORD-004447,ORD-008810",234.09,114.91,275.4,757.4,4,3,59.98,,10,59.98
RTE-00068,VEH-0656,Truck,2025-03-05,"ORD-011516,ORD-009364,ORD-008348,ORD-008708,ORD-005280,ORD-011957",82.4,255.94,241.1,49.3,6,6,2021.0 Wh,DRV-0808,12,2021.0
RTE-00069,VEH-0448,Van,2024-10-11,"ORD-014476,ORD-014036,ORD-003287,ORD-002007,ORD-014653,ORD-010038,ORD-003321",65.93,300.83,295.0,583.9,7,7,829.0 Wh,DRV-0332,13,829.0
RTE-00070,VEH-0522,Van,2025-06-13,"ORD-001146,ORD-014152,ORD-008962",281.92,343.44,308.8,130.8,3,3,52.2 L,DRV-0319,8,52.2
RTE-00071,VEH-0128,Drone,2024-01-16,"ORD-008727,ORD-001218,ORD-007837,ORD-001173",105.18,327.54,27.8,465.6,4,4,44.45 L,,10,44.45
RTE-00072,VEH-0362,Bike,2024-06-18,"ORD-006151,ORD-002974",392.06,296.86,187.0,699.1,2,2,1841.0 Wh,DRV-0291,6,1841.0
RTE-00073,VEH-0089,Drone,2024-05-30,"ORD-009395,ORD-003919,ORD-004728,ORD-010558,ORD-013802,ORD-007503,ORD-004664,ORD-000028",411.98,181.73,368.6,797.6,8,8,57.36 L,,11,57.36
RTE-00074,VEH-0480,Van,2024-09-15,ORD-004325,231.25,43.87,334.5,203.5,1,0,9.41 L,DRV-0011,10,9.41
RTE-00075,VEH-0596,Truck,2025-05-30,"ORD-008153,ORD-010667,ORD-002737,ORD-003821,ORD-013107,ORD-002764,ORD-005492,ORD-000944",329.51,105.74,375.1,436.4,8,8,1209.0 Wh,DRV-0064,5,1209.0
RTE-00076,VEH-0461,Van,2024-04-30,ORD-001551,13.36,288.1,264.9,144.9,1,0,1772.0 Wh,DRV-0833,8,1772.0
RTE-00077,VEH-0631,Truck,2024-04-23,"ORD-003111,ORD-012961,ORD-007218",248.92,404.59,186.5,46.9,3,3,615.0 Wh,DRV-0649,14,615.0
RTE-00078,VEH-0571,Van,2024-02-07,"ORD-009480,ORD-004235,ORD-010709,ORD-011266,ORD-010521,ORD-002579",76.08,330.72,319.2,401.0,6,5,48.94 L,DRV-0187,4,48.94
RTE-00079,VEH-0021,Drone,2025-01-21,"ORD-008698,ORD-012677",62.38,321.02,607.0,238.5,2,2,6.92 L,,0,6.92
RTE-00080,VEH-0636,Truck,2024-01-22,"ORD-008066,ORD-008603,ORD-007257,ORD-011229,ORD-011616,ORD-014201,ORD-012297",299.11,,213.6,772.3,7,7,1327.0 Wh,DRV-0039,14,1327.0
RTE-00081,VEH-0587,Truck,2025-06-10,"ORD-002606,ORD-003209,ORD-011891,ORD-014084,ORD-013131,ORD-001877,ORD-013954,ORD-007517",97.33,119.4,331.0,475.3,8,8,36.87 L,DRV-0468,13,36.87
RTE-00082,VEH-0111,Drone,2025-05-27,"ORD-014799,ORD-013474,ORD-013988,ORD-005980,ORD-002778,ORD-005251,ORD-001552,ORD-005367,ORD-013398",269.57,323.8,436.8,317.6,9,9,903.0 Wh,,13,903.0
RTE-00083,VEH-0008,Drone,2024-08-04,ORD-014764,75.26,310.72,220.2,362.2,1,1,436.0 Wh,,12,436.0
RTE-00084,VEH-0611,Truck,2025-03-18,"ORD-008604,ORD-007034,ORD-004246,ORD-006573,ORD-005028,ORD-010987,ORD-001207,ORD-000804",389.36,314.56,429.8,533.8,8,8,42.67 L,DRV-0634,14,42.67
RTE-00085,VEH-0693,Truck,2025-06-12,"ORD-001843,ORD-002951,ORD-005613,ORD-013300,ORD-002113,ORD-000746,ORD-012967",326.08,8.97,253.7,352.4,7,7,4.27,DRV-0241,7,4.27
RTE-00086,VEH-0583,Truck,2024-05-14,"ORD-003193,ORD-003446,ORD-012787,ORD-007147,ORD-012141,ORD-001264,ORD-002286,ORD-014073",55.81,446.49,153.4,28.8,8,8,52.59,DRV-0533,5,52.59
RTE-00087,VEH-0682,Truck,2024-01-03,ORD-006422,188.9,238.69,518.3,265.9,1,1,38.41 L,DRV-0461,13,38.41
RTE-00088,VEH-0672,Truck,2024-03-03,"ORD-003487,ORD-006496,ORD-008170,ORD-007632,ORD-013376,ORD-008138",248.32,31.87,405.6,207.6,6,6,27.81 L,DRV-0719,9,27.81
RTE-00089,VEH-0326,Bike,2024-05-12,"ORD-012071,ORD-010321,ORD-001025,ORD-007781,ORD-014160,ORD-013767,ORD-005494,ORD-004503,ORD-010470",399.13,138.61,296.9,560.5,9,9,57.56 L,DRV-0663,4,57.56
RTE-00090,VEH-0046,Drone,2024-04-15,"ORD-013432,ORD-010111,ORD-005660,ORD-006686,ORD-006764",339.04,310.19,249.0,41.7,5,5,8.05 L,,10,8.05
RTE-00091,VEH-0411,Van,2025-04-14,"ORD-004127,ORD-004130",268.35,352.62,445.0,360.8,2,2,39.91,DRV-0893,10,39.91
RTE-00092,VEH-0073,Drone,2025-01-07,"ORD-000297,ORD-000983,ORD-002675,ORD-013911,ORD-012794,ORD-000052,ORD-008858",186.57,352.58,590.2,180.3,7,7,1286.0 Wh,,14,1286.0
RTE-00093,VEH-0098,Drone,2024-04-23,"ORD-009495,ORD-001574,ORD-003479,ORD-000403",126.34,269.6,122.1,554.2,4,4,1501.0 Wh,,6,1501.0
RTE-00094,VEH-0515,Van,2024-01-28,"ORD-009059,ORD-001025,ORD-001261,ORD-007136,ORD-001263,ORD-005099",111.38,33.5,370.3,421.5,6,6,2112.0 Wh,DRV-0495,14,2112.0
RTE-00095,VEH-0644,Truck,2024-04-20,"ORD-008517,ORD-000171",323.09,244.28,669.5,330.0,2,2,57.16 L,DRV-0001,11,57.16
RTE-00096,VEH-0193,Bike,2024-03-17,"ORD-002886,ORD-012095,ORD-005244",361.7,269.15,455.1,570.7,3,3,35.28 L,DRV-0625,9,35.28
RTE-00097,VEH-0482,Van,2024-12-08,"ORD-004389,ORD-008573,ORD-011258,ORD-010200,ORD-006079,ORD-009049,ORD-006768",6.39,370.43,106.5,417.0,7,7,32.36 L,DRV-0391,3,32.36
RTE-00098,VEH-0647,Truck,2025-04-14,"ORD-013369,ORD-010343,ORD-007560",270.16,82.04,618.8,772.9,3,3,14.72 L,DRV-0114,8,14.72
RTE-00099,VEH-0346,Bike,2024-12-08,"ORD-002055,ORD-007322,ORD-013213,ORD-001219,ORD-005327,ORD-011601",328.16,259.13,208.9,519.7,6,6,49.99,DRV-0313,5,49.99
RTE-00100,VEH-0084,Drone,2024-08-25,"ORD-002961,ORD-002123",314.51,217.2,282.7,410.8,2,2,1912.0 Wh,,11,1912.0
RTE-00101,VEH-0633,Truck,2025-06-10,ORD-001661,315.08,71.37,241.1,324.3,1,1,32.92,DRV-0156,14,32.92
RTE-00102,VEH-0379,Bike,2024-05-20,"ORD-001368,ORD-010221,ORD-004909,ORD-009304,ORD-000753,ORD-001369,ORD-014877,ORD-014400,ORD-006949",123.95,376.14,485.4,768.5,9,9,286.0 Wh,DRV-0850,0,286.0
RTE-00103,VEH-0091,Drone,2025-06-28,"ORD-004138,ORD-000877",390.46,400.33,649.4,72.5,2,2,15.82 L,,0,15.82
RTE-00104,VEH-0615,Truck,2025-03-02,ORD-005368,72.35,,482.0,162.9,1,1,1569.0 Wh,DRV-0458,12,1569.0
RTE-00105,VEH-0116,Drone,2025-04-13,"ORD-008697,ORD-004204",125.14,212.29,443.6,390.9,2,2,1402.0 Wh,,9,1402.0
RTE-00106,VEH-0352,Bike,2025-05-03,"ORD-013429,ORD-012331,ORD-004727,ORD-000550,ORD-006714,ORD-009946,ORD-010314,ORD-012922,ORD-005769",233.69,102.2,110.1,216.9,9,9,501.0 Wh,DRV-0393,3,501.0
RTE-00107,VEH-0623,Truck,2024-06-13,"ORD-013161,ORD-001145,ORD-005560,ORD-001406,ORD-003721,ORD-003239,ORD-013046,ORD-009992,ORD-008483",363.71,53.46,616.6,273.5,9,9,41.69 L,DRV-0309,10,41.69
RTE-00108,VEH-0514,Van,2025-03-04,"ORD-008335,ORD-001643,ORD-001887,ORD-009460,ORD-013954,ORD-014839,ORD-014242",211.84,53.22,646.1,584.0,7,7,43.02,DRV-0276,5,43.02
RTE-00109,VEH-0110,Drone,2025-06-03,ORD-000694,411.42,270.73,349.1,130.8,1,1,21.38,,12,21.38
RTE-00110,VEH-0074,Drone,2024-07-07,"ORD-005372,ORD-006560,ORD-008688,ORD-013855,ORD-010857,ORD-000271,ORD-000203,ORD-003935,ORD-009402",332.45,450.56,674.1,178.3,9,8,2156.0 Wh,,14,2156.0
RTE-00111,VEH-0639,Truck,2024-03-13,"ORD-010207,ORD-008280,ORD-010278,ORD-006630,ORD-002850,ORD-013829,ORD-000413,ORD-000300,ORD-003449",161.77,332.94,226.5,56.6,9,9,7.42 L,DRV-0393,12,7.42
RTE-00112,VEH-0322,Bike,2025-03-12,"ORD-013268,ORD-013659",73.17,398.39,141.7,152.8,2,2,7.24 L,DRV-0761,12,7.24
RTE-00113,VEH-0476,Van,2025-02-03,"ORD-003477,ORD-002342,ORD-002149,ORD-008231,ORD-012485,ORD-008201,ORD-012994",64.86,236.65,330.3,762.8,7,7,1610.0 Wh,DRV-0493,12,1610.0
RTE-00114,VEH-0105,Drone,2025-05-27,"ORD-002461,ORD-002836,ORD-003770,ORD-010068,ORD-012021,ORD-005419,ORD-013855",346.13,143.19,406.0,653.3,7,6,36.7,,5,36.7
RTE-00115,VEH-0095,Drone,2024-10-04,"ORD-004852,ORD-000785",123.26,316.04,544.7,224.7,2,2,29.1,,11,29.1
RTE-00116,VEH-0033,Drone,2024-11-06,"ORD-002398,ORD-004524,ORD-013074,ORD-001623,ORD-003330,ORD-000797,ORD-007542,ORD-001503",348.98,74.38,573.4,779.6,8,7,18.96,,14,18.96
RTE-00117,VEH-0094,Drone,2024-06-19,"ORD-005616,ORD-002742",187.77,223.2,354.2,761.5,2,2,448.0 Wh,,14,448.0
RTE-00118,VEH-0630,Truck,2024-07-19,"ORD-001816,ORD-012635,ORD-000256,ORD-011891,ORD-008137,ORD-013787,ORD-008730,ORD-008766,ORD-002277",53.51,19.09,267.1,458.8,9,9,730.0 Wh,DRV-0583,14,730.0
RTE-00119,VEH-0178,Bike,2024-04-06,"ORD-012167,ORD-009288,ORD-003655,ORD-000717,ORD-000886,ORD-007290",140.89,309.34,230.5,238.3,6,6,58.24,DRV-0556,14,58.24
RTE-00120,VEH-0113,Drone,2024-11-12,"ORD-000340,ORD-013056",154.17,229.24,467.3,658.1,2,2,1924.0 Wh,,4,1924.0
RTE-00121,VEH-0282,Bike,2025-05-18,"ORD-004094,ORD-011570,ORD-004825,ORD-005695,ORD-005093,ORD-011473,ORD-004435,ORD-011443,ORD-005384",258.08,239.92,270.7,775.7,9,9,29.91 L,DRV-0121,8,29.91
RTE-00122,VEH-0381,Bike,2025-01-08,"ORD-012434,ORD-009426,ORD-009840,ORD-014118,ORD-013791,ORD-004720,ORD-013878,ORD-003260",283.38,432.21,120.4,90.1,8,8,24.22,DRV-0267,10,24.22
RTE-00123,VEH-0612,Truck,2025-04-05,ORD-005677,377.36,373.82,166.7,317.8,1,0,25.4,DRV-0418,3,25.4
RTE-00124,VEH-0475,Van,2024-04-03,"ORD-010757,ORD-002274,ORD-003122,ORD-004626,ORD-005448,ORD-010893,ORD-014013,ORD-011297,ORD-008839",265.84,137.92,420.6,511.7,9,9,15.07,DRV-0829,8,15.07
RTE-00125,VEH-0539,Van,2024-03-18,"ORD-009346,ORD-005983",18.65,172.37,645.7,739.4,2,2,1252.0 Wh,DRV-0522,9,1252.0
RTE-00126,VEH-0643,Truck,2025-07-01,"ORD-009995,ORD-013771,ORD-000315,ORD-000312,ORD-004357",379.32,207.9,37.1,244.2,5,5,854.0 Wh,DRV-0202,4,854.0
RTE-00127,VEH-0490,Van,2024-04-22,"ORD-004189,ORD-013553,ORD-006212,ORD-010914,ORD-000702,ORD-001999,ORD-007310,ORD-010719",100.05,,26.2,230.9,8,8,14.62 L,DRV-0271,10,14.62
RTE-00128,VEH-0668,Truck,2025-01-04,"ORD-013927,ORD-006584,ORD-003642",71.93,88.13,637.7,222.7,3,3,40.31 L,DRV-0800,4,40.31
RTE-00129,VEH-0089,Drone,2025-03-06,"ORD-014384,ORD-008747,ORD-005022",154.19,68.56,434.8,799.4,3,1,29.21,,4,29.21
RTE-00130,VEH-0698,Truck,2024-05-03,"ORD-003264,ORD-007969,ORD-012303,ORD-011955,ORD-009507,ORD-005285,ORD-008412,ORD-007255",367.94,357.43,192.9,462.4,8,8,19.83,DRV-0865,0,19.83
RTE-00131,VEH-0275,Bike,2024-02-02,"ORD-014552,ORD-007985,ORD-007904,ORD-000479",282.49,38.78,189.8,296.3,4,4,14.35,DRV-0720,9,14.35
RTE-00132,VEH-0408,Van,2024-05-01,"ORD-014495,ORD-014873,ORD-001944",170.1,388.63,389.0,625.6,3,3,13.89,DRV-0715,10,13.89
RTE-00133,VEH-0586,Truck,2024-02-03,ORD-014386,275.2,80.71,693.5,437.6,1,1,10.99 L,DRV-0782,14,10.99
RTE-00134,VEH-0439,Van,2024-03-24,"ORD-007084,ORD-001215",140.99,259.1,492.1,248.5,2,2,423.0 Wh,DRV-0335,8,423.0
RTE-00135,VEH-0109,Drone,2024-02-08,"ORD-001022,ORD-000410",379.92,226.03,435.8,470.0,2,2,940.0 Wh,,11,940.0
RTE-00136,VEH-0113,Drone,2024-06-17,"ORD-011003,ORD-002109,ORD-013360,ORD-005545,ORD-005411,ORD-000211,ORD-014284,ORD-004672,ORD-003056",203.53,28.37,16.1,45.3,9,9,9.47 L,,12,9.47
RTE-00137,VEH-0624,Truck,2025-04-19,"ORD-007490,ORD-014917,ORD-002069",378.0,330.22,483.3,422.5,3,2,35.56,DRV-0442,3,35.56
RTE-00138,VEH-0055,Drone,2024-09-17,"ORD-010955,ORD-008788,ORD-003222",115.13,84.19,388.8,605.9,3,3,910.0 Wh,,9,910.0
RTE-00139,VEH-0343,Bike,2025-06-20,"ORD-008692,ORD-002967,ORD-012281,ORD-014468,ORD-010099,ORD-003214",190.11,329.33,24.4,514.4,6,5,11.93 L,DRV-0833,9,11.93
RTE-00140,VEH-0690,Truck,2025-04-01,ORD-002497,63.38,173.08,412.1,278.5,1,1,44.54,DRV-0834,12,44.54
RTE-00141,VEH-0654,Truck,2024-08-13,"ORD-002504,ORD-014804",47.97,335.2,598.5,330.2,2,2,34.26 L,DRV-0856,11,34.26
