flight_id,drone_id,flight_timestamp,flight_duration_min,cumulative_flight_hours,battery_cycles,battery_start_pct,battery_end_pct,battery_health_pct,motor_temp_c,vibration_rms,payload_kg,max_altitude_m,wind_speed_kmph,gps_signal_quality,rotor_rpm_avg,error_codes,route_deviation_m,maintenance_required
FLT-0039333,VEH-0132,2024-02-16 03:50:57,19.8,596.8,1253,95.3,25.5,54.3,82.7,3.329,3.65,115.9,28.9,Good,6335.0,,0.9,0
FLT-0005868,VEH-0020,2024-06-22 07:09:00,26.0,708.91,1488,97.6,2.0,48.1,86.2,3.717,4.52,151.3,32.1,Good,6182.0,E-VIB;E-BATT,5.6,0
FLT-0033613,VEH-0112,2024-05-21 16:11:55,34.5,416.47,874,97.1,12.0,69.1,68.9,2.124,1.67,111.5,15.1,Good,6391.0,,26.4,0
FLT-0022907,VEH-0077,2024-04-28 11:50:00,8.3,876.53,1840,89.0,57.9,40.0,90.7,3.488,4.07,50.9,25.8,Poor,6705.0,E-THERM,10.5,1
FLT-0006964,VEH-0024,2024-08-04 21:58:22,28.9,105.5,221,96.0,15.3,86.1,77.2,3.207,2.06,88.1,28.7,Good,5966.0,,15.9,0
FLT-0038117,VEH-0128,2024-03-05 23:07:00,20.9,655.79,1377,94.6,23.8,55.9,58.7,1.763,4.42,146.0,1.2,Good,6574.0,,17.6,0
FLT-0029766,VEH-0100,2024-02-14 21:25:00,15.7,196.46,412,98.0,41.2,85.1,68.0,2.136,5.08,145.4,11.5,Poor,5487.0,,3.2,0
FLT-0008363,VEH-0028,2024-06-24 23:08:00,33.9,849.5,1783,94.4,2.0,40.2,85.0,3.049,5.42,80.2,29.4,Good,6115.0,E-BATT,27.1,0
FLT-0015315,VEH-0050,2024-04-30 16:25:45,24.0,62.57,131,95.0,11.1,93.5,69.7,1.894,4.74,37.2,20.6,Good,6628.0,E-BATT,20.8,0
FLT-0012113,VEH-0040,2024-05-13 04:46:55,16.7,357.7,751,100.0,47.7,69.1,82.3,3.021,2.7,49.8,20.5,Good,6190.0,,4.2,0
FLT-0034513,VEH-0115,2024-10-05 05:40:00,17.0,682.38,1432,94.7,30.9,51.0,,2.949,4.61,73.6,6.2,Good,6179.0,,21.6,0
FLT-0001111,VEH-0004,2024-08-23 07:38:36,8.3,215.97,453,93.5,64.0,78.5,84.9,3.326,3.75,100.3,15.4,Good,6746.0,,15.1,0
FLT-0027288,VEH-0092,2024-05-14 09:59:12,19.3,119.45,250,100.0,54.8,87.2,71.7,2.328,1.25,109.8,16.7,Good,5609.0,,13.5,0
FLT-0019697,VEH-0066,2024-08-26 01:19:00,5.0,836.54,1756,97.2,78.7,42.1,82.0,2.46,4.69,73.9,36.3,Poor,6302.0,,41.3,0
FLT-0027877,VEH-0094,2024-03-13 14:29:39,15.8,887.89,1864,97.4,47.0,43.1,69.7,1.701,4.3,151.9,36.8,Fair,5524.0,,8.2,0
FLT-0031779,VEH-0106,2024-01-07 02:35:09,6.2,377.14,791,98.2,76.3,66.9,90.9,3.566,3.43,86.1,23.3,Poor,6339.0,E-THERM,11.4,0
FLT-0016492,VEH-0054,2024-07-26 21:34:00,18.3,202.18,424,97.9,24.6,78.7,93.4,3.763,4.67,67.9,33.1,Good,6048.0,E-THERM;E-VIB,48.7,0
FLT-0019289,VEH-0065,2024-02-04 02:38:08,28.8,788.87,1656,96.4,36.2,46.8,67.9,1.665,0.87,80.0,40.4,Good,5950.0,,23.1,0
FLT-0026476,VEH-0089,2024-03-21 19:44:17,8.8,143.02,300,98.3,79.4,82.0,86.3,2.649,0.33,83.9,38.2,Fair,6147.0,,25.2,0
FLT-0031046,VEH-0104,2024-03-28 21:21:47,21.1,885.3,1859,92.1,14.7,40.0,84.4,3.157,3.84,41.7,38.1,Poor,5992.0,,19.5,0
FLT-0028947,VEH-0097,2024-06-22 03:25:00,10.0,625.9,1314,98.9,,52.2,83.5,3.438,4.17,81.5,16.7,Good,6025.0,,8.4,0
FLT-0008582,VEH-0029,2024-04-02 00:00:00,,906.31,1903,100.0,2.0,40.0,86.4,3.784,4.44,68.9,8.0,Fair,6936.0,E-VIB;E-BATT,13.5,1
FLT-0002868,VEH-0010,2024-01-09 21:30:35,23.1,342.57,719,96.6,8.0,70.4,87.7,3.738,4.4,111.3,4.2,Good,6333.0,E-VIB;E-BATT,6.9,0
FLT-0014407,VEH-0047,2024-04-03 07:14:20,4.0,134.22,281,93.6,77.2,84.8,76.7,2.935,5.31,96.6,24.5,Good,5983.0,,30.3,0
FLT-0009510,VEH-0032,2024-02-27 18:52:14,23.6,448.76,942,92.4,13.4,70.8,65.0,1.556,4.76,108.1,27.0,Good,6369.0,,5.0,0
FLT-0002329,VEH-0008,2024-04-09 14:50:42,6.5,551.36,1157,99.5,83.9,59.1,73.0,2.482,1.27,89.6,12.7,Good,6285.0,,8.0,0
FLT-0033500,VEH-0112,2024-02-28 19:43:51,29.8,373.0,783,98.4,37.8,73.7,59.9,1.553,0.82,57.4,21.7,Good,5351.0,,1.1,0
FLT-0038642,VEH-0130,2024-02-19 18:26:00,12.0,119.97,251,93.7,44.2,87.0,87.9,2.635,5.65,75.1,38.0,Good,6848.0,,15.6,0
FLT-0036943,VEH-0124,2024-04-24 09:49:00,37.6,525.86,1104,100.0,2.0,62.3,83.2,2.635,3.81,124.2,36.2,Good,6475.0,E-BATT,30.6,1
FLT-0020648,VEH-0069,2024-08-25 23:55:00,19.6,766.45,1609,95.0,52.1,41.2,80.6,2.996,0.27,58.7,14.2,Good,5772.0,,20.2,0
FLT-0029058,VEH-0098,2024-01-25 23:12:14,6.8,566.79,1190,92.1,67.4,60.8,75.2,2.306,4.9,66.5,35.9,Fair,6862.0,,34.3,0
FLT-0035772,VEH-0119,2024-07-26 11:41:16,21.6,206.12,432,94.1,30.2,80.2,76.1,2.265,2.52,123.1,1.5,Good,5874.0,,46.6,0
FLT-0037208,VEH-0125,2024-03-11 06:53:00,26.9,489.43,1027,94.5,23.6,66.7,68.0,1.853,2.48,107.2,27.7,Good,6508.0,,21.9,0
FLT-0016151,VEH-0053,2024-06-23 08:39:54,25.4,189.12,397,93.1,39.2,83.5,60.1,,0.81,60.1,1.6,Fair,5466.0,,9.8,0
FLT-0006865,VEH-0024,2024-01-25 00:00:00,18.8,71.18,149,90.9,48.6,89.7,66.6,2.434,0.97,152.7,2.4,Fair,7342.0,,24.0,0
FLT-0023353,VEH-0078,2024-07-31 22:45:00,17.1,309.24,649,91.1,50.1,70.5,85.4,3.036,0.78,115.6,30.8,Good,6349.0,,12.0,0
FLT-0039384,VEH-0132,2024-03-21 14:14:35,26.0,615.03,1291,96.3,2.0,52.4,91.8,3.461,4.08,142.7,27.0,Good,5832.0,E-THERM;E-BATT,22.8,0
FLT-0011931,VEH-0039,2024-10-16 15:07:41,24.5,177.34,372,97.8,10.9,80.4,89.6,3.459,,81.7,39.3,Good,6801.0,E-THERM;E-BATT,18.7,0
FLT-0015434,VEH-0050,2024-07-23 22:39:11,9.9,104.17,218,98.1,71.4,88.8,68.7,2.423,2.26,134.2,11.8,Good,6076.0,,8.3,0
FLT-0007093,VEH-0024,2024-01-07 18:03:30,25.3,153.46,322,97.7,2.0,80.9,93.4,3.642,4.79,82.0,29.5,Good,6435.0,E-THERM;E-VIB;E-BATT,28.8,0
FLT-0028850,VEH-0097,2024-11-04 02:32:31,19.7,591.29,1241,98.2,36.1,56.0,82.5,2.385,3.02,143.5,28.1,Fair,6363.0,,8.3,0
FLT-0029552,VEH-0099,2024-06-16 12:34:00,28.9,767.53,1611,98.8,,43.1,84.5,3.472,3.36,149.1,21.7,Fair,6378.0,E-BATT,14.5,0
FLT-0027064,VEH-0091,2024-06-22 01:12:56,7.4,897.55,1884,93.5,66.6,40.0,76.5,2.345,,150.6,24.5,Good,6098.0,E-GPS,9.0,0
FLT-0010437,VEH-0035,2024-03-17 12:28:35,10.0,447.06,938,98.7,80.6,68.9,65.5,1.889,,66.3,39.7,Fair,6087.0,,9.4,0
FLT-0031134,VEH-0104,2024-05-31 07:38:00,34.5,915.85,1923,93.5,2.0,40.0,84.9,3.432,3.07,74.8,10.0,Good,5793.0,E-BATT,12.8,1
FLT-0029621,VEH-0099,2024-08-04 20:12:04,30.5,791.05,1661,98.1,2.0,40.5,88.2,3.184,3.57,77.4,7.4,Poor,6595.0,E-THERM;E-BATT,7.6,1
FLT-0037933,VEH-0127,2024-06-18 17:02:36,34.6,511.12,1073,94.2,2.0,58.3,86.5,3.638,,149.3,11.9,Fair,5754.0,E-VIB;E-BATT,24.9,1
FLT-0026928,VEH-0091,2024-03-16 00:00:00,11.8,849.23,1783,95.9,74.2,45.0,64.9,1.394,0.48,115.3,30.6,Good,5618.0,,13.2,0
FLT-0028689,VEH-0096,2024-09-08 22:58:14,11.5,144.58,303,99.7,73.6,83.0,75.8,3.012,,48.5,14.1,Poor,6120.0,,37.0,0
FLT-0030792,VEH-0103,2024-04-26 15:14:00,29.5,829.68,1742,100.0,2.5,41.8,81.6,2.829,3.54,33.2,23.5,Fair,7038.0,E-BATT,10.4,0
FLT-0035850,VEH-0120,2024-07-03 18:49:31,32.8,899.89,1889,100.0,26.9,40.0,83.8,2.936,0.74,105.6,39.2,Poor,7167.0,,23.4,0
FLT-0039221,VEH-0131,2024-08-19 08:04:23,33.0,951.97,1999,98.5,14.6,40.0,77.6,2.498,1.48,134.8,28.5,Good,6226.0,,20.3,0
FLT-0009575,VEH-0032,2024-12-04 00:00:19,36.9,470.57,988,95.2,14.0,68.6,62.7,1.781,,87.5,6.3,Good,5462.0,E-GPS,1.0,1
FLT-0040643,VEH-0136,2024-04-27 18:49:27,26.5,240.62,505,98.0,4.6,83.0,64.4,2.352,5.0,129.5,20.3,Fair,6595.0,E-BATT;E-GPS,6.9,0
FLT-0012177,VEH-0041,2024-03-23 21:42:45,21.4,82.69,173,99.6,51.5,89.0,66.2,1.88,0.95,113.3,8.6,Good,5791.0,,31.5,0
FLT-0018886,VEH-0063,2024-09-19 08:57:00,17.7,593.02,1245,92.7,38.8,52.5,86.1,3.735,,68.5,21.5,Poor,6254.0,E-VIB,36.6,0
FLT-0021221,VEH-0071,2024-04-03 00:00:00,28.2,767.17,1611,97.4,23.9,43.3,79.8,3.036,1.47,151.0,12.1,Poor,5827.0,,20.4,0
FLT-0025582,VEH-0086,2024-01-15 05:32:19,23.3,667.59,1401,99.3,37.6,51.2,82.2,2.7,1.79,80.8,41.7,Fair,6299.0,,39.4,0
FLT-0025122,VEH-0084,2024-04-16 04:21:41,14.7,454.0,953,100.0,70.1,66.5,63.4,2.031,0.53,148.9,6.7,Good,6691.0,,9.8,0
FLT-0029528,VEH-0099,2024-06-01 00:00:00,13.2,759.79,1595,97.5,63.8,44.0,,2.74,1.38,41.5,34.4,Fair,5189.0,,1.1,0
FLT-0035404,VEH-0118,2024-05-05 04:55:00,9.4,836.58,1756,93.5,63.5,42.1,77.2,,3.38,70.0,34.9,Fair,5768.0,,6.6,0
FLT-0030782,VEH-0103,2024-04-19 09:02:00,37.5,826.78,1736,100.0,2.0,42.1,67.3,2.332,1.95,85.4,6.4,Good,6327.0,E-BATT,21.5,0
FLT-0018044,VEH-0061,2024-03-13 22:58:00,24.6,467.48,981,94.5,4.2,66.1,69.5,2.781,4.76,55.4,1.5,Poor,6290.0,E-BATT,11.6,0
FLT-0034386,VEH-0115,2024-02-14 17:05:00,,638.55,1340,94.8,16.1,56.0,77.1,1.78,2.63,99.6,36.6,Good,5950.0,,19.4,0
FLT-0013944,VEH-0046,2024-02-25 10:26:08,11.4,108.1,227,100.0,58.3,88.6,77.4,2.887,4.71,117.7,34.4,Good,6217.0,,15.3,0
FLT-0016176,VEH-0053,2024-07-11 01:24:00,22.5,197.36,414,96.2,30.0,82.6,64.1,2.142,2.82,158.4,16.9,Good,6126.0,,11.3,0
FLT-0032604,VEH-0109,2024-07-06 19:21:17,10.8,115.81,243,98.1,53.7,86.3,80.3,3.031,5.42,137.2,19.4,Poor,5720.0,,31.8,0
FLT-0011441,VEH-0038,2024-06-21 21:39:00,30.9,571.63,1200,99.7,2.0,54.1,89.0,3.719,4.03,34.9,23.0,Good,5884.0,E-THERM;E-VIB;E-BATT,30.3,0
FLT-0020685,VEH-0069,2024-09-25 09:25:30,35.8,778.6,1635,97.4,2.0,40.0,99.3,4.354,5.68,110.3,24.4,Good,7027.0,E-THERM;E-VIB;E-BATT,21.8,1
FLT-0025384,VEH-0085,2024-02-20 15:07:33,24.8,181.75,381,90.6,10.5,81.5,76.9,2.789,3.14,119.0,11.0,Good,6139.0,E-BATT,0.5,0
