Date,City Name,temp,Temp Unit,humidity_%,Precipitation (mm),wind_speed_kmph,Visibility_KM,condition,storm_alert
26-02-2024,Chennai,30.6,C,56,0.5,33.4,6.4,Cloudy,N
27-02-2024,Chennai,29.1,,58,33.7,4.0,11.1,Heavy Rain,N
2024-02-28,Chennai,29.8,C,49,1.3,39.5,8.3,Clear,N
2024-02-29,Chennai,31.4,C,56,1.7,32.8,8.2,Cloudy,N
2024-03-01,Chennai,35.5,,74,91.4,36.4,4.8,Rain,N
2024-03-02,Chennai,27.6,C,94,2.0,17.4,1.3,Fog,N
2024-03-03,Chennai,32.7,C,38,0.9,29.9,6.6,Clear,N
04-03-2024,Chennai,29.5,C,88,0.5,5.1,6.6,Clear,N
05-03-2024,Chennai,28.4,C,42,0.1,23.4,0.9,Fog,N
06-03-2024,Chennai,31.0,C,68,61.9,43.5,7.6,Heavy Rain,
2024-03-07,Chennai,34.9,C,  ,1.1,5.6,2.3,Fog,N
2024-03-08,Chennai,33.4,C,57,0.5,34.7,9.2,Sunny,N
09-03-2024,Chennai,32.5,,77,0.5,6.4,8.6,Cloudy,N
2024-03-10,Chennai,29.9,C,79,1.1,3.3,6.6,Clear,N
11-03-2024,Chennai,NA,C,46,1.7,36.4,10.7,CLEAR,N
2024-03-12,Chennai,30.3,C,87,9.8,7.2,7.0,Rain,N
2024-03-13,Chennai,31.2,C,94,108.4,23.0,9.7,Heavy Rain,
14-03-2024,Chennai,28.2,C,91,67.7,37.1,11.0,rain,no
15-03-2024,Chennai,34.2,,94,0.3,39.9,6.8,clear,N
2024-03-16,Chennai,30.2,C,36,70.6,42.5,10.0,Rain,N
2024-03-17,Chennai,27.8,C,32,0.3,44.7,8.2,Clear,N
2024-03-18,Chennai,29.2,,50,0.1,22.5,1.6,Fog,N
19-03-2024,Chennai,35.9,C,90,53.5,41.8,7.6,rain,Y
2024-03-20,Chennai,34.4,C,64,0.1,33.4,7.0,Clear,N
2024-03-21,Chennai,26.9,C,42,0.3,21.8,11.4,Cloudy,N
2024-03-22,Chennai,30.9,,92,1.6,35.5,9.8,Clear,N
2024-03-23,Chennai,32.1,C,81,1.6,7.0,8.9,Cloudy,N
24-03-2024,Chennai,30.2,C,36,0.8,19.6,9.1,Sunny,N
25-03-2024,Chennai,37.1,C,93,43.9,45.0,9.3,Thunderstorm,Y
26-03-2024,Chennai,37.2,C,34,0.1,15.7,0.6,Fog,N
27-03-2024,Chennai,32.5,,60,0.8,38.3,6.1,Cloudy,N
28-03-2024,Chennai,32.8,,44,0.7,13.4,6.0,Clear,N
2024-03-29,Chennai,29.4,,52,53.5,32.5,10.0,Thunderstorm,no
30-03-2024,Chennai,31.9,C,58,96.7,11.0,9.1,Thunderstorm,Y
2024-03-31,Chennai,85.2,,94,0.3,23.8,8.0,Cloudy,N
2024-04-01,Chennai,N/A,C,70,0.8,29.1,7.4,Clear,N
2024-04-02,Chennai,96.1,,90,1.4,33.4,7.3,Cloudy,N
03-04-2024,Chennai,30.5,,47,1.1,38.4,9.1,Sunny,N
04-04-2024,Chennai,28.3,C,54,0.8,37.5,11.0,Sunny,N
05-04-2024,Chennai,33.6,,45,1.0,10.3,9.4,Cloudy,N
2024-04-06,Chennai,36.4,,63,0.0,20.1,8.3,Sunny,N
2024-04-07,Chennai,25.6,C,,1.9,22.8,4.5,Clear,N
2024-04-08,Chennai,33.1,,82,0.2,13.3,10.7,Sunny,N
2024-04-09,Chennai,30.4,,35,0.7,12.3,7.9,Sunny,N
2024-04-10,Chennai,28.5,C,66,88.0,35.5,5.9,Thunderstorm,N
11-04-2024,Chennai,28.5,C,58,0.7,24.5,11.9,Clear,N
2024-04-12,Chennai,28.2,,94,99.4,38.9,9.3,Rain,N
2024-04-13,Chennai,30.3,,unknown,1.7,33.6,9.0,Cloudy,N
2024-04-14,Chennai,34.1,,61,1.1,40.6,5.8,Clear,N
2024-04-15,Chennai,94.5,F,60,0.5,23.4,8.7,Clear,N
16-04-2024,Chennai,28.6,C,87,1.0,15.9,11.0,Clear,N
2024-04-17,Chennai,36.3,C,96,1.9,6.4,2.4,Fog,N
18-04-2024,Chennai,36.6,C,46,90.9,3.4,11.0,Thunderstorm,Y
2024-04-19,Chennai,32.1,,43,0.9,12.8,2.5,Fog,N
2024-04-20,Chennai,30.3,C,72,44.7,17.7,4.4,Thunderstorm,N
21-04-2024,Chennai,31.2,,90,1.6,19.8,10.5,Cloudy,N
2024-04-22,Chennai,31.6,C,91,40.4,26.1,10.5,Rain,N
23-04-2024,Chennai,28.6,C,unknown,1.9,37.0,11.2,Cloudy,N
2024-04-24,Chennai,86.9,F,49,0.4,14.7,8.4,Clear,N
2024-04-25,Chennai,34.4,,76,1.1,10.8,6.0,Cloudy,N
26-04-2024,Chennai,35.5,C,90,1.6,20.9,9.5,Clear,N
27-04-2024,Chennai,35.1,C,56,0.9,43.6,10.9,Clear,N
28-04-2024,Chennai,30.7,C,47,0.9,22.6,3.0,Fog,N
29-04-2024,Chennai,27.7,,94,1.2,26.3,9.8,Clear,N
30-04-2024,Chennai,29.5,C,36,0.5,20.9,10.7,Sunny,N
01-05-2024,Chennai,35.0,C,84,1.8,40.7,1.3,Fog,N
02-05-2024,Chennai,25.8,,56,0.1,37.4,7.4,clear,N
2024-05-03,Chennai,32.0,,81,0.7,34.9,11.5,clear,N
05-05-2024,Chennai,82.3,,60,0.8,36.8,6.3,Cloudy,N
2024-05-06,Chennai,31.2,C,49,0.7,31.0,5.7,Cloudy,N
2024-05-07,Chennai,34.8,C,54,1.8,9.6,5.4,Sunny,N
08-05-2024,Chennai,38.5,C,71,0.9,38.0,7.8,Clear,N
2024-05-09,Chennai,26.8,,97,45.1,36.7,4.1,Heavy Rain,N
10-05-2024,Chennai,29.7,C,43,1.8,12.4,10.9,Clear,N
2024-05-11,Chennai,25.5,C,64,1.7,26.4,6.2,Cloudy,N
2024-05-12,Chennai,34.6,C,69,0.4,15.1,4.5,Cloudy,N
13-05-2024,Chennai,32.6,C,31,1.2,31.9,10.7,Sunny,N
2024-05-14,Chennai,33.1,,76,1.7,40.9,9.7,Cloudy,N
2024-05-15,Chennai,32.9,C,75,1.8,17.9,11.0,Cloudy,N
2024-05-16,Chennai,29.5,C,71,0.0,30.8,1.3,Fog,N
17-05-2024,Chennai,88.7,F,93,0.7,19.9,10.1,Cloudy,N
18-05-2024,Chennai,25.0,C,60,1.5,27.2,11.5,Cloudy,N
19-05-2024,Chennai,26.8,,,1.3,32.0,9.9,Clear,N
20-05-2024,Chennai,32.4,C,31,67.7,21.8,10.7,Thunderstorm,Y
2024-05-21,Chennai,79.4,F,76,0.7,41.8,1.9,Fog,N
2024-05-22,Chennai,27.4,C,57,0.1,13.3,4.8,Cloudy,N
2024-05-23,Chennai,27.0,C,35,17.4,-,5.6,Rain,no
2024-05-24,Chennai,31.9,,45,85.4,33.4,6.2,rain,N
2024-05-25,Chennai,30.5,C,34,1.9,6.6,7.7,clear,N
26-05-2024,Chennai,27.1,C,41,1.4,35.7,10.4,Clear,N
27-05-2024,Chennai,31.6,C,45,0.1,38.2,11.7,Clear,N
28-05-2024,Chennai,29.4,C,43,0.4,31.9,1.4,Fog,N
29-05-2024,Chennai,27.0,C,89,1.7,26.4,11.0,Sunny,N
30-05-2024,Chennai,27.4,C,76,85.9,15.5,10.4,Rain,yes
2024-05-31,Chennai,32.1,,74,0.9,41.4,4.1,Clear,N
01-06-2024,Chennai,77.4,F,49,0.3,30.2,6.6,clear,N
2024-06-02,Chennai,28.1,C,86,0.6,35.1,10.8,Cloudy,N
03-06-2024,Chennai,32.6,C,66,1.4,NA,9.8,Sunny,N
2024-06-04,Chennai,26.2,C,52,0.5,32.9,4.2,Clear,N
2024-06-05,Chennai,30.7,C,34,0.6,43.4,6.0,Cloudy,N
2024-06-06,Chennai,22.8,C,60,19.4,36.2,5.7,Heavy Rain,
2024-06-07,Chennai,23.5,C,44,0.5,24.3,6.3,Sunny,N
08-06-2024,Chennai,24.1,C,77,0.0,8.1,5.1,Sunny,N
2024-06-09,Chennai,26.5,,59,105.9,23.2,7.8,Heavy Rain,
10-06-2024,Chennai,23.2,C,69,1.6,15.9,7.0,CLEAR,N
11-06-2024,Chennai,26.3,C,51,0.0,N/A,6.2,CLEAR,N
2024-06-12,Chennai,26.8,C,32,74.0,27.1,6.6,Thunderstorm,Y
2024-06-13,Chennai,27.5,,66,41.2,16.1,4.9,Rain,yes
14-06-2024,Chennai,27.9,,48,103.2,34.8,7.6,Rain,no
2024-06-15,Chennai,23.2,C,83,1.3,28.2,8.0,Cloudy,N
16-06-2024,Chennai,27.7,,31,95.4,16.0,10.6,rain,yes
17-06-2024,Chennai,80.3,F,31,1.6,null,6.4,Clear,N
18-06-2024,Chennai,27.3,C,32,0.0,6.5,6.5,Sunny,N
19-06-2024,Chennai,25.6,C,60,1.4,39.4,9.6,Cloudy,N
20-06-2024,Chennai,30.5,,72,1.4,37.9,7.1,Cloudy,N
21-06-2024,Chennai,26.3,C,72,0.5,31.6,2.6,Fog,N
2024-06-22,Chennai,29.0,,82,0.5,25.6,1.6,Fog,N
23-06-2024,Chennai,23.4,C,45,0.4,6.5,0.7,Fog,N
2024-06-24,Chennai,28.6,C,50,61.8,12.5,11.3,Heavy Rain,N
25-06-2024,Chennai,27.0,C,52,0.7,3.1,12.0,Cloudy,N
26-06-2024,Chennai,70.1,,45,54.3,36.9,10.2,Rain,Y
2024-06-27,Chennai,23.7,C,29,1.8,34.3,11.5,Clear,N
2024-06-28,Chennai,26.6,C,34,1.6,null,5.3,CLEAR,N
29-06-2024,Chennai,19.5,C,89,1.3,19.6,4.2,Clear,N
30-06-2024,Chennai,21.6,C,77,1.2,43.6,11.6,CLEAR,N
01-07-2024,Chennai,28.3,C,40,80.3,27.1,5.8,Rain,no
2024-07-02,Chennai,75.6,,40,1.4,null,10.5,Clear,N
03-07-2024,Chennai,18.5,C,42,1.2,25.6,2.8,Fog,N
04-07-2024,Chennai,24.0,,85,0.2,5.1,7.5,Sunny,N
2024-07-05,Chennai,24.3,C,76,0.7,38.5,5.0,Clear,N
2024-07-06,Chennai,74.6,F,52,1.6,44.4,6.0,CLEAR,N
07-07-2024,Chennai,25.1,C,54,0.2,32.0,5.0,Cloudy,N
2024-07-08,Chennai,20.6,C,57,1.5,12.1,11.1,Cloudy,N
09-07-2024,Chennai,25.9,C,,68.7,13.6,6.5,Rain,no
2024-07-10,Chennai,unknown,F,59,36.6,22.7,6.2,Rain,Y
11-07-2024,Chennai,22.1,C,92,101.4,12.2,9.1,Rain,yes
2024-07-12,Chennai,19.6,C,88,0.8,9.0,9.7,Clear,N
13-07-2024,Chennai,19.6,C,67,1.6,34.4,7.6,Cloudy,N
14-07-2024,Chennai,24.0,C,70,51.1,12.5,8.7,Rain,N
2024-07-15,Chennai,20.8,,54,1.5,28.7,6.3,CLEAR,N
16-07-2024,Chennai,21.4,C,93,0.5,26.1,5.5,Clear,N
2024-07-18,Chennai,19.3,C,57,25.8,36.0,9.0,Heavy Rain,Y
19-07-2024,Chennai,15.1,C,51,0.1,5.6,8.4,Clear,N
2024-07-20,Chennai,20.1,C,49,0.6,26.3,2.5,Fog,N
21-07-2024,Chennai,18.8,C,68,2.0,25.9,7.3,Sunny,N
2024-07-22,Chennai,25.2,C,49,1.9,37.7,7.7,Sunny,N
2024-07-23,Chennai,16.6,C,31,0.8,2.6,9.6,clear,N
2024-07-24,Chennai,24.1,C,47,0.3,33.9,7.3,CLEAR,N
2024-07-25,Chennai,20.3,,53,19.7,6.9,8.0,Thunderstorm,N
2024-07-26,Chennai,19.9,C,78,0.9,38.9,10.5,Clear,N
27-07-2024,Chennai,27.9,C,69,0.5,28.0,6.3,Cloudy,N
28-07-2024,Chennai,18.9,C,48,1.1,13.7,9.1,clear,N
29-07-2024,Chennai,18.0,,51,1.3,22.0,4.4,Cloudy,N
30-07-2024,Chennai,22.1,,65,0.5,5.0,2.3,Fog,N
01-08-2024,Chennai,58.8,,82,1.4,43.8,4.4,Sunny,N
02-08-2024,Chennai,23.8,C,80,1.7,15.0,1.8,Fog,N
03-08-2024,Chennai,17.9,C,69,0.1,13.8,6.3,Clear,N
04-08-2024,Chennai,70.7,F,74,0.4,40.7,6.0,Cloudy,N
05-08-2024,Chennai,22.6,C,68,0.3,24.0,2.2,Fog,N
2024-08-06,Chennai,22.0,C,56,2.0,29.0,4.1,CLEAR,N
2024-08-07,Chennai,22.0,,28,1.2,27.3,5.0,Cloudy,N
2024-08-08,Chennai,19.7,C,83,1.1,10.9,1.7,Fog,N
2024-08-09,Chennai,17.7,,71,1.5,34.7,5.5,Clear,N
10-08-2024,Chennai,15.0,,85,0.7,16.2,5.9,Sunny,N
2024-08-11,Chennai,15.1,C,91,118.1,32.3,9.9,rain,Y
2024-08-12,Chennai,18.0,,95,39.3,22.2,5.0,Rain,N
13-08-2024,Chennai,23.2,,93,0.4,3.8,4.5,Cloudy,N
2024-08-14,Chennai,20.0,C,41,0.1,2.5,6.0,Sunny,N
15-08-2024,Chennai,22.9,,28,101.9,41.1,7.6,rain,no
2024-08-16,Chennai,21.1,C,75,1.0,35.3,6.4,Cloudy,N
17-08-2024,Chennai,14.4,,37,1.3,23.0,11.6,clear,N
18-08-2024,Chennai,23.2,C,91,1.3,35.0,8.9,CLEAR,N
2024-08-19,Chennai,63.1,F,88,1.6,-,10.3,Cloudy,N
2024-08-20,Chennai,14.2,C,47,1.4,11.6,7.8,Clear,N
2024-08-22,Chennai,74.2,F,87,0.3,28.0,5.3,clear,N
23-08-2024,Chennai,15.8,C,96,0.7,7.0,5.3,Clear,N
24-08-2024,Chennai,69.7,,87,94.8,27.0,10.5,rain,N
25-08-2024,Chennai,15.0,C,82,0.8,20.2,11.7,CLEAR,N
26-08-2024,Chennai,14.9,C,72,87.2,27.4,6.0,Rain,N
2024-08-27,Chennai,13.0,C,39,24.9,28.5,10.0,Heavy Rain,no
28-08-2024,Chennai,8.7,,55,1.2,20.0,6.9,Cloudy,N
2024-08-29,Chennai,16.1,C,85,0.5,3.1,4.7,clear,N
30-08-2024,Chennai,18.2,C,33,1.0,38.6,11.2,Clear,N
2024-08-31,Chennai,15.1,C,83,85.2,41.3,6.0,Rain,Y
01-09-2024,Chennai,20.9,,83,95.4,35.7,9.0,Heavy Rain,N
02-09-2024,Chennai,19.7,C,53,0.1,44.5,4.2,Cloudy,N
03-09-2024,Chennai,16.6,C,54,0.0,10.8,2.9,Fog,N
04-09-2024,Chennai,21.2,,32,1.5,26.9,2.2,Fog,N
2024-09-05,Chennai,20.3,C,46,27.0,39.2,4.2,Rain,
06-09-2024,Chennai,17.2,C,56,0.1,24.6,10.8,clear,N
07-09-2024,Chennai,66.2,F,50,1.7,38.9,4.2,Clear,N
2024-09-08,Chennai,11.0,C,85,62.8,9.4,10.3,rain,no
2024-09-09,Chennai,14.9,,28,1.3,9.6,9.9,Sunny,N
2024-09-10,Chennai,18.9,C,40,1.8,34.8,11.1,Clear,N
2024-09-11,Chennai,17.9,C,49,1.0,38.8,11.5,Clear,N
2024-09-12,Chennai,18.0,C,53,41.8,21.6,8.0,Thunderstorm,N
13-09-2024,Chennai,65.2,F,59,1.2,39.8,11.4,Cloudy,N
2024-09-14,Chennai,54.6,F,31,1.1,17.9,5.3,Clear,N
2024-09-15,Chennai,19.9,C,98,0.7,27.6,1.7,Fog,N
2024-09-17,Chennai,16.7,C,-,92.8,26.7,10.0,Thunderstorm,N
2024-09-18,Chennai,19.3,C,97,0.0,38.5,11.8,Clear,N
19-09-2024,Chennai,63.6,F,31,1.7,3.2,6.4,Clear,N
20-09-2024,Chennai,13.7,C,42,1.0,28.9,10.9,Clear,N
21-09-2024,Chennai,15.9,,87,28.8,7.2,6.6,Rain,
2024-09-22,Chennai,14.9,C,35,1.8,20.6,11.0,Clear,N
23-09-2024,Chennai,12.4,C,87,1.6,19.6,7.7,Sunny,N
24-09-2024,Chennai,14.0,C,40,0.8,2.0,5.1,clear,N
2024-09-25,Chennai,9.9,C,90,0.2,21.2,9.1,Cloudy,N
26-09-2024,Chennai,18.1,C,38,2.0,4.3,11.1,Sunny,N
27-09-2024,Chennai,15.4,,93,1.2,18.0,7.6,CLEAR,N
28-09-2024,Chennai,11.6,C,49,1.3,29.6,10.5,Clear,N
29-09-2024,Chennai,12.9,C,31,1.6,6.1,9.4,Sunny,N
30-09-2024,Chennai,20.0,,46,54.8,18.0,9.5,Rain,Y
2024-10-01,Chennai,17.4,C,83,0.6,37.3,8.1,Clear,N
2024-10-02,Chennai,15.0,C,79,1.5,42.1,8.9,Cloudy,N
2024-10-03,Chennai,16.5,C,76,0.8,41.5,4.2,Sunny,N
2024-10-04,Chennai,17.7,C,93,0.7,25.1,10.7,Cloudy,N
05-10-2024,Chennai,59.9,F,32,0.1,15.8,7.9,Clear,N
06-10-2024,Chennai,17.6,,77,1.3,28.9,6.9,Clear,N
2024-10-07,Chennai,16.8,,58,0.7,2.1,8.5,Cloudy,N
08-10-2024,Chennai,14.6,C,30,0.0,21.2,8.7,Sunny,N
09-10-2024,Chennai,14.8,C,94,1.5,2.3,6.7,Cloudy,N
10-10-2024,Chennai,13.2,C,51,0.4,40.9,10.7,Clear,N
11-10-2024,Chennai,15.8,C,29,1.3,17.4,7.2,Cloudy,N
12-10-2024,Chennai,15.1,C,69,92.7,13.0,7.5,rain,yes
2024-10-13,Chennai,15.3,C,96,1.4,12.7,5.5,Cloudy,N
14-10-2024,Chennai,18.8,C,67,0.4,23.3,11.4,Clear,N
15-10-2024,Chennai,16.9,C,67,0.3,32.2,1.4,Fog,N
2024-10-16,Chennai,13.3,C,96,17.1,11.3,10.5,Thunderstorm,N
2024-10-17,Chennai,15.9,C,48,0.6,31.0,9.8,Cloudy,N
2024-10-18,Chennai,14.3,,92,0.9,14.5,1.5,Fog,N
19-10-2024,Chennai,63.2,F,60,0.3,24.1,5.5,Clear,N
2024-10-20,Chennai,17.8,,85,0.4,33.3,11.8,CLEAR,N
21-10-2024,Chennai,16.6,C,49,74.4,6.5,10.3,Rain,yes
2024-10-22,Chennai,22.7,C,91,1.1,44.9,4.4,Cloudy,N
23-10-2024,Chennai,11.3,,44,44.0,39.6,9.1,Heavy Rain,N
24-10-2024,Chennai,13.5,C,34,1.2,5.6,10.8,Clear,N
25-10-2024,Chennai,24.4,C,34,1.0,13.5,11.9,Sunny,N
26-10-2024,Chennai,13.6,C,31,0.5,21.1,9.6,Sunny,N
27-10-2024,Chennai,19.3,C,38,0.0,10.3,9.4,Cloudy,N
28-10-2024,Chennai,13.0,,41,1.8,17.1,1.5,Fog,N
29-10-2024,Chennai,13.7,,89,0.8,12.4,8.3,Clear,N
30-10-2024,Chennai,62.7,F,31,0.6,26.1,8.9,Clear,N
31-10-2024,Chennai,15.7,C,  ,0.9,5.5,5.0,Clear,N
2024-11-01,Chennai,17.3,C,86,36.7,23.4,6.6,Heavy Rain,N
02-11-2024,Chennai,14.4,C,86,1.3,14.6,5.4,Cloudy,N
03-11-2024,Chennai,12.7,C,93,0.7,15.4,4.4,Clear,N
04-11-2024,Chennai,14.0,C,42,0.0,14.4,10.9,Clear,N
05-11-2024,Chennai,20.1,C,78,1.7,19.5,7.0,Sunny,N
06-11-2024,Chennai,19.7,C,84,0.6,32.8,9.7,Sunny,N
2024-11-07,Chennai,17.9,C,unknown,1.8,34.7,1.7,Fog,N
08-11-2024,Chennai,20.4,,71,1.5,16.8,10.0,Cloudy,N
10-11-2024,Chennai,65.5,F,53,113.1,29.7,9.0,Thunderstorm,N
11-11-2024,Chennai,14.6,,73,39.1,25.5,10.6,Rain,yes
12-11-2024,Chennai,12.3,C,79,55.8,35.6,4.9,rain,no
2024-11-13,Chennai,19.1,C,57,1.8,37.0,11.2,Clear,N
14-11-2024,Chennai,16.7,C,78,0.7,31.0,8.1,Cloudy,N
2024-11-15,Chennai,18.9,,84,8.1,25.9,11.5,Thunderstorm,Y
2024-11-16,Chennai,13.5,,38,1.1,17.6,10.0,Cloudy,N
2024-11-17,Chennai,18.3,C,77,23.2,12.8,8.1,Thunderstorm,no
18-11-2024,Chennai,27.5,C,70,1.1,8.3,9.1,Cloudy,N
19-11-2024,Chennai,22.1,C,91,1.6,44.9,11.0,Cloudy,N
20-11-2024,Chennai,67.2,,90,95.6,11.1,8.8,Rain,N
2024-11-21,Chennai,16.7,C,94,39.0,41.0,11.7,Heavy Rain,
2024-11-22,Chennai,18.7,C,95,0.6,18.9,4.3,Sunny,N
2024-11-23,Chennai,-,C,61,0.3,23.9,1.1,Fog,N
24-11-2024,Chennai,21.7,C,79,0.4,12.6,8.4,Cloudy,N
2024-11-25,Chennai,10.7,C,49,2.0,16.3,6.9,Clear,N
26-11-2024,Chennai,17.5,,44,1.3,19.4,5.8,Clear,N
27-11-2024,Chennai,14.4,,74,73.0,15.8,9.4,Heavy Rain,
28-11-2024,Chennai,18.8,C,45,0.7,43.4,6.4,Sunny,N
2024-11-29,Chennai,25.2,,58,1.8,25.3,7.3,clear,N
30-11-2024,Chennai,19.2,,34,0.9,24.3,11.1,Cloudy,N
2024-12-01,Chennai,23.0,C,53,0.4,11.0,9.0,Clear,N
2024-12-02,Chennai,18.0,C,92,55.0,24.3,9.3,rain,N
03-12-2024,Chennai,63.3,F,41,80.1,26.0,7.3,rain,Y
2024-12-04,Chennai,73.3,F,60,99.9,28.6,5.1,Rain,yes
06-12-2024,Chennai,18.7,C,47,0.2,40.8,2.8,Fog,N
2024-12-07,Chennai,22.2,C,52,1.5,19.7,9.7,clear,N
2024-12-08,Chennai,18.3,C,68,1.2,19.8,4.6,CLEAR,N
09-12-2024,Chennai,19.6,C,42,1.2,12.2,4.9,Sunny,N
10-12-2024,Chennai,68.2,F,66,0.5,38.1,10.2,Cloudy,N
11-12-2024,Chennai,18.8,C,52,1.6,10.0,5.5,Sunny,N
12-12-2024,Chennai,19.4,C,36,91.2,6.9,11.5,rain,N
2024-12-13,Chennai,17.3,C,86,0.2,38.3,11.0,Clear,N
14-12-2024,Chennai,21.3,C,51,75.2,42.5,7.4,Rain,no
2024-12-15,Chennai,24.0,,46,0.5,34.7,5.3,Clear,N
16-12-2024,Chennai,21.3,C,68,0.7,18.0,7.9,Cloudy,N
17-12-2024,Chennai,20.3,C,38,0.1,22.6,9.2,Cloudy,N
18-12-2024,Chennai,69.6,F,33,0.0,24.8,9.1,Clear,N
19-12-2024,Chennai,23.4,,87,1.3,27.7,10.0,Cloudy,N
20-12-2024,Chennai,26.5,C,90,74.0,3.5,6.1,Rain,
21-12-2024,Chennai,18.4,C,80,1.5,10.4,6.9,Cloudy,N
2024-12-23,Chennai,19.8,,86,0.3,22.5,8.2,clear,N
2024-12-24,Chennai,N/A,C,62,1.2,42.8,6.4,Sunny,N
2024-12-25,Chennai,73.6,,93,68.6,41.0,7.9,Rain,N
2024-12-26,Chennai,23.7,C,40,1.8,37.5,6.6,Cloudy,N
27-12-2024,Chennai,25.9,C,39,0.7,43.0,6.7,clear,N
28-12-2024,Chennai,22.4,C,47,0.4,8.2,5.0,CLEAR,N
2024-12-29,Chennai,21.5,C,80,38.3,19.7,4.5,Heavy Rain,N
30-12-2024,Chennai,21.4,,43,1.7,20.3,11.3,Cloudy,N
2024-12-31,Chennai,28.9,C,87,1.6,26.9,7.2,Clear,N
01-01-2025,Chennai,29.4,C,63,1.4,26.1,10.5,CLEAR,N
