vehicle_id,vehicle_type,model_name,capacity_kg,max_range_km,avg_speed_kmph,hub_code,purchase_date,odometer_km,fleet_status,driver_id,battery_capacity_wh,last_service_date,insurance_expiry,ownership
VEH-0055,Drone,Aravind-910,1.5,9.8,56,HUB-KOC,16/12/2021 00:00,120206.2,Retired,,6449.0,2024-07-17 00:00:00,16-08-2024,3PL Partner
VEH-0056,Drone,Tamira-470,5.2,17.9,57,HUB-KOL,06/01/2020 00:00,149815.4,Idle,,4462.0,2024-07-02 00:00:00,21-12-2024,Leased
VEH-0057,Drone,Meridian-651,5.9,18.9,61,HUB-JAI,16/10/2021 00:00,34433.9,under maintenance,,2839.0,2024-03-05 00:00:00,02-01-2024,Leased
VEH-0058,Drone,Meridian-962,1.9,18.8,50,HUB-CHE,21-06-2023,53468.5,Active,,5443.0,2025-02-25 00:00:00,07-03-2025,Leased
VEH-0059,Drone,Zenith-402,3700 g,25.9,54,HUB-CHE,24-07-2017,56269.7,Retired,,8978.0,2024-11-09 00:00:00,02-02-2024,Leased
VEH-0060,Drone,Zenith-136,5.4 kg,23.6,55,HUB-CHA,2023-06-30 00:00:00,180356.7,ACTIVE,,3787.0,2024-01-15 00:00:00,06-11-2024,3PL Partner
VEH-0061,Drone,Kaveri-945,5.6,27.8,57,HUB-KOC,06-08-2022,7116.2,Idle,,2931.0,24-03-2024,19-07-2024,Owned
VEH-0062,Drone,Vayu-431,2.5,28.5,56,HUB-GUR,2019-02-27 00:00:00,231938.1,Maintenance,,2414.0,22-12-2024,07-04-2025,3PL Partner
VEH-0063,Drone,UrbanCraft-711,3.0,8.0,61,HUB-MUM,04/05/2018 00:00,64379.1,Idle,,8210.0,17-02-2025,15-12-2023,Owned
VEH-0064,Drone,Tamira-115,5.4,20.0,57,HUB-LUC,2018-02-13 00:00:00,238683.4,Idle,,5670.0,31-07-2024,08-12-2023,Owned
VEH-0065,Drone,Vayu-733,5.4 kg,24.1,56,HUB-PUN,2019-06-26 00:00:00,157243.9,active,,7675.0,05-11-2024,18-06-2025,3PL Partner
VEH-0066,Drone,Vayu-790,5.7,8.7,53,HUB-BEN,22/01/2020 00:00,22300.7,Active,,8358.0,2024-01-20 00:00:00,18-04-2024,Owned
VEH-0067,Drone,UrbanCraft-365,3.0,13.3,60,HUB-MYS,2018-07-01 00:00:00,23746.0,under maintenance,,7955.0,2025-03-11 00:00:00,26-04-2025,Leased
VEH-0068,Drone,Aravind-545,4.0 kg,17.2,56,HUB-LUC,15-12-2022,58927.4,Idle,,5850.0,2024-06-23 00:00:00,06-07-2025,Leased
VEH-0069,drone,UrbanCraft-751,4.4,14.7,49,HUB-NAG,19-05-2018,138732.2,Retired,,6517.0,20-06-2024,12-04-2024,Leased
VEH-0070,Drone,UrbanCraft-128,1.4,17.7,59,HUB-AHM,14-07-2019,210610.1,Maintenance,,6001.0,21-06-2024,04-06-2025,Leased
VEH-0071,Drone,Zenith-365,5.7,23.3,53,HUB-GUW,2017-08-24 00:00:00,115949.2,ACTIVE,,4585.0,11-05-2025,28-10-2023,Owned
VEH-0072,Drone,Meridian-786,4.1 kg,28.5,60,HUB-MUM,29-04-2023,54913.3,Maintenance,,3852.0,20-04-2025,18-05-2025,Leased
VEH-0073,Drone,Vayu-655,5.9,24.9,61,HUB-MYS,05-08-2020,217930.7,under maintenance,,2350.0,2024-10-29 00:00:00,15-09-2024,Owned
VEH-0074,drone,Kaveri-294,5.5,26.1,53,HUB-NAG,2017-08-20 00:00:00,28404.1,active,,4900.0,2024-02-10 00:00:00,05-01-2025,Leased
VEH-0075,Drone,Zenith-473,5.7 kg,16.8,52,HUB-COI,15-07-2017,126586.3,Active,,7115.0,2025-04-04 00:00:00,02-02-2024,Owned
VEH-0076,Drone,Meridian-365,1000 g,24.5,49,HUB-NAG,24-02-2018,30122.9,Retired,,7613.0,2024-01-22 00:00:00,16-10-2024,3PL Partner
VEH-0077,Drone,Vayu-830,6.0,8.2,50,HUB-LUC,03/02/2018 00:00,124662.1,Retired,,3303.0,2025-04-26 00:00:00,25-09-2024,3PL Partner
VEH-0078,Drone,Tamira-310,3.9,10.4,58,HUB-MYS,2018-07-23 00:00:00,175743.5,Retired,,3635.0,2024-07-09 00:00:00,01-11-2025,3PL Partner
VEH-0079,Drone,UrbanCraft-502,5.9,24.0,49,HUB-NAG,2021-02-03 00:00:00,133032.6,Idle,,7209.0,2024-01-13 00:00:00,14-04-2025,3PL Partner
VEH-0080,Drone,Meridian-116,4.7,15.9,52,HUB-KOL,2020-05-09 00:00:00,3924.1,ACTIVE,,3880.0,2024-11-22 00:00:00,20-01-2025,Leased
VEH-0081,Drone,Zenith-635,3.4,26.7,58,HUB-CHE,14/06/2020 00:00,235619.7,Retired,,7239.0,2025-04-27 00:00:00,28-01-2024,Leased
VEH-0082,Drone,UrbanCraft-234,5.0KG,14.3,60,HUB-CHE,30-09-2020,254877.1,Retired,,2873.0,10-01-2025,25-05-2024,3PL Partner
VEH-0083,Drone,Meridian-174,2600 g,15.1,55,HUB-GUR,18-07-2023,34273.8,Maintenance,,5969.0,13-01-2024,26-06-2025,3PL Partner
VEH-0084,Drone,Aravind-149,3.6,8.9,58,HUB-PUN,09/04/2023 00:00,35361.4,Idle,,4783.0,2024-09-28 00:00:00,18-11-2023,3PL Partner
VEH-0085,Drone,Meridian-983,2900 g,26.0,60,HUB-MYS,06-06-2020,33390.6,Active,,6297.0,2024-06-04 00:00:00,19-02-2025,Owned
VEH-0086,Drone,Tamira-517,4.3,18.6,59,HUB-BHU,08-06-2018,122450.5,ACTIVE,,8970.0,22-03-2025,19-03-2025,Leased
VEH-0087,drone,UrbanCraft-252,5.9 kg,14.8,59,HUB-MUM,29/08/2018 00:00,18917.2,In Service,,7189.0,2025-05-27 00:00:00,02-07-2024,3PL Partner
VEH-0088,Drone,Tamira-567,6.0,18.6,60,HUB-LUC,25-03-2021,119394.8,In Service,,8917.0,2024-12-20 00:00:00,29-11-2023,Leased
VEH-0089,Drone,Nexon-757,1.5,14.9,54,HUB-KOC,03/09/2017 00:00,8302.4,ACTIVE,,7644.0,21-09-2024,05-03-2025,Leased
VEH-0090,Drone,Vayu-862,4.8,26.5,50,HUB-HYD,2020-05-16 00:00:00,227415.0,under maintenance,,8539.0,09-12-2024,10-05-2024,Owned
VEH-0091,Drone,Aravind-783,1.7,13.1,55,HUB-KOL,19-05-2018,190631.7,In Service,,3707.0,14-09-2024,22-02-2024,Owned
VEH-0092,Drone,Zenith-607,4800 g,13.3,49,HUB-NAG,20-08-2022,234032.0,ACTIVE,,6424.0,11-11-2024,10-11-2025,Leased
VEH-0093,Drone,Meridian-361,1.3,15.4,53,HUB-CHA,27/12/2019 00:00,219678.4,Active,,7847.0,2024-06-14 00:00:00,21-07-2024,3PL Partner
VEH-0094,Drone,Nexon-358,5300 g,19.4,49,HUB-MYS,2022-08-25 00:00:00,129038.5,Active,,3060.0,2024-07-26 00:00:00,14-05-2024,3PL Partner
VEH-0095,Drone,Meridian-138,5.6,8.0,49,HUB-VIS,2021-05-17 00:00:00,110039.5,Maintenance,,5534.0,02-01-2024,28-10-2024,Leased
VEH-0096,Drone,Nexon-904,3.0KG,28.9,49,HUB-NAG,29/01/2018 00:00,257269.6,Idle,,4443.0,2025-06-26 00:00:00,09-07-2025,Owned
VEH-0097,Drone,Tamira-456,3.0KG,29.8,51,HUB-VIS,06/08/2017 00:00,120139.2,Retired,,6917.0,2024-09-19 00:00:00,27-08-2025,3PL Partner
VEH-0098,Drone,Kaveri-291,5.9,16.9,52,HUB-CHA,17-02-2019,195506.1,active,,6738.0,27-01-2025,03-04-2024,3PL Partner
VEH-0099,Drone,Tamira-345,3.6,19.1,57,HUB-MUM,2022-08-11 00:00:00,165536.5,In Service,,6462.0,2024-08-12 00:00:00,11-10-2024,Owned
VEH-0100,Drone,UrbanCraft-622,5.4,17.6,53,HUB-GUR,05-04-2019,N/A,Retired,,6544.0,28-03-2025,04-03-2025,Owned
VEH-0101,Drone,Nexon-789,1.1KG,14.7,56,HUB-KOC,2023-01-14 00:00:00,10939.6,Retired,,3763.0,19-03-2024,02-11-2024,Leased
VEH-0102,Drone,UrbanCraft-763,4.6 kg,15.9,58,HUB-KOL,2023-06-08 00:00:00,148043.1,Retired,,2996.0,08-07-2024,27-08-2025,Leased
VEH-0103,Drone,Zenith-865,5.2,28.2,53,HUB-DEL,03-10-2022,104285.7,ACTIVE,,2167.0,2024-01-11 00:00:00,25-02-2025,Leased
VEH-0104,Drone,Kaveri-769,2.9,18.3,51,HUB-MAD,08-06-2018,-,Active,,5073.0,2024-03-22 00:00:00,26-03-2025,Leased
VEH-0105,Drone,Nexon-415,5.7KG,23.7,49,HUB-KOC,18-07-2017,172752.1,Retired,,6650.0,27-07-2024,28-07-2024,3PL Partner
VEH-0106,Drone,Aravind-356,1.2,12.9,57,HUB-PUN,08/02/2020 00:00,225308.9,Idle,,6292.0,2025-04-26 00:00:00,12-01-2025,Leased
VEH-0107,Drone,Tamira-490,3.8,23.0,55,HUB-BHU,01-10-2021,173708.8,ACTIVE,,8282.0,2024-01-27 00:00:00,30-03-2025,Leased
VEH-0108,Drone,UrbanCraft-409,1.7,10.2,56,HUB-CHE,09-08-2017,3149.9,active,,5104.0,2024-02-11 00:00:00,19-12-2023,3PL Partner
VEH-0109,Drone,Vayu-150,3.6,24.6,61,HUB-CHA,16-04-2022,139792.5,Retired,,8354.0,2024-06-18 00:00:00,29-05-2024,Owned
VEH-0110,Drone,Nexon-840,4.6,19.0,57,HUB-BHU,14-03-2021,17162.8,ACTIVE,,3459.0,10-10-2024,09-08-2025,Leased
VEH-0111,Drone,Zenith-939,2.9KG,26.6,49,HUB-KOC,12/12/2018 00:00,34458.9,In Service,,2336.0,2024-09-19 00:00:00,29-09-2024,Owned
VEH-0112,Drone,Zenith-616,5.3KG,20.2,58,HUB-MYS,2020-11-11 00:00:00,202975.6,Active,,4758.0,2024-10-15 00:00:00,08-05-2025,Leased
VEH-0113,DRONE,Kaveri-681,1.4,16.2,55,HUB-MYS,29/11/2019 00:00,49605.0,Active,,8829.0,2024-11-06 00:00:00,12-01-2025,3PL Partner
VEH-0114,Drone,Meridian-625,5.1,27.8,53,HUB-HYD,10-08-2023,-,under maintenance,,2666.0,15-04-2025,26-11-2023,Owned
VEH-0115,Drone,UrbanCraft-932,4.1,24.5,56,HUB-BEN,2019-01-31 00:00:00,171776.8,ACTIVE,,5490.0,12-01-2024,23-05-2024,3PL Partner
VEH-0116,Drone,UrbanCraft-559,1.5,9.5,50,HUB-PUN,18/12/2021 00:00,171470.5,Maintenance,,3048.0,2024-06-19 00:00:00,15-06-2025,3PL Partner
VEH-0117,Drone,Meridian-972,3.1,16.3,54,HUB-VIS,2022-03-26 00:00:00,57399.8,Retired,,5613.0,2025-02-01 00:00:00,14-05-2025,Leased
VEH-0118,Drone,Kaveri-245,3.8,19.2,52,HUB-JAI,2021-06-26 00:00:00,40722.0,In Service,,6107.0,27-10-2024,30-09-2025,Owned
VEH-0119,Drone,Kaveri-115,4.8,14.6,54,HUB-COI,2021-12-31 00:00:00,49267.0,Idle,,5339.0,26-07-2024,25-07-2024,Leased
VEH-0120,Drone,Kaveri-793,2.6,11.3,49,HUB-KOC,2020-02-09 00:00:00,3642.5,ACTIVE,,5865.0,17-11-2024,05-05-2025,Owned
VEH-0121,Drone,Nexon-857,5.1KG,15.7,50,HUB-MYS,2021-02-28 00:00:00,N/A,active,,8097.0,2025-06-10 00:00:00,28-12-2023,Owned
VEH-0122,Drone,Kaveri-947,4.9,11.7,52,HUB-LUC,28-12-2017,195680.4,Idle,,3694.0,2024-07-16 00:00:00,15-12-2023,Leased
VEH-0123,Drone,UrbanCraft-422,5.8,19.2,59,HUB-BEN,2019-06-01 00:00:00,36515.5,Idle,,6698.0,15-03-2025,10-01-2025,3PL Partner
VEH-0124,Drone,Tamira-798,1.4,26.9,54,HUB-BHU,2022-08-27 00:00:00,33080.4,Maintenance,,7816.0,13-10-2024,21-10-2025,3PL Partner
VEH-0125,Drone,Nexon-430,3.7,29.9,49,HUB-GUW,2022-03-20 00:00:00,101916.8,ACTIVE,,6821.0,2025-01-30 00:00:00,06-05-2024,Owned
VEH-0126,drone,Zenith-982,3.9,14.3,57,HUB-COI,02-02-2023,227243.5,ACTIVE,,4395.0,2024-06-21 00:00:00,29-02-2024,Leased
VEH-0127,Drone,Kaveri-388,2.9,17.7,57,HUB-GUR,27-07-2019,129743.4,active,,6664.0,2025-05-24 00:00:00,24-05-2024,3PL Partner
VEH-0128,Drone,Kaveri-187,1.9 kg,25.5,49,HUB-CHE,29-09-2020,N/A,under maintenance,,3614.0,05-03-2025,06-01-2024,Leased
VEH-0129,Drone,Vayu-109,4.0,14.7,55,HUB-NAG,14/11/2022 00:00,144735.2,Retired,,4719.0,26-08-2024,14-08-2024,Leased
VEH-0130,Drone,Aravind-617,2.0,15.2,56,HUB-DEL,26/07/2019 00:00,199505.0,Retired,,5509.0,18-03-2024,11-10-2024,Leased
VEH-0131,Drone,Aravind-411,3.2,17.4,57,HUB-LUC,05-04-2021,148368.0,Retired,,8663.0,11-01-2025,10-01-2024,3PL Partner
VEH-0132,Drone,Tamira-810,2.6,13.5,50,HUB-NAG,2022-09-16 00:00:00,98916.1,Idle,,6710.0,2024-08-04 00:00:00,25-05-2025,Owned
VEH-0133,Drone,Zenith-950,5.7,24.7,55,HUB-JAI,2018-09-19 00:00:00,181596.6,Maintenance,,2742.0,02-01-2025,26-04-2024,Owned
VEH-0134,Drone,Vayu-507,1.3KG,18.4,56,HUB-MYS,2021-01-20 00:00:00,133908.0,under maintenance,,2988.0,10-01-2025,29-09-2024,3PL Partner
VEH-0135,DRONE,Vayu-920,1.8,19.9,60,HUB-MUM,04/05/2018 00:00,103878.0,ACTIVE,,6836.0,2025-02-08 00:00:00,27-04-2024,Owned
VEH-0136,Drone,Kaveri-329,4.0,16.9,61,HUB-NAG,2019-12-09 00:00:00,-,In Service,,5600.0,29-10-2024,16-12-2024,Owned
VEH-0137,Drone,Zenith-396,5.6,10.8,52,HUB-KOC,04/04/2020 00:00,9852.1,ACTIVE,,4683.0,2025-05-06 00:00:00,09-11-2024,Leased
VEH-0138,Drone,Vayu-970,1.9 kg,9.1,53,HUB-MYS,01/09/2021 00:00,189063.1,ACTIVE,,5951.0,04-04-2025,02-04-2025,Leased
VEH-0139,Drone,Aravind-298,4.0,-20.6,53,HUB-MYS,28-04-2022,29097.0,active,,2587.0,25-01-2024,29-05-2024,Owned
VEH-0140,Drone,Zenith-742,2.7,27.4,49,HUB-BEN,2018-05-21 00:00:00,203637.1,Retired,,7949.0,27-05-2025,31-07-2024,3PL Partner
VEH-0141,Bike,Meridian-920,33.7,54.8,28,HUB-COI,18/10/2019 00:00,180154.8,Maintenance,DRV-0759,,19-01-2024,19-10-2023,Owned
VEH-0142,Bike,Tamira-915,13.9,79.0,37,HUB-MYS,2021-10-10 00:00:00,155177.7,Maintenance,DRV-0632,,23-01-2025,27-11-2025,Owned
VEH-0143,Bike,Tamira-704,14.3KG,107.9,36,HUB-MUM,15/01/2021 00:00,259092.4,active,DRV-0052,,2025-03-26 00:00:00,01-12-2025,3PL Partner
VEH-0144,Bike,Meridian-533,13.7,89.7,31,HUB-MYS,09-07-2021,19047.9,In Service,DRV-0126,,2025-06-25 00:00:00,28-12-2024,3PL Partner
VEH-0145,Bike,Nexon-537,16.4,109.7,37,HUB-MUM,23/06/2019 00:00,192330.7,ACTIVE,DRV-0659,,10-02-2024,14-10-2023,Owned
VEH-0146,Bike,Aravind-449,23.6,77.7,29,HUB-LUC,2020-05-20 00:00:00,110974.2,ACTIVE,DRV-0544,,2025-05-10 00:00:00,07-10-2023,Leased
VEH-0147,Bike,Aravind-141,11.3,98.4,32,HUB-NAG,18-04-2019,58640.5,In Service,DRV-0160,,14-05-2025,26-11-2023,3PL Partner
VEH-0148,Bike,Kaveri-565,27.2,99.1,37,HUB-BEN,23-04-2019,136795.2,Idle,DRV-0763,,2024-07-29 00:00:00,15-07-2024,3PL Partner
VEH-0149,Bike,Zenith-533,19.9,117.8,26,HUB-VIS,22-03-2021,-,under maintenance,DRV-0613,,2024-08-27 00:00:00,30-09-2025,Owned
VEH-0150,Bike,Meridian-868,31.6,88.4,34,HUB-KOL,22/08/2020 00:00,null,Idle,DRV-0543,,2025-05-16 00:00:00,17-11-2024,Owned
VEH-0151,Bike,Zenith-168,10.3,106.6,29,HUB-COI,08/09/2017 00:00,241084.8,In Service,DRV-0870,,23-05-2025,19-07-2025,3PL Partner
VEH-0152,Bike,Nexon-227,32.3,46.7,32,HUB-JAI,04/09/2019 00:00,155168.6,Retired,DRV-0064,,2025-03-11 00:00:00,29-05-2025,Owned
VEH-0153,Bike,UrbanCraft-980,27.7,55.4,30,HUB-CHE,06-11-2017,123642.8,Active,DRV-0440,,2024-10-31 00:00:00,02-02-2024,3PL Partner
VEH-0154,Bike,Kaveri-348,27.4,63.6,29,HUB-PUN,17/06/2023 00:00,N/A,Retired,DRV-0204,,08-07-2024,27-11-2025,3PL Partner
VEH-0155,Bike,Meridian-871,19.5,119.9,30,HUB-CHA,16-05-2020,82855.0,active,DRV-0412,,24-09-2024,17-11-2023,Owned
VEH-0156,Bike,Nexon-146,24.2,100.2,33,HUB-BHU,14/04/2022 00:00,213523.4,Active,DRV-0641,,28-10-2024,09-08-2024,Owned
VEH-0157,Bike,Kaveri-505,33.7,105.0,33,HUB-MAD,11-02-2019,153549.6,Maintenance,DRV-0141,,2025-03-23 00:00:00,30-11-2025,3PL Partner
VEH-0158,Bike,UrbanCraft-724,28.6,62.3,36,HUB-MYS,2023-10-14 00:00:00,199532.9,Idle,DRV-0836,,19-08-2024,26-06-2024,3PL Partner
VEH-0159,Bike,UrbanCraft-897,18.2,53.7,36,HUB-MYS,2023-01-25 00:00:00,249453.5,Idle,DRV-0127,,10-06-2025,16-12-2024,Leased
VEH-0160,Bike,Meridian-805,26.6,81.3,36,HUB-CHA,2023-01-09 00:00:00,78083.3,ACTIVE,DRV-0863,,12-07-2024,10-09-2025,Leased
VEH-0161,Bike,Tamira-887,14.0KG,53.0,27,HUB-DEL,07-02-2021,205512.6,active,DRV-0485,,28-09-2024,01-05-2025,Leased
VEH-0162,Bike,Nexon-644,15.1,95.7,34,HUB-MUM,2021-08-11 00:00:00,3366.0,under maintenance,DRV-0112,,06-09-2024,22-05-2025,3PL Partner
