order_id,customer_id,product_id,quantity,order_date,origin_hub,origin_city,destination_city,destination_state,destination_pincode,destination_lat,destination_lon,distance_km,package_weight,package_dimensions_cm,is_fragile,is_hazmat,cold_chain_required,delivery_priority,payment_mode,order_value_inr,weather_condition_at_dest,assigned_vehicle_id,promised_eta_hours,actual_delivery_hours,delivery_cost_inr,transport_mode,order_status
ORD-013817,CUST-04444,PRD-00559,3,2025-04-15 20:23:00,HUB-NAG,Nagpur,Nagpur,MH,440001,21.220593,79.152925,10.69,4.5,37*12*36,True,1,True,Express,COD,1916.16,rain,VEH-0374,6.0,3.89,16.42,Bike,In Transit
ORD-002219,CUST-04622,PRD-00156,2,03-01-2024,HUB-KOC,Kochi,Kochi,KL,682001,9.895726,-,5.54,37900 g,72x14x43,True,0,False,EXPRESS,COD,288730.38,Clear,VEH-0522,2.2,1.43,109.26,van,Delivered
ORD-010568,CUST-00691,PRD-00560,2,May 06 2025 05:31 PM,HUB-KOL,Kolkata,Coimbatore,TN,641001,11.046024,,1765.44,4.06,10*54*27,False,1,False,express,Prepaid,75463.38,Clear,VEH-0713,14.0,9.41,17037.44,Air Cargo,delivered
ORD-003296,CUST-01575,PRD-00606,4,15/06/2025 20:12,HUB-PUN,Pune,Bhubaneswar,OD,751001,20.24854,85.78443,1265.48,17.0,,True,1,False,exp,UPI,529902.76,Clear,VEH-0712,9.9,8.68,12336.16,Air_Cargo,Delivered
ORD-009509,  ,PRD-00499,3,09/08/2024 08:17,HUB-HYD,Hyderabad,Delhi,DL,110001,28.645095,77.210454,1258.83,-5.43,53*24*8,1,0,False,SameDay,UPI,215270.43,Clear,VEH-0713,10.4,8.58,12471.66,air cargo,Delivered
ORD-000108,CUST-03693,PRD-00661,2,01/06/2024 14:05,HUB-MUM,Mumbai,Mumbai,MH,400001,19.038215,72.848791,5.19,5792.08,,No,1,False,Express,COD,139665.76,Clear,VEH-0635,2.9,2.75,10532.35,Truck,delivered
ORD-012993,CUST-01908,PRD-00267,2,2024-10-23 12:23:00,HUB-GUW,Guwahati,Bengaluru,KA,560001,12.991436,77.616072,2076.81,204.74 kg,18*22*11,Yes,0,False,exp,prepaid,"₹189,824.06",Clear,VEH-0701,15.6,10.11,20355.75,null,Pending
ORD-005834,CUST-01938,PRD-00825,1,2025-04-19T17:58:00Z,HUB-KOC,Kochi,Delhi,DL,110001,28.593311,77.194707,2077.39,1890 g,58 x 32 x 33,True,0,False,std,prepaid,"₹184,667.35",Clear,VEH-0608,60.9,53.21,5562.77,Truck,Delivered
ORD-012470,CUST-01392,PRD-00295,4,2025-02-10 12:00:00,HUB-MAD,Madurai,Madurai,TN,625001,10.034106,78.059666,N/A,341.8,73x58x18,False,0,False,std,UPI,"₹71,387.64",Cloudy,VEH-0440,3.5,2.45,unknown,VAN,In Transit
ORD-012631,CUST-04266,PRD-00180,4,2024-05-29T09:58:00Z,HUB-MUM,Mumbai,VISAKHAPATNAM,AP,530001,17.722509,83.26637,"1,106.22",122.72,61*21*33,0,0,False,EXPRESS,Card,675424.84,Thunderstorm,VEH-0709,13.3,10.48,10982.7,Air Cargo,Delivered
ORD-007932,CUST-01107,PRD-00408,4,2024-03-23 06:12:00,HUB-CHA,Chandigarh,Chandigarh,CH,160017,30.622562,76.840773,13.64,43.6,61x16x11,No,0,False,exp,prepaid,667878.92,Heavy Rain,VEH-0559,4.6,4.25,143.26,Van,Delivered
ORD-011937,CUST-04301,PRD-00623,3,-,HUB-COI,Coimbatore,COIMBATORE,TN,641001,11.093116,76.962571,8.52,9.9,74x48x22,True,1,True,SAME-DAY,UPI,115112.22,Clear,VEH-0264,1.4,1.11,358.84,Bike,Delivered
ORD-008032,CUST-03140,PRD-00299,1,2024-08-12 07:00:00,HUB-HYD,Hyderabad,Bhubaneswar,OD,751001,20.282507,85.786414,832.91,107.28,39*40*50,No,0,False,express,UPI,"₹109,228.19",Fog,VEH-0681,32.3,23.23,2482.9,Truck,delivered
ORD-000157,,PRD-00443,4,2024-09-26T14:12:00Z,HUB-PUN,Pune,Ahmedabad,GJ,380001,23.000377,72.57951,515.53,7.08,,1,0,False,Standard,UPI,364444.52,Clear,VEH-0607,26.0,17.33,1488.36,truck,Delivered
ORD-012677,CUST-02443,PRD-00813,3,2025-05-28 15:00:00,HUB-MYS,Mysuru,Mysuru,KA,570001,12.359177,76.521062,14.66,2.22,57x31x14,No,0,False,STANDARD,UPI,116374.74,Rain,VEH-0240,3.2,2.77,70.96,Bike,Delivered
ORD-003137,CUST-04192,PRD-00051,2,Mar 18 2024 09:12 PM,HUB-GUW,Guwahati,Guwahati,AS,781001,26.169484,,2.78,2.12,44 x 31 x 30,1,0,False,Express,cod,145188.48,Heavy Rain,VEH-0119,3.5,3.28,-16.69,drone,Delivered
ORD-001580,CUST-01675,PRD-00652,4,14-09-2024,HUB-GUR,Gurugram,Gurugram,HR,122001,999.0,77.120129,11.04,10256.24,,0,1,False,STANDARD,COD,"₹116,769.44",Cloudy,VEH-0647,5.2,3.46,18599.95,TRUCK,Returned
ORD-007360,CUST-04657,PRD-00340,1,2024-02-10 07:31:00,HUB-AHM,Ahmedabad,Ahmedabad,GJ,380001,23.103037,72.613933,9.96,5.91,76*34*18,False,0,False,Economy,COD,142127.40,Heavy Rain,VEH-0258,4.3,3.02,-9.51,bike,In Transit
ORD-002601,CUST-00065,PRD-00666,3,2024/02/26 06:00,HUB-CHE,Chennai,COIMBATORE,TN,641001,11.004634,76.915084,431.9,4325.4,,False,1,False,Standard,Card,"₹54,335.70",Fog,VEH-0602,18.1,13.26,9036.32,truck,Delivered
ORD-012286,CUST-04319,PRD-00770,4,09-06-2024,HUB-CHE,Chennai,Chennai,TN,600001,12.968726,80.219484,13.83,13.92KG,,No,0,False,express,UPI,379065.36,Clear,VEH-0282,1.3,1.16,94.93,BIKE,Delivered
ORD-009281,CUST-02361,PRD-00217,1,24-12-2024,HUB-MUM,Mumbai,Kochi,KL,682001,9.947689,76.308911,1079.98,103.99,41x10x30,1,0,False,eco,COD,140418.41,Cloudy,VEH-0696,43.2,null,3157.9,Truck,Delivered
ORD-014425,CUST-03613,PRD-00575,1,2025-04-03T13:44:00Z,HUB-KOC,Kochi,Kochi,KL,682001,10.050521,76.351223,16.14,2.67,36 x 14 x 38,True,1,False,STANDARD,UPI,38962.65,Cloudy,VEH-0390,1.7,null,null,Bike,delivered
ORD-010452,CUST-02594,PRD-00558,1,2024-01-17 08:31:00,HUB-CHA,Chandigarh,Chandigarh,CH,160017,30.760136,76.787468,3.08,3.71,55*44*20,1,1,True,STANDARD,cod,"₹66,145.07",clear,VEH-0393,0.7,-,28.45,Bike,Delivered
ORD-001158,CUST-02739,PRD-00495,1,2024-07-31 19:00:00,HUB-LUC,Lucknow,LUCKNOW,UP,226001,26.897921,81.014838,8.88,1.88,51x31x21,1,0,False,STANDARD,Card,24306.56,Cloudy,VEH-0215,2.4,1.8,25.43,Bike,Delivered
ORD-005523,CUST-00959,PRD-00301,2,2024-06-01 11:31:00,HUB-VIS,Visakhapatnam,Madurai,TN,625001,9.961329,78.107127,1020.77,107.58,,No,0,False,EXPRESS,cod,168596.48,Rain,VEH-0703,12.3,8.56,10151.01,AIR CARGO,DELIVERED
ORD-005641,CUST-03400,PRD-00711,2,2024-01-08 07:31:00,HUB-KOC,Kochi,Chandigarh,CH,160017,30.76508,76.734665,2317.13,1394.18,84*48*32,0,1,False,same-day,prepaid,143966.78,Rain,,17.4,12.27,24995.68,Air_Cargo,delivered
ORD-006374,CUST-02700,PRD-00709,2,2024-11-27 15:17:00,HUB-VIS,Visakhapatnam,Bhubaneswar,OD,751001,20.267107,85.78889,394.15,2824.78,,0,1,False,express,UPI,250387.78,Clear,,16.3,11.71,6269.14,Truck,DELIVERED
ORD-014352,CUST-02277,PRD-00410,3,2024-07-14 21:31:00,HUB-CHA,Chandigarh,Chandigarh,CH,160017,30.693493,76.720247,7.18,-,69*21*24,No,0,False,Standard,Prepaid,107483.13,Thunderstorm,VEH-0562,4.8,3.74,162.91,VAN,Delivered
ORD-007665,CUST-01722,PRD-00775,3,05/08/2024 15:12,HUB-COI,Coimbatore,Kochi,KL,682001,9.955423,76.242263,141.47,4.26 kg,13x32x23,True,0,False,Standard,Card,226604.82,Cloudy,VEH-0080,3.1,2.4,270.42,drone,Delivered
ORD-001338,CUST-04824,PRD-00464,2,2024-03-15T21:23:00Z,HUB-MUM,Mumbai,CHANDIGARH,CH,160017,30.714753,76.793683,1352.77,1.06,53x43x42,0,0,False,std,COD,166051.0,Clear,VEH-0667,51.4,40.78,3640.76,truck,Pending
ORD-000055,CUST-03640,PRD-00346,4,2024-09-14 11:23:00,HUB-CHE,Chennai,Chennai,TN,600001,13.133544,80.258046,5.82,53.16,11*33*16,Yes,0,False,express,prepaid,"₹12,150.20",Fog,VEH-0564,3.5,2.3,181.16,Van,Delivered
ORD-004622,CUST-03942,PRD-00036,2,2025-04-19 16:44:00,HUB-VIS,Visakhapatnam,Visakhapatnam,AP,530001,17.677902,83.267236,5.26,5.34,21 x 28 x 9,True,0,False,Standard,Card,219614.92,Clear,VEH-0216,1.0,0.92,28.11,bike,Delivered
ORD-002193,CUST-03556,PRD-00196,4,Jun 26 2024 08:58 AM,HUB-COI,Coimbatore,Ahmedabad,GJ,380001,23.003457,72.570254,"1,411.71",27.72,16*12*31,Yes,0,False,STANDARD,COD,702318.16,Fog,VEH-0667,46.5,42.02,3823.46,TRUCK,In Transit
ORD-007312,CUST-03478,PRD-00304,2,2024-07-23T19:17:00Z,HUB-COI,Coimbatore,Mumbai,MH,400001,19.101523,72.917861,997.88,214.22,25x38x15,No,0,False,standard,prepaid,270094.40,Sunny,VEH-0584,41.2,31.04,3127.83,TRUCK,In Transit
ORD-012229,CUST-02617,PRD-00102,3,2024/02/21 16:58,HUB-GUW,Guwahati,Guwahati,AS,781001,26.253514,91.703478,12.55 km,2.88,80x14x39,True,0,False,EXPRESS,Card,80415.99,Cloudy,VEH-0266,1.6,1.18,15.42,Bike,Delivered
ORD-004544,CUST-01091,PRD-00823,3,2025/02/02 12:44,HUB-KOL,Kolkata,Kolkata,WB,700001,22.503315,88.442756,11.18,5.61KG,,0,0,False,standard,Prepaid,370112.19,clear,VEH-0154,1.1,0.95,22.89,bike,Returned
ORD-011012,CUST-02608,PRD-00571,3,2024-03-01 19:31:00,HUB-BEN,Bengaluru,Bengaluru,KA,560001,12.870611,77.663298,13.47,9.39,43*56*26,True,1,False,EXPRESS,Card,313805.07,clear,VEH-0237,0.3,-,52.73,bike,Delivered
ORD-004580,CUST-03900,PRD-00499,4,2025-02-25 09:23:00,HUB-KOC,Kochi,Kochi,KL,682001,9.860285,76.148389,15.23,7240 g,86 x 57 x 18,1,0,False,same-day,prepaid,287027.24,Fog,VEH-0300,5.3,4.38,NA,Bike,Pending
ORD-008809,CUST-03034,PRD-00754,1,2024-11-03 10:58:00,HUB-NAG,Nagpur,Nagpur,MH,440001,21.064107,79.049473,9.93,1.5,,No,0,False,exp,Card,120030.43,Thunderstorm,VEH-0251,4.1,2.74,49.3,bike,In Transit
ORD-009367,CUST-02077,PRD-00271,4,2024-01-29T14:12:00Z,HUB-COI,Coimbatore,Visakhapatnam,AP,530001,17.640359,83.243895,1000.37 km,471720 g,,False,0,False,STANDARD,Card,447067.2,CLEAR,VEH-0605,37.5,30.41,3574.1,TRUCK,Pending
ORD-000783,CUST-04418,PRD-00524,1,02-08-2024,HUB-MYS,Mysuru,KOLKATA,WB,700001,22.595749,88.381085,1690.33 km,0.79,,No,0,False,eco,COD,25610.55,NA,VEH-0250,84.3,63.22,1378.35,Bike,Delivered
ORD-000234,CUST-02370,PRD-00026,2,07-10-2024,HUB-KOL,Kolkata,KOLKATA,WB,700001,22.53981,88.330237,5.02,5.6,,False,0,False,Express,Prepaid,"₹290,936.82",Clear,VEH-0369,0.4,0.3,37.78,BIKE,Delivered
ORD-006495,CUST-02025,PRD-00630,1,2024-03-20 20:12:00,HUB-KOL,Kolkata,Nagpur,MH,440001,21.123538,79.137606,965.59,4380 g,43*30*34,True,1,False,ECONOMY,prepaid,114641.62,Fog,VEH-0690,33.5,28.85,2655.35,Truck,Delivered
ORD-004911,CUST-03915,PRD-00585,4,2024/11/02 13:23,HUB-MUM,Mumbai,Mumbai,MH,400001,19.005337,72.897419,8.13,9.0,58 x 31 x 43,True,1,False,same-day,Card,520452.52,clear,VEH-0225,0.4,0.3,321.81,BIKE,Delivered
ORD-009971,CUST-03106,PRD-00264,3,15/04/2024 19:00,HUB-GUW,Guwahati,Mumbai,MH,400001,19.085201,72.923257,2081.58,71.91,,No,0,False,standard,prepaid,488541.84,Clear,VEH-0644,65.9,53.27,NA,Truck,In Transit
ORD-006867,CUST-02332,PRD-00239,4,2024-03-05T11:58:00Z,HUB-MUM,Mumbai,Bhubaneswar,OD,751001,20.327665,85.838587,1363.57,264.92,,1,0,False,standard,Prepaid,56259.44,Thunderstorm,VEH-0675,51.0,-,4170.87,truck,Delivered
ORD-007070,CUST-01258,PRD-00500,3,2025-04-12 14:05:00,HUB-BEN,Bengaluru,BENGALURU,KA,560001,12.992331,77.510945,9.35,5.25,44*37*49,False,0,False,Same-Day,Card,492650.64,Rain,VEH-0312,5.4,3.55,279.16,BIKE,Delivered
ORD-004360,CUST-02600,PRD-00001,1,2025-05-14 20:44:00,HUB-PUN,Pune,Pune,MH,411001,18.410509,73.804597,13.4,0.66,45*50*21,1,0,False,Same-Day,Card,"₹146,371.36",Cloudy,VEH-0371,1.1,0.87,243.89,Bike,Delivered
ORD-001383,CUST-04620,PRD-00053,1,2024-11-13 06:31:00,HUB-CHA,Chandigarh,Ahmedabad,GJ,380001,23.032302,72.534712,953.94,0.89,32x37x48,True,0,False,ECONOMY,COD,154062.83,Rain,VEH-0659,37.9,29.28,2592.59,Truck,Cancelled
ORD-002549,CUST-04366,PRD-00046,2,22-05-2024,HUB-GUW,Guwahati,Guwahati,AS,781001,26.121266,91.644242,9.54 km,4.64,87 x 11 x 36,True,0,False,express,Card,"₹189,284.96",Clear,VEH-0105,1.6,1.05,40.02,Drone,Pending
ORD-000415,,PRD-00810,1,2024-02-13 06:58:00,HUB-LUC,Lucknow,Lucknow,UP,226001,26.845762,80.929262,1.68,2.91 kg,,1,0,False,STANDARD,Card,34722.03,Clear,VEH-0123,0.4,0.3,42.63,Drone,Returned
ORD-000155,CUST-04659,PRD-00543,1,31-01-2024,HUB-BHU,Bhubaneswar,Mumbai,MH,400001,19.029761,72.852782,1365.19,4.71KG,12*31*23,Yes,1,False,Standard,cod,92089.25,Rain,VEH-0691,58.4,38.24,3809.5683000000004,Truck,Delivered
ORD-012967,CUST-02346,PRD-00374,3,2024-05-06 19:58:00,HUB-HYD,Hyderabad,Ahmedabad,GJ,380001,22.986589,72.605501,874.21,5.1 kg,15x45x22,1,0,False,Standard,prepaid,"₹334,302.24",Cloudy,VEH-0589,25.1,21.9,2425.35,Truck,Delivered
ORD-000759,CUST-03242,PRD-00261,3,N/A,HUB-JAI,Jaipur,Jaipur,RJ,302001,26.862145,75.677037,12.28,293.61,46*46*18,No,0,False,std,Prepaid,432044.88,Clear,VEH-0485,1.6,1.42,603.67,VAN,Delivered
